Title,Publication Year,Publication url,Abstract,Abstract entirety
"Intelligent synthesis and real-time response using massive streaming of heterogeneous data (insight) and its anticipated effect on intelligent transport systems (its) in dublin city, ireland",2014,http://www-ai.cs.uni-dortmund.de:8080/PERSONAL/MORIK/papers/pdf/Intelligent_Synthesis_and_Real_time_Response_using_Massive_Streaming_of_Heterogeneous_Data_INSIGHT_and_its_anticipated_effect_on_Intelligent_Transport_Systems_ITS_in_Dublin_City_Ireland.pdf,"Intelligent traffic and transport management involves the use of large data streams to identify and effectively manage issues of congestion and quality of service. In particular, urban traffic has been in the eye of the storm for many years now and gathers increasing interest as cities become bigger, crowded and ‘smart’. This paper examines the likely impact of the work of the EU-funded FP7 INSIGHT programme on traffic incident detection and its amelioration in Dublin city.",1
On the combination of two decompositive multi-label classification methods,2009,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.192.3699&rep=rep1&type=pdf#page=118,"In this paper, we compare and combine two approaches for multi-label classification that both decompose the initial problem into sets of smaller problems. The Calibrated Label Ranking approach is based on interpreting the multi-label problem as a preference learning problem and decomposes it into a quadratic number of binary classifiers. The HOMER approach reduces the original problem into a hierarchy of considerably simpler multi-label problems. Experimental results indicate that the use of HOMER is beneficial for the pairwise preference-based approach in terms of computational cost and quality of prediction.",1
On the quantification of missing value impact on Voting Advice Applications,0,Unknown,Unknown,1
A hybrid deep learning network for modelling opinionated content,2019,https://dl.acm.org/doi/abs/10.1145/3297280.3297570,"The ability to accurately understand opinionated content is critical for a large set of applications. Models targeting at learning from such content should overcome the inherent difficulties of the data. We propose a novel hybrid neural network embedded in a deep learning framework that can be used for sentiment classification. Our method consists of an independent set of feed forward learning models that are able to identify rich linguistic patterns through recurrent semantic trees. We evaluate our method in four sentiment classification problems that include both binary and multi-class classification tasks. Moreover, we compare our model's prediction accuracy with state-of-the-art methods. We observe that our method outperforms the alternative approaches. The strengths of the proposed approach are due to i) a novel Convolutional Neural Network which can be employed autonomously or as part of a greater …",0
Linguistic Bias in Crowdsourced Biographies: A Cross-lingual Examination,2019,https://www.worldscientific.com/doi/abs/10.1142/9789813274884_0012,"Biographies make up a significant portion of Wikipedia entries and are a source of information and inspiration for the public. We examine a threat to their objectivity, linguistic biases, which are pervasive in human communication. Linguistic bias, the systematic asymmetry in the language used to describe people as a function of their social groups, plays a role in the perpetuation of stereotypes. Theory predicts that we describe people who are expected — because they are members of our own in-groups or are stereotype-congruent — with more abstract, subjective language, as compared to others. Abstract language has the power to sway our impressions of others as it implies stability over time. Extending our monolingual work, we consider biographies of intellectuals at the English- and Greek-language Wikipedia. We use our recently introduced sentiment analysis tool, DidaxTo, which extracts domain-specific …",0
"REMI, Reusable Elements for Multi-Level Information Availability",2017,https://dl.acm.org/doi/abs/10.1145/3093742.3095091,"Applications targeting Smart Cities tackle common challenges, however solutions are seldom portable from one city to another due to the heterogeneity of city ecosystems. A major obstacle involves the differences in the levels of available information. In this demonstration we present REMI, a reusable elements framework to handle varying degrees of information availability by design from two complementary angles, namely graceful degradation (GRADE) and data enrichment (DARE). In a nutshell, we develop reusable machine learning black boxes for mining and aggregating streaming data, either to infer missing data from available data, or to adapt expected accuracy based on data availability. We illustrate the proposed approach using tram data from the city of Warsaw.",1
Mining hidden constrained streams in practice: informed search in dynamic filter spaces,2016,https://ieeexplore.ieee.org/abstract/document/7752293/,"In this paper we tackle the recently proposed problem of hidden streams. In many situations, the data stream that we are interested in, is not directly accessible. Instead, part of the data can be accessed only through applying filters (e.g. keyword filtering). In fact this is the case of the most discussed social stream today, Twitter. The problem in this case is how to retrieve as many relevant documents as possible by applying the most appropriate set of filters to the original stream and, at the same time, respect a number of constrains (e.g. maximum number of filters that can be applied). In this work we introduce a search approach on a dynamic filter space. We utilize heterogeneous filters (not only keywords) making no assumptions about the attributes of the individual filters. We advance current research by considering realistically hard constraints based on real-world scenarios that require tracking of multiple dynamic …",0
Multi-label classification bibliography,2008,http://mlkd.csd.auth.gr/multilabel/multilabel_bib.pdf,"Multi-Label Classification Bibliography Page 1 Multi-Label Classification Bibliography 
Grigorios Tsoumakas, Ioannis Katakis and Ioannis Vlahavas Department of Informatics, 
Aristotle University of Thessaloniki 54124 Thessaloniki, Greece {greg,katak,vlahavas}@csd.auth.gr 
August 31, 2008 1 Multi-Label Classification Bibliography [1], [2], [3], [5], [4], [6], [7], [8], [9], [10], 
[11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24], [25], [26], [28], [27], [29], [30], 
[31], [32], [33], [34], [35], [36], [37], [38], [39], [40], [41], [42], [43], [44], [45], [46], [47], [48], [49], [50], 
[51], [52], [53], [54], [55], [56], [57], [58], [59], [60], [61], [62], [63], [64], [65]. References [1] Zafer 
Barutcuoglu, Robert E. Schapire, and Olga G. Troyanskaya. Hierarchical multi-label prediction 
of gene function. Bioinformatics, 22(7):830– 836, 2006. [2] H. Blockeel, L. Schietgat, J. 
Struyf, S. Dz?eroski, and A. Clare. Decision trees for hierarchical multilabel classification: . …",0
Preface-Special Issue on Misinformation on the Web,2022,Unknown,Unknown,1
PersoNews: a personalized news reader enhanced by machine learning and semantic filtering,2006,https://link.springer.com/chapter/10.1007/11914853_62,"In this paper, we present a web-based, machine-learning enhanced news reader (PersoNews). The main advantages of PersoNews are the aggregation of many different news sources, machine learning filtering offering personalization not only per user but also for every feed a user is subscribed to, and finally the ability for every user to watch a more abstracted topic of interest by employing a simple form of semantic filtering through a taxonomy of topics.",1
