Title,Publication Year,Publication url,Abstract,Abstract entirety
Web Service Composition Using a Deductive XML Rule,0,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.97.3203&rep=rep1&type=pdf,"This paper describes a knowledge-based Web Service composition system, called SWIM, which is based on the Service Domain model. Service Domains are communities of related Web Services that are mediated by a single Web Service, called the Mediator Service, which functions as a proxy for them. When a requestor sends a message to the Mediator Service one or more of the related Web Services are selected to dispatch the message and the results returned are aggregated to a single answer to the requestor. Mediator Services can be further composed to more complex Mediator Services that combine several selection and aggregation algorithms among many heterogeneous web services. The system utilizes the X-DEVICE deductive XML rule language for defining complex algorithms for selecting registered web services, combining the results, and synchronizing the workflow of information among the combined web services in a declarative way. In the paper, we demonstrate the flexibility and expressibility of our approach for composing Web Services using several e-business examples, covering most of the workflow patterns found in a comprehensive workflow management system [2].",1
Useful Links,0,https://scholar.google.com/scholar?cluster=7745661753836984991&hl=en&oi=scholarr,"Machine Learning is a subfield of Artificial Intelligence that is concerned with algorithms and techniques that allow computer systems to “learn from experience” to successfully solve artificial intelligence problems. Experience is usually provided in the form of problem-specific “examples”(organized in “datasets”) that allow the learning system to discover new knowledge and improve its performance on a particular task. If the training examples are not available at the beginning of the learning process, but they are collected during training we have the case of “on-line” or incremental learning. If the system is already provided some knowledge about the domain and/or the task, we have the case of knowledge refinement or analytical learning.Machine Learning problems are generally distinguished into three main categories depending on the nature of the datasets: In supervised learning, we are given a set of labeled …",0
MIREX AUDIO TAG CLASSIFICATION,0,https://www.music-ir.org/mirex/abstracts/2008/auth.pdf,"This extended abstract details a submission to the Music Information Retrieval Evaluation eXchange in the audio tag classification task, a new task introduced this year. We model the problem as a multilabel classification task and employ suitable learning algorithms from the Mulan toolkit 1.",1
InterBase-KB: Integrating a knowledge base system with a multidatabase system for data warehousing,2003,https://ieeexplore.ieee.org/abstract/document/1232272/,"This paper describes the integration of a multidatabase system and a knowledge-base system to support the data-integration component of a data warehouse. The multidatabase system integrates various component databases with a common query language; however, it does not provide capability for schema integration and other utilities necessary for data warehousing. In addition, the knowledge base system offers a declarative logic language with second-order syntax but first-order semantics for integrating the schemes of the data sources into the warehouse and for defining complex, recursively defined materialized views. Furthermore, deductive rules are also used for cleaning, checking the integrity and summarizing the data imported into the data warehouse. The knowledge base system features an efficient incremental view maintenance mechanism that is used for refreshing the data warehouse, without …",0
Modelling constraints with exceptions in object-oriented databases,1994,https://link.springer.com/chapter/10.1007/3-540-58786-1_80,"This paper deals with modelling constraints in object-oriented databases, with emphasis given on exceptions. Constraints are restrictions on properties and relations of database objects that ensure the integrity of data. Therefore, they should be obeyed by every object, but as in real-life, there are some exceptions to this rule. Object-oriented databases provide rich semantic constructs, adequate to model real-world relations. Inheritance of constraints in object-oriented databases has been treated in a completely mandatory way, providing no room for exceptions. In this paper, an object-oriented constraint representation scheme is presented, along with a methodology for modelling constraint exceptions. Finally, an algorithm is described that ensures correct runtime resolution of constraint applicability. Since business is not in abstract, but in real-world, business database modelling would be greatly benefited …",0
Combinatorial Optimization,1976,https://scholar.google.com/scholar?cluster=4173281276403659515&hl=en&oi=scholarr,Unknown,1
Socialsensor: Finding diverse images at mediaeval 2014,2014,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.664.8925&rep=rep1&type=pdf,"This paper describes the participation of the SosialSensor team in the Retrieving Diverse Social Images Task of MediaEval 2014. All our entries are produced by a different instantiation (set of features, parameter configuration) of the same diversification algorithm that optimizes a joint relevance-diversity criterion. All our runs are automated and use only resources given by the task organizers. Our best results in terms of the official ranking metric (F1@ 20≈ 0.59) came by the runs that combine visual and textual information, followed by the visual-only run.",1
StackTIS: A stacked generalization approach for effective prediction of translation initiation sites,2012,https://www.sciencedirect.com/science/article/pii/S0010482511002058,"The prediction of the translation initiation site in an mRNA or cDNA sequence is an essential step in gene prediction and an open research problem in bioinformatics. Although recent approaches perform well, more effective and reliable methodologies are solicited. We developed an adaptable data mining method, called StackTIS, which is modular and consists of three prediction components that are combined into a meta-classification system, using stacked generalization, in a highly effective framework. We performed extensive experiments on sequences of two diverse eukaryotic organisms (Homo sapiens and Oryza sativa), indicating that StackTIS achieves statistically significant improvement in performance.",1
Exploiting State Constraints in Heuristic State-Space Planning.,2000,https://www.aaai.org/Papers/AIPS/2000/AIPS00-040.pdf,"In the last years, some very promising domain independent heuristic state-space planners for STRIPS worlds, like ASP/HSP, HSPr and GRT, have been presented. These planners achieve remarkable performance in some domains, like the blocks world, the logistics and the gripper, but they are not effective in other domains, like the grid and the mystery. In this paper we propose the use of state constraints in heuristic state space planning. We claim that one of the causes for the pre-mentioned failures is the absence of domain specific knowledge about properties that characterize every valid and complete state. We propose the inclusion of state constraints in the domain definition and we present how they can be exploited by heuristic planners in order to decompose a problem into subproblems that are easily solvable. We give performance results that exhibit significant speedup in the problem solving process …",0
ISLE: an intelligent system for land evaluation,1999,https://www.researchgate.net/profile/Grigorios-Tsoumakas/publication/2593759_ISLE_An_Intelligent_System_for_Land_Evaluation/links/0f317531a4d5563d5c000000/ISLE-An-Intelligent-System-for-Land-Evaluation.pdf,"Land evaluation is a process that requires the information of a GIS (Geographical Information System) and the expertise of a specialised soil scientist to analyse and interpret this information. Visualising the whole process is a subject of great importance, especially when vast land areas are regarded. This paper presents ISLE, an intelligent system for land evaluation that automates the process of evaluation and graphically illustrates the results on digital maps. Its main features are the support of GIS capabilities on the digital map of an area, and the support of expert analysis of regions of this area, through one sophisticated user interface. ISLE’s knowledge base, models the evaluation of land in accordance with the FAO-SYS model for Land Evaluation. The system has as input a digital map of an area and its geographical database, displays this map, evaluates the land units selected by the user and finally visualises the results colouring properly the analysed land units.",1
