Title,Publication Year,Publication url,Abstract,Abstract entirety
Workshop Notes,2009,https://www.researchgate.net/profile/Nick-Bassiliades/publication/220828058_AIAEP_Introduction/links/02e7e525ce53532a18000000/AIAEP-Introduction.pdf,"The evolution of the climatic changes from the recent years has raised new challenges for the researchers in the environmental sciences that has to find new solutions to the environmental problems. Artificial intelligence can provide efficient tools for most environmental problems of monitoring, analysis, interpretation, forecasting, management, and control. The development of interdisciplinary research groups between specialists from environmental sciences and artificial intelligence can lead to new ideas and innovative applications in the area of environmental protection systems. We hope that AIAEP’2009 will be a good opportunity for the researchers to exchange ideas and to initiate new collaborations in this interdiciplinary area, as both, Artificial intelligence and Environmental protection are domains of strategic interest.For this first edition, we received 12 papers and after a reviewing process, 9 papers were selected based on the judgement of two referees from the organising committee. The technical issues addressed by the selected papers for this workshop come from all environmental fields: water resources management, environmental accounting, wastewater treatment, maritime pollution, oil spill pollution, soil erosion risk assessment, air pollution dispersion assessment, detection and classification of waste on irregular terrains, residential fire detection, biological foaming in anaerobic digestion simulation and estimation of permeability of granular soil.",1
PROMAISE: A Knowledge-based System for Software Project Management Antipattern Using Semantic Web Technologies (technical report),2009,https://scholar.google.com/scholar?cluster=8429261461887163273&hl=en&oi=scholarr,"A successful way of solving newly encountered problems is by subconsciously applying a solution that has been previously applied successfully to a similar problem [1]. This approach requires experience through successes and failures and expertise in order to identify such problem and solution pairs and then document them as patterns [2]. In software engineering, design patterns describe a recurring problem and its solution. Design patterns can reduce development time by providing proven development paradigms [3]. By documenting design patterns, software developers and architects can reuse design patterns in order to prevent subtle issues that can cause major problems. The usefulness of studying the successful ways of solving problems has been well proved in software engineering by the valuable concept of design patterns. However, design patterns focus on coding and architectural issues and can not …",0
Querying and Visualizing the Semantic Web,2006,https://www.researchgate.net/profile/Efstratios-Kontopoulos/publication/228945814_Querying_and_Visualizing_the_Semantic_Web/links/54f352ec0cf299c8d9e509b0/Querying-and-Visualizing-the-Semantic-Web.pdf,"The Semantic Web (SW)[1] constitutes an effort to improve the current Web, by targeting at the meaning rather than the presentation of information. This way the content of the Web is made accessible not only to humans, as it is today, but to machines/agents as well, with the latter being now able to understand the available information on the Web and act on behalf of users, in order to achieve their goals in an automated and accurate way.To describe information appropriately, knowledge representation languages based on XML have been proposed, such as RDF [2] and OWL [3]. Both languages are used to annotate the information in a formal and explicit way by defining ontologies, using classes, properties and instances of classes. The difference between the two languages is the degree of expressiveness they offer. Thus, while RDF is capable of defining only subclass and subproperty relationships between classes and properties respectively, OWL goes a step further by offering a higher degree of expressiveness. Having been built on top of RDF, OWL introduces more relationships between classes, properties and instances, allowing the use of property constraints and Boolean operators (union, intersection, etc) in class definitions.",1
A Non-Monotonic Reasoning System for RDF Metadata,2006,Unknown,Unknown,1
AI Applications and Mathematical Foundations,2005,Unknown,Unknown,1
VDR-DEVICE: A Visual Editor for a Defeasible Logic RuleML-compatible Rule,2005,Unknown,Unknown,1
Aggregator: A Knowledge Based Comparison Chart Builder for eShopping,2005,https://link.springer.com/chapter/10.1007/978-1-4020-7829-3_6,"Most internet stores selling certain types of products, usually offer a limited set of brand names and for each brand name, a limited set of products. In addition, the design of such e-commerce sites is strongly influenced by retailers whose only goal is to sell as many products as possible to the users that visit their site. As a result, such sites follow a fixed representation for the products offered and put more emphasis on the price, less emphasis on the complete presentation of the features of the product, and unfortunately, they discourage side-by-side comparison shopping. Moreover, presenting various products, they put emphasis on just a few strong features and they don’t mention the weak ones. Although such e-shops are valuable for the final purchase transaction, they fail to service the non-informed customer, that is, the potential buyer that has no clear picture of what exactly to buy from the available …",0
DR-DEVICE: A Defeasible Logic Reasoner for the Semantic Web (Manual),2004,Unknown,Unknown,1
DR-DEVICE: A Defeasible Logic RDF Rule Language,2004,https://www.academia.edu/download/37730134/iswc04-demo.pdf,"Defeasible reasoning is a rule4based approach for efficient reasoning with incomplete and inconsistent information. Such reasoning is, among others, useful for ontology integration, where conflicting information arises naturally; and for the modeling of business rules and policies, where rules with exceptions are often used. In this demonstration we pre4 sent a prototype system for defeasible reasoning on the Web. The system is called DR4DEVICE [4] and is capable of reasoning about RDF metadata over multiple Web sources using defeasible logic [1] rules. The system is implemented on top of CLIPS production rule system and builds upon R4DEVICE [5], an earlier deductive rule system over RDF metadata that also supports derived attribute and aggregate attribute rules. Rules can be expressed either in a native CLIPS4like language, or in an extension of the OO4RuleML [9] syntax. The operational semantics of defeasible logic are implemented through compilation into the generic rule language of R4DEVICE. This demonstration includes a complete use case of a semantic web broker that reasons about apartment renting. The most important features of DR4DEVICE are the following:• Support for multiple rule types of defeasible logic, such as strict rules, defeasible rules, and defeaters.• Support for both classical (strong) negation and negation-as-failure.• Support for conflicting literals, ie derived objects that exclude each other.• Direct import from the Web of RDF ontologies and data as input facts to the defeasible logic program.• Direct import from the Web of defeasible logic programs in an XML compliant rule syntax (RuleML).• Direct export to …",0
"Τεχνητή Νοημοσύνη, 2002, Εκδόσεις Γαρταγάνη, Θεσσαλονίκη",2002,Unknown,Unknown,1
Παράλληλη διαχείριση βάσεων γνώσης,1998,https://www.didaktorika.gr/eadd/handle/10442/10587,"ΟΙ ΣΥΓΧΡΟΝΕΣ ΕΦΑΡΜΟΓΕΣ ΑΠΑΙΤΟΥΝ ΕΞΕΛΙΓΜΕΝΕΣ ΜΟΡΦΕΣ ΑΝΑΠΑΡΑΣΤΑΣΗΣ ΔΕΔΟΜΕΝΩΝ  ΚΑΙΔΥΝΑΤΟΤΗΤΕΣ ΕΥΚΟΛΗΣ ΔΙΑΤΥΠΩΣΗΣ ΕΡΩΤΗΣΕΩΝ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΠΡΟΓΡΑΜΜΑΤΩΝ  ΕΠΕΞΕΡΓΑΣΙΑΣ ΤΩΝ ΔΕΔΟΜΕΝΩ. ΟΙ ΒΑΣΕΙΣ ΓΝΩΣΗΣ ΑΠΟΤΕΛΟΥΝ ΣΥΝΔΥΑΣΜΟ ΤΩΝ ΒΑΣΕΩΝ  ΔΕΔΟΜΕΝΩΝ ΜΕΤΗΝ ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ   ΚΑΙ ΚΑΛΥΠΤΟΥΝ ΤΙΣ ΠΑΡΑΠΑΝΩ ΑΠΑΙΤΗΣΕΙΣ, ΠΑΡΕΧΟΝΤΑΣ ΣΤΟ ΧΡΗΣΤΗ ΤΗ ΔΥΝΑΤΟΤΗΤΑ ΝΑ ΔΙΑΤΥΠΩΝΕΙ ΚΑΙ ΝΑ ΑΠΟΘΗΚΕΥΕΙ ΤΗ ΓΝΩΣΗ  ΧΕΙΡΙΣΜΟΥ ΤΩΝ ΔΕΔΟΜΕΝΩ ΜΑΖΙ ΜΕ ΤΑ ΔΕΔΟΜΕΝΑ, ΜΕ ΤΑ ΠΛΕΟΝΕΚΤΗΜΑΤΑ ΟΠΩΣ Η  ΔΙΑΦΑΝΕΙΑ, Η ΕΥΚΟΛΗ ΔΙΑΧΕΙΡΙΣΗ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ Η ΔΥΝΑΤΟΤΗΤΑ ΠΟΛΥΠΛΟΚΩ  Ν  ΑΝΑΖΗΤΗΣΕΩΝ ΚΑΙ ΣΥΣΧΕΤΙΣΜΩΝ ΔΕΔΟΜΕΝΩ. ΕΠΙΠΛΕΟΝ, ΟΙ ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ  ΕΞΕΛΙΧΘΗΚΑΝ ΚΑΙ ΣΕ ΑΛΛΛΕΣ ΔΙΑΣΤΑΣΕΙΣ, ΟΠΩΣ ΟΙ ΑΝΤΙΚΕΙΜΕΝΟΣΤΡΑΦΕΙΣ ΚΑΙ ΟΙ  ΕΝΕΡΓΕΣ ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ. ΟΙ ΠΑΡΑΠΑΝΩ ΔΙΑΣΤΑΣΕΙΣ ΕΙΝΑΙ ΑΝΕΞΑΡΤΗΤΕΣ ΜΕΤΑΞΥ  ΤΟΥΣ ΚΑΙ ΔΕΝ ΑΠΟΚΛΕΙΕΙ Η ΜΙΑ ΤΗΝ ΑΛΛΗ.   ΑΝΤΙΘΕΤΩΣ, Η ΣΥΜΒΟΛΗ ΚΑΙ ΤΩΝ ΤΡΙΩΝ ΕΙΝΑΙ ΑΠΑΡΑΙΤΗΤΗ ΓΙΑ ΤΗ ΔΗΜΙΟΥΡΓΙΑ ΕΞΕΛΙΓΜΕΝΩΝ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ,  ΙΚΑΝΑ ΝΑ ΑΝΤΙΜΕΤΩΠΙΣΟΥΝ ΤΙΣ ΤΕΧΝΟΛΟΓΙΚΕΣ ΠΡΟΚΛΗΣΕΙΣ ΤΗΣ ΠΛΗΡΟΦΟΡΙΚΗΣ ΣΤΗΝ  ΕΠΟΜΕΝΗ ΔΕΚΑΕΤΙΑ. Η ΠΑΡΟΥΣΑ ΕΡΓΑΣΙΑ ΠΡΑΓΜΑΤΕΥΕΤΑΙ ΤΗ ΔΗΜΙΟΥΡΓΙΑ ΕΝΟΣ ΤΕΤΟΙ  ΟΥ ΣΥΣΤΗΜΑΤΟΣ, ΣΤΟ ΟΠΟΙΟ ΕΝΟΠΟΙΟΥΝΤΑΙ ΟΙ ΒΑΣΕΙΣ ΓΝΩΣΗΣ ΜΕ ΤΙΣ  ΑΝΤΙΚΕΙΜΕΝΟΣΤΡΑΦΕΙΣ ΚΑΙ ΤΙΣ ΕΝΕΡΓΕΣ ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩ, ΜΕ ΑΠΟΤΕΛΕΣΜΑ ΕΝΑ  ΣΥΣΤΗΜΑΠΟΥ ΔΙΝΕΙ ΤΗ ΔΥΝΑΤΟΤΗΤΑ ΔΙΑΤΥΠΩΣΗΣ ΤΗΣ ΓΝΩΣΗΣ ΕΝΟΣ ΠΡΟΒΛΗΜΑΤΟΣ ΜΕ  ΜΙΑ ΠΟΙΚΙΛΙΑ ΜΟΡΦΩΝ …",0
Causal Knowledge Extraction from Online Repositories,0,https://scholar.google.com/scholar?cluster=5873636276014150904&hl=en&oi=scholarr,"Infusing autonomous artificial systems with causal knowledge about the physical world they inhabit is of utmost importance and a long-lasting goal in Artificial Intelligence (AI) research. Training systems with relevant data is a common approach; yet, it is not always feasible to find the data needed, especially since a big part of this knowledge is commonsense. Therefore, many studies try to exploit alternative means of acquiring causal knowledge. In this paper, we propose a novel methodology for extracting causal relations about objects, actions and states from online repositories, such as ConceptNet and WordNet. We present a complete cycle of locating, storing, enriching, evaluating, cleaning and exposing causal knowledge from such resources, taking into consideration semantic similarity measures, as well as other metrics, while processing the data. We compare our method with typical approaches found in …",0
Applying neural networks with active neurons to sea-water quality measurements,2005,https://www.academia.edu/download/37730122/hatzikos_et_al_1.pdf,"This study examines the presence of either linear or nonlinear relationships between a number of popular sea-water quality indicators such as water temperature, pH, amount of dissolved oxygen and turbidity. The data are obtained from a set of sensors in an underwater measurement station. The neural networks with active neurons are applied to the prediction of each one of the above four indicators and their performance is compared against a benchmark prediction method known as the random walk model. The random walk model is the simpler prediction method, which accepts as the best prediction for a variable its current value. The neural network with active neurons is a black box method, which contrary to neural networks with passive neurons does not require a long set of training data. The results show that for daily predictions the neural network with active neurons is able to beat the random walk model with regard to directional accuracy, namely the direction (upward or downwards) of the modelling object in the next day.",1
Modeling human daily preferences through a context-aware web-mapping system using semantic technologies,2017,https://www.sciencedirect.com/science/article/pii/S1574119216301286,"In this paper, a novel geosocial networking service called “G-SPLIS” (Geosocial Semantic Personalized Location Information System) is presented. The paper provides a methodology to design, implement and share in a formal way human daily preferences regarding points of interest (POIs) and POI owners’ group targeted offering policies, via user-defined preferences and policy rules. By adding rules at run time users have more flexibility and they do not rely on the pre-determined application’s methods to get personalized information. Furthermore, G-SPLIS provides a large knowledge base for other systems in the web, because rules are easily sharable. To achieve the above, the presented system is compatible with Semantic Web standards such as the schema.org ontology and uses RuleML for rules that define regular users’ preferences and POI owner’s group-targeted offers. Finally, it combines at run-time the …",0
Real-Time Investors’ Sentiment Analysis from Newspaper Articles,2017,https://link.springer.com/chapter/10.1007/978-3-319-46200-4_1,"Recently, investor sentiment measures have become one of the more widely examined areas in behavioral finance. They are capable of both explaining and forecasting stock returns. The purpose of this paper is to present a method, based on a combination of a Naïve Bayes classifier and the n-gram probabilistic language model, which can create a sentiment index for specific stocks and indices of the New York Stock Exchange. An economic useful proxy for investor sentiment is constructed from U.S. news articles mainly provided by The New York Times. Initially, a large amount of articles for ten big companies and indices is collected and processed, in order to be able to extract a sentiment score from each one of them. Then, the classifier is trained from the positive, negative and neutral articles, so that it is possible afterwards to examine the sentiment of any unseen newspaper article, for any company or …",0
Evlib: A library for the management of the electric vehicles in the smart grid,2016,https://dl.acm.org/doi/abs/10.1145/2903220.2903225,"EVLib is a Java library for the management and simulation of a number of Electric Vehicle (EV) activities, at a charging station level, within a Smart Grid environment. EVLib aims to solve interoperability issues between a number of Artificial Intelligence (AI)-related techniques already applied in this field. Thus, it provides a simple, yet efficient interface for the management of all major EV-related activities such as the charging and dis-charging of batteries, as well as the battery swapping. Moreover, a large number of parameters, such as the number of chargers, the waiting queues, and the available energy can be easily configured. On top of this, the library supports the simultaneous operation of many EV activities through the efficient use of threads. Finally, the library's efficiency and scalability have been tested in realistic scenarios, while the correctness and safety of the code have been verified using state of the art …",0
Towards an agent-based negotiation scheme for scheduling electric vehicles charging,2015,https://link.springer.com/chapter/10.1007/978-3-319-33509-4_14,"We consider the problem of scheduling Electric Vehicle (EV) charging within a single charging station aiming to maximize the number of charged EVs, as well as the amount of charged energy. In so doing, we propose one offline optimal solution using Mixed Integer Programming (MIP) techniques, and two online solutions which incrementally execute the MIP algorithm each time an EV arrives at the charging station. Moreover, we apply agent based negotiation techniques between the station and the EVs in order to service EVs when the MIP problem is initially unsolvable due to insufficient resources (i.e., requested energy, charging time window). We evaluate our solutions in a setting partially using real data, and we show that when applying negotiation techniques, the number of EVs charged increases on average by , energy utilization by , while there is only a small deficit (about ) on average …",0
PLIS+: A Rule-Based Personalized Location Information System.,2012,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.416.6960&rep=rep1&type=pdf,"In this paper, the idea of providing personalized, location-based information services via rule-based policies is demonstrated. After a short introduction, an innovative Personalized Location Information System (PLIS+) is designed and implemented. PLIS+ delivers personalized and contextualized information to users according to rule-based policies. More specifically, many categories of points of interest (for example shops, restaurants) have rule-based policies to expose and deploy their marketing strategy on special offers, discounts, etc. PLIS+ evaluates these rules on-the-fly and delivers personalized information according to the user’s context and the corresponding rules fired within this context. After discussing the design and the implementation of PLIS+, illustrative examples of PLIS+ functionality are presented. As a result, PLIS+ proves that combining contextual data and rules can lead to powerful personalized information services.",1
SWRL2COOL: object-oriented transformation of SWRL in the CLIPS production rule engine,2012,https://link.springer.com/chapter/10.1007/978-3-642-30448-4_7,"The Semantic Web Rule Language (SWRL) is a W3C member submission rule language for ontologies. It is based on a combination of the OWL DL and OWL Lite sublanguages of the OWL Web Ontology Language with the Unary/Binary Datalog RuleML sublanguages of the Rule Markup Language. In this paper we propose a transformation of SWRL rules into the object-oriented rule language of CLIPS (COOL). The purpose of this transformation is to enhance an already existing CLIPS-based OWL ontology reasoner, namely O-DEVICE, with the ability to import and execute SWRL rules during the process of building custom ontology-based production rule programs.",1
An intelligent system for monitoring and predicting water quality,2009,http://mlkd.csd.auth.gr/publication_details.asp?publicationID=305,"In this paper we present an intelligent system for monitoring and predicting water quality, whose main aim is to help the authorities in the"" decision-making"" process in the battle against the pollution of the aquatic environment, which is very vital for the public health and the economy of Northern Greece. Two sensor-telematic networks for collecting water quality measurements in real time (Andromeda, for sea waters, and Interrisk, for surface/fresh waters) were developed and deployed. Sensor readings (water temperature, pH, dissolved oxygen, conductance, turbidity, sea currents, and salinity) are transmitted to a main station for processing and storage. The intelligent system monitors sensor data, reasons, using fuzzy logic, about the current level of water suitability for various aquatic uses, such as swimming and piscicultures, and flags out appropriate alerts. Furthermore, the system employs Machine Learning and …",0
Extending a defeasible reasoner with modal and deontic logic operators,2008,https://ieeexplore.ieee.org/abstract/document/4740857/,"Defeasible logic is a non-monotonic formalism that deals with incomplete and conflicting information. Modal logic deals with necessity and possibility, exhibiting defeasibility; thus, it is possible to combine defeasible logic with modal operators. This paper reports on the extension of the DR-DEVICE defeasible reasoner with modal and deontic logic operators. The aim is a practical defeasible reasoner that will take advantage of the expressiveness of modal logics and the flexibility to define diverse agent types and behaviors.",1
Towards automatic synthesis of educational resources through automated planning,2006,https://link.springer.com/chapter/10.1007/11752912_42,"This paper reports on the results of an ongoing project for the development of a platform for e-Learning, which automatically constructs curricula based on available educational resources and the learners needs and abilities. The system under development, called PASER (Planner for the Automatic Synthesis of Educational Resources), uses an automated planner, which given the initial state of the problem (learner’s profile, preferences, needs and abilities), the available actions (study an educational resource, take an exam, join an e-learning course, etc.) and the goals (obtain a certificate, learn a subject, acquire a skill, etc.) constructs a complete educational curriculum that achieves the goals. PASER is compliant with the evolving educational metadata standards that describe learning resources (LOM), content packaging (CP), educational objectives (RDCEO) and learner related information (LIP).",1
Preliminary notions of arguments from commonsense knowledge,2020,https://dl.acm.org/doi/abs/10.1145/3411408.3411432,"The field of Computational Argumentation is well-tailored to approach commonsense reasoning, due to its ability to model contradictory information. In this paper, we present preliminary work on how an argumentation framework can explicitly model commonsense knowledge, both at a logically structured and at an abstract level. We discuss the correlation with current research and present interesting future directions.",1
Towards online electric vehicle scheduling for mobility-on-demand schemes,2018,https://link.springer.com/chapter/10.1007/978-3-030-14174-5_7,"We study a setting where electric vehicles (EVs) can be hired to drive from pick-up to drop-off stations in a mobility-on-demand (MoD) scheme. Each point in the MoD scheme is equipped with battery charge facility to cope with the EVs’ limited range. Customer-agents announce their trip requests over time, and the goal for the system is to maximize the number of them that are serviced. In this vein, we propose two scheduling algorithms for assigning EVs to agents. The first one is efficient for short term reservations, while the second for both short and long term ones. While evaluating our algorithms in a setting using real data on MoD locations, we observe that the long term algorithm achieves on average 2.08% higher customer satisfaction and 2.87% higher vehicle utilization compared to the short term one for 120 trip requests, but with 17.8% higher execution time. Moreover, we propose a software package …",0
A rule-based eCommerce methodology for the IoT using trustworthy Intelligent Agents and Microservices,2018,https://link.springer.com/chapter/10.1007/978-3-319-99906-7_22,"The impact of the Internet of Things will transform business and economy. This network of intercommunicating heterogeneous Things is expected to affect the commerce industry by driving innovation and new opportunities in the future. Yet, this open, distributed and heterogeneous environment raises challenges. Old eCommerce practices cannot be sufficiently applied while trustworthiness issues arise. This study proposes a rule-based eCommerce methodology that will allow Things to safely trade on the network. The proposed methodology represents Things as Intelligent Agents since they form an alternative to traditional interactions among people and objects while they are involved in a rich research effort regarding trust management. It also combines Intelligent Agents with the microservice architecture in order to deal with Things heterogeneity while it adopts the use of a social agent-based trust model …",0
"Processing production rules in DEVICE, an active knowledge base system",1997,https://www.sciencedirect.com/science/article/pii/S0169023X97000062,"Production rules are useful for several tasks in active database systems, such as integrity constraint checking, derived data maintenance, database state monitoring, etc. Furthermore, production rules can express knowledge in a high-level form for problem solving in Knowledge Base Systems (KBS). Present active object-oriented database (OODB) systems traditionally provide event-driven rules which are triggered by events, i.e. database modifications. This paper describes DEVICE, a high-level rule integration scheme in an active OODB system, resulting in an active KBS. The paper emphasises the run-time processing of production rules, namely the incremental matching of rule conditions, as well as rule selection and firing. The matching of production rules requires special algorithms based on the flow of updated data through a discrimination network, like RETE, TREAT, etc. DEVICE offers a smooth integration …",0
DEVICE: Compiling production rules into event-driven rules using complex events,1997,https://www.sciencedirect.com/science/article/pii/S095058499601155X,"This paper describes a technique for the smooth integration of production rules into an active Object-Oriented Database (OODB) system that provides Event-Condition-Action (ECA) rules only, called DEVICE. The emphasis is given on the compilation of rule conditions into a discrimination network for incremental matching at run-time. The network consists of primitive, logical and complex events that save information about partial condition element matching, as in RETE algorithm, and trigger one ECA rule that corresponds to the production rule. The DEVICE method re-uses the primitives of active OODB systems, without introducing low-level data structures and provides an infrastructure for the integration of all database rule paradigms into a single knowledge base system.",1
Learning Rules for Adaptive Planning.,2003,https://www.aaai.org/Papers/ICAPS/2003/ICAPS03-009.pdf,"This paper presents a novel idea, which combines Planning, Machine Learning and Knowledge-Based techniques. It is concerned with the development of an adaptive planning system that can fine-tune its planning parameters based on the values of specific measurable characteristics of the given planning problem. Adaptation is guided by a rule-based system, whose knowledge has been acquired through machine learning techniques. Specifically, the algorithm of classification based on association rules was applied to a large dataset produced by results from experiments on a large number of problems used in the three AIPS Planning competitions. The paper presents experimental results with the adaptive planner, which demonstrate the boost in performance of the planning system.",1
A Modal Defeasible Reasoner of Deontic Logic for the Semantic Web,2011,https://www.igi-global.com/chapter/content/76175,"Defeasible logic is a non-monotonic formalism that deals with incomplete and conflicting information, whereas modal logic deals with the concepts of necessity and possibility. These types of logics play a significant role in the emerging Semantic Web, which enriches the available Web information with meaning, leading to better cooperation between end-users and applications. Defeasible and modal logics, in general, and, particularly, deontic logic provide means for modeling agent communities, where each agent is characterized by its cognitive profile and normative system, as well as policies, which define privacy requirements, access permissions, and individual rights. Toward this direction, this article discusses the extension of DR-DEVICE, a Semantic Web-aware defeasible reasoner, with a mechanism for expressing modal logic operators, while testing the implementation via deontic logic operators …",0
Deixto: A web data extraction suite,2013,https://dl.acm.org/doi/abs/10.1145/2490257.2490297,"Web data extraction (or web scraping) is the process of collecting unstructured or semi-structured information from the World Wide Web, at different levels of automation. It is an important, valuable and practical approach towards web reuse while at the same time can serve the transition of the web to the semantic web, by providing the structured data required by the latter. In this paper we present DEiXTo, a web data extraction suite that provides an arsenal of features aiming at designing and deploying well-engineered extraction tasks. We focus on presenting the core pattern matching algorithm and the overall architecture, which allows programming of custom-made solutions for hard extraction tasks. DEiXTo consists of both freeware and open source components.",1
Object-oriented similarity measures for semantic web service matchmaking,2007,https://ieeexplore.ieee.org/abstract/document/4399735/,"The semantic annotation of Web services capabilities with ontological information aims at providing the necessary infrastructure for facilitating efficient and accurate service discovery. The main idea is to apply reasoning techniques over semantically enhanced Web service requests and advertisements in order to determine Web services that meet certain requirements. In this paper we present our work for introducing similarity measures inspired from the domain of Object-Oriented paradigm for ontology concept matching. Our work focuses on the utilization of such measures over an Object-Oriented schema that is created through mapping rules of OWL constructs and semantics into the Object-Oriented model. The goal of the approach is to combine the Object-Oriented representation of the information and the reasoning over OWL semantics in order to enhance the retrieval of semantically relevant, to some criteria …",0
Algorithms for electric vehicle scheduling in large-scale mobility-on-demand schemes,2018,https://www.sciencedirect.com/science/article/pii/S0004370218303199,"We study a setting where Electric Vehicles (EVs) can be hired to drive from pick-up to drop-off points in a Mobility-on-Demand (MoD) scheme. The goal of the system is, either to maximize the number of customers that are serviced, or the total EV utilization. To do so, we characterise the optimisation problem as a max-flow problem in order to determine the set of feasible trips given the available EVs at each location. We then model and solve the EV-to-trip scheduling problem offline and optimally using Mixed Integer Programming (MIP) techniques and show that the solution scales up to medium sized problems. Given this, we develop two non-optimal algorithms, namely an incremental-MIP algorithm for medium to large problems and a greedy heuristic algorithm for very large problems. Moreover, we develop a tabu search-based local search technique to further improve upon and compare against the solution of the …",0
