name,romanize name,School-Department,University,Rank,Apella_id,Scholar name,Scholar id
Ελευθέριος Αγγελής,Eleftherios Angelis,Πληροφορικής,ΑΠΘ,Καθηγητής,18588,Lefteris (Eleftherios) Angelis,IwB4XFYAAAAJ
Αθηνά Βακάλη,Athina Vakali,Πληροφορικής,ΑΠΘ,Καθηγητής,6097,Athena Vakali,sq_u8P0AAAAJ
Νικόλαος Βασιλειάδης,Nikolaos Vasileiadis,Πληροφορικής,ΑΠΘ,Καθηγητής,827,Nick Bassiliades,gX8FCiIAAAAJ
Ιωάννης Βλαχάβας,Ioannis Vlachavas,Πληροφορικής,ΑΠΘ,Καθηγητής,18860,Ioannis Vlahavas,xHIjg7EAAAAJ
Δημήτριος Βράκας,Dimitrios Vrakas,Πληροφορικής,ΑΠΘ,Επίκουρος Καθηγητής (Μόνιμος),20819,Dimitris Vrakas,RCSbvNsAAAAJ
Αναστάσιος Γούναρης ,Anastasios Gounaris ,Πληροφορικής,ΑΠΘ,Αναπληρωτής Καθηγητής,21645,Anastasios Gounaris,JykpJccAAAAJ
Σταύρος Δημητριάδης,Stavros Dimitriadis,Πληροφορικής,ΑΠΘ,Καθηγητής,17453,Stavros Demetriadis,uV4Ki0YAAAAJ
Παναγιώτης Κατσαρός,Panagiotis Katsaros,Πληροφορικής,ΑΠΘ,Αναπληρωτής Καθηγητής,19323,Panagiotis Katsaros,IF0oXd8AAAAJ
Νικόλαος Κονοφάος,Nikolaos Konofaos,Πληροφορικής,ΑΠΘ, Καθηγητής,18174,Nikos Konofaos,rC2jKL0AAAAJ
Κωνσταντίνος Κοτρόπουλος,Konstantinos Kotropoulos,Πληροφορικής,ΑΠΘ,Καθηγητής,5986,Constantine Kotropoulos,c9Dl7qwAAAAJ
Νικόλαος Λάσκαρης,Nikolaos Laskaris,Πληροφορικής,ΑΠΘ,Αναπληρωτής Καθηγητής,5220,Nikos Laskaris,uG8cgA4AAAAJ
Αμαλία Μήλιου,Amalia Miliou,Πληροφορικής,ΑΠΘ,Αναπληρωτής Καθηγητής,12326,Amalia Miliou,LbuyVqsAAAAJ
Νικόλαος Νικολαίδης,Nikolaos Nikolaidis,Πληροφορικής,ΑΠΘ,Αναπληρωτής Καθηγητής,17238,Nikos Nikolaidis,AAGaVpgAAAAJ
Πέτρος Νικοπολιτίδης,Petros Nikopolitidis,Πληροφορικής,ΑΠΘ,Αναπληρωτής Καθηγητής,6943,Petros Nicopolitidis,onlQ_OYAAAAJl
Χρήστος Ουζούνης,Christos Ouzounis,Πληροφορικής,ΑΠΘ,Καθηγητής,17407,Christos Α. Ouzounis,z_1mfIkAAAAJ
Γεώργιος Παπαδημητρίου,Georgios Papadimitriou,Πληροφορικής,ΑΠΘ,Καθηγητής,19912,Georgios Papadimitriou,WvYi6MAAAAAJ
Απόστολος Παπαδόπουλος,Apostolos Papadopoulos,Πληροφορικής,ΑΠΘ,Αναπληρωτής Καθηγητής,5484,Apostolos N. Papadopoulos,b8ptH6oAAAAJ
Ιωάννης Πήτας,Ioannis Pitas,Πληροφορικής,ΑΠΘ,Καθηγητής,1096,I. Pitas,lWmGADwAAAAJ
Νικόλαος Πλέρος,Nikolaos Pleros,Πληροφορικής,ΑΠΘ,Αναπληρωτής Καθηγητής ,14111,Nikos Pleros,d9L2dwsAAAAJ
Διονύσιος Πολίτης,Dionysios Politis,Πληροφορικής,ΑΠΘ,Επίκουρος Καθηγητής (Μόνιμος),13928,Unknown,Unknown
Ιωάννης Σταμέλος,Ioannis Stamelos,Πληροφορικής,ΑΠΘ,Καθηγητής,10452,IOANNIS STAMELOS,qs7KS4EAAAAJ
Αναστάσιος Τέφας ,Anastasios Tefas ,Πληροφορικής ,ΑΠΘ,Αναπληρωτής Καθηγητής,15316,Anastasios Tefas,4stOS3YAAAAJ
Θρασύβουλος Κωνσταντίνος Τσιάτσος,Thrasyvoulos Konstantinos Tsiatsos,Πληροφορικής,ΑΠΘ,Αναπληρωτής Καθηγητής,10379,Thrasyvoulos Tsiatsos,KlqgXzwAAAAJl
Νικόλαος Τσίτσας,Nikolaos Tsitsas,Πληροφορικής,ΑΠΘ,Αναπληρωτής Καθηγητής,2482,Nikolaos L. Tsitsas,E2Jk3JQAAAAJ
Γρηγόριος Τσουμάκας,Grigorios Tsoumakas,Πληροφορικής,ΑΠΘ,Αναπληρωτής Καθηγητής,19915,Grigorios Tsoumakas,PlGKUhwAAAAJ
