name,romanize name,School-Department,University,University email domain,Rank,Apella_id,Scholar name,Scholar id,Semantic Scholar name,Semantic Scholar id,ResearchGate name,ResearchGate url name/id,ResearchGate url type,Search Engine label
Ελευθέριος Αγγελής,Eleftherios Angelis,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,18588,Lefteris (Eleftherios) Angelis,IwB4XFYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αθηνά Βακάλη,Athina Vakali,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,6097,Athena Vakali,sq_u8P0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Βασιλειάδης,Nikolaos Vasileiadis,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,827,Nick Bassiliades,gX8FCiIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Βλαχάβας,Ioannis Vlachavas,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,18860,Ioannis Vlahavas,xHIjg7EAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Βράκας,Dimitrios Vrakas,Πληροφορικής,ΑΠΘ,auth,Επίκουρος Καθηγητής (Μόνιμος),20819,Dimitris Vrakas,RCSbvNsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αναστάσιος Γούναρης ,Anastasios Gounaris ,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,21645,Anastasios Gounaris,JykpJccAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Σταύρος Δημητριάδης,Stavros Dimitriadis,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,17453,Stavros Demetriadis,uV4Ki0YAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παναγιώτης Κατσαρός,Panagiotis Katsaros,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,19323,Panagiotis Katsaros,IF0oXd8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Κονοφάος,Nikolaos Konofaos,Πληροφορικής,ΑΠΘ,auth, Καθηγητής,18174,Nikos Konofaos,rC2jKL0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Κοτρόπουλος,Konstantinos Kotropoulos,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,5986,Constantine Kotropoulos,c9Dl7qwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Λάσκαρης,Nikolaos Laskaris,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,5220,Nikos Laskaris,uG8cgA4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αμαλία Μήλιου,Amalia Miliou,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,12326,Amalia Miliou,LBuyVqsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Νικολαίδης,Nikolaos Nikolaidis,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,17238,Nikos Nikolaidis,AAGaVpgAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Πέτρος Νικοπολιτίδης,Petros Nikopolitidis,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,6943,Petros Nicopolitidis,onlQ_OYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χρήστος Ουζούνης,Christos Ouzounis,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,17407,Christos Α. Ouzounis,z_1mfIkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Παπαδημητρίου,Georgios Papadimitriou,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,19912,Georgios Papadimitriou,WvYi6MAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Απόστολος Παπαδόπουλος,Apostolos Papadopoulos,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,5484,Apostolos N. Papadopoulos,b8ptH6oAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Πήτας,Ioannis Pitas,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,1096,I. Pitas,lWmGADwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Πλέρος,Nikolaos Pleros,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής ,14111,Nikos Pleros,d9L2dwsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Διονύσιος Πολίτης,Dionysios Politis,Πληροφορικής,ΑΠΘ,auth,Επίκουρος Καθηγητής (Μόνιμος),13928,Unknown,Unknown,Unknown,Unknown,Dionysios Politis,Dionysios_Politis2,profile,3
Ιωάννης Σταμέλος,Ioannis Stamelos,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,10452,IOANNIS STAMELOS,qs7KS4EAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
