name,romanize name,School-Department,University,University email domain,Rank,Apella_id
Ελευθέριος Αγγελής,Eleftherios Angelis,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,18588
Αθηνά Βακάλη,Athina Vakali,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,6097
Νικόλαος Βασιλειάδης,Nikolaos Vasileiadis,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,827
Ιωάννης Βλαχάβας,Ioannis Vlachavas,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,18860
Δημήτριος Βράκας,Dimitrios Vrakas,Πληροφορικής,ΑΠΘ,auth,Επίκουρος Καθηγητής (Μόνιμος),20819
Αναστάσιος Γούναρης ,Anastasios Gounaris ,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,21645
Σταύρος Δημητριάδης,Stavros Dimitriadis,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,17453
Παναγιώτης Κατσαρός,Panagiotis Katsaros,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,19323
Νικόλαος Κονοφάος,Nikolaos Konofaos,Πληροφορικής,ΑΠΘ,auth, Καθηγητής,18174
Κωνσταντίνος Κοτρόπουλος,Konstantinos Kotropoulos,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,5986
Νικόλαος Λάσκαρης,Nikolaos Laskaris,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,5220
Αμαλία Μήλιου,Amalia Miliou,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,12326
Νικόλαος Νικολαίδης,Nikolaos Nikolaidis,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,17238
Πέτρος Νικοπολιτίδης,Petros Nikopolitidis,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,6943
Χρήστος Ουζούνης,Christos Ouzounis,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,17407
Γεώργιος Παπαδημητρίου,Georgios Papadimitriou,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,19912
Απόστολος Παπαδόπουλος,Apostolos Papadopoulos,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,5484
Ιωάννης Πήτας,Ioannis Pitas,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,1096
Νικόλαος Πλέρος,Nikolaos Pleros,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής ,14111
Διονύσιος Πολίτης,Dionysios Politis,Πληροφορικής,ΑΠΘ,auth,Επίκουρος Καθηγητής (Μόνιμος),13928
Ιωάννης Σταμέλος,Ioannis Stamelos,Πληροφορικής,ΑΠΘ,auth,Καθηγητής,10452
Αναστάσιος Τέφας ,Anastasios Tefas ,Πληροφορικής ,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,15316
Θρασύβουλος Κωνσταντίνος Τσιάτσος,Thrasyvoulos Konstantinos Tsiatsos,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,10379
Νικόλαος Τσίτσας,Nikolaos Tsitsas,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,2482
Γρηγόριος Τσουμάκας,Grigorios Tsoumakas,Πληροφορικής,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,19915
