name,romanize name,School-Department,University,University email domain,Rank,Apella_id
 Yannis Aloimonos, Yannis Aloimonos, Computer Science,University of Maryland,University of Maryland,Καθηγητής,1297
Grigorios Antoniou,Grigorios Antoniou,Computing and Engineering,University of Huddersfield,University of Huddersfield,Καθηγητής,3297
Paris Avgeriou,Paris Avgeriou,Johann Bernoulli Institute for Mathematics and Computer Science,University of Groningen,University of Groningen,Καθηγητής,6029
George Bebis,George Bebis, Computer Science and Engineering,University of Nevada,University of Nevada,Καθηγητής,2504
Konstantinos Danas,Konstantinos Danas,Computer Science & Mathematics,"Kingston University, London","Kingston University, London",Καθηγητής,11148
Ioannis Dimitriadis,Ioannis Dimitriadis,School of Telecommunications Engineering,"University of Valladolid, Spain","University of Valladolid, Spain",Καθηγητής,1291
Petros Drineas,Petros Drineas,Computer Science,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Αναπληρωτής Καθηγητής,6835
Theodoros Evgeniou,Theodoros Evgeniou, Decision Sciences and Technology Management,Insead,Insead,Καθηγητής,7818
Dimitri  Ioannou,Dimitri  Ioannou,ECE ,"George Mason University, VA, USA","George Mason University, VA, USA",Καθηγητής,5548
Ioannis Kakadiaris,Ioannis Kakadiaris,Computational Biomedicine Lab.,University of Houston,University of Houston,Καθηγητής,104
Antonis Kakas,Antonis Kakas,Πληροφορικής,University of Cyprus,University of Cyprus,Καθηγητής,1421
Bill Kapralos,Bill Kapralos,Business and Information Technology ,University of Ontario Institute of Technology,University of Ontario Institute of Technology,Καθηγητής,1070
Dimitris Karagiannis,Dimitris Karagiannis,Computer Science,University of Vienna,University of Vienna,Καθηγητής,5128
George Karakostas,George Karakostas, Computing & Software,McMaster University,McMaster University,Αναπληρωτής Καθηγητής,6849
Vasilios Katos,Vasilios Katos,Computing & Informatics,Bournemouth College,Bournemouth College,Καθηγητής,949
Lydia Kavraki,Lydia Kavraki,"Electrical Engineering, Bioengineering and Mechanical Engineering",Rice University Huston,Rice University Huston,Καθηγητής,10716
Vassilis Kostakos,Vassilis Kostakos,School of Computing and Information Systems,University of Melbourne,University of Melbourne,Καθηγητής,2668
Panos Linos,Panos Linos,Computer Science and Software Engineering,Butler University,Butler University,Καθηγητής,488
Pericles Loucopoulos,Pericles Loucopoulos,Business School,University of Manchester,University of Manchester,Καθηγητής,851
Spiros Mancoridis,Spiros Mancoridis,Computer Science,Drexel University,Drexel University,Καθηγητής,5271
Athanasios Manikas,Athanasios Manikas,Electrical and Electronic Engineering,Imperial College,Imperial College,Professor,6500
Andreas Moshovos,Andreas Moshovos, Electrical and Computer Engineering,University of Toronto,University of Toronto,Καθηγητής,7924
Themis Palpanas,Themis Palpanas,Computer Science,Paris Descartes University,Paris Descartes University,Καθηγητής,10115
 Thrasyvoulos Pappas, Thrasyvoulos Pappas, Electrical Engineering and Computer Science,Northwestern University,Northwestern University,Καθηγητής,1911
 Konstantinos Plataniotis, Konstantinos Plataniotis, Electrical and Computer Engineering,University of Toronto,University of Toronto,Καθηγητής,9137
Panayiota Poirazi,Panayiota Poirazi,Ινστιτούτο Μοριακής Βιολογίας και Βιοτεχνολογίας,ITE,ITE,Διευθυντής Ερευνών,18797
Dimitra  Simeonidou,Dimitra  Simeonidou,f Electrical & Electronic Engineering,University of Bristol,University of Bristol,Καθηγητής,5462
Tania Stathaki,Tania Stathaki,Electrical and Electronic Engineering,Imperial College,Imperial College,Αναπληρωτής Καθηγητής,5624
Katia Sycara,Katia Sycara,Computer Science,Carnegie Mellon University,Carnegie Mellon University,Καθηγητής,9864
 John Tsotsos, John Tsotsos,Electrical Engineering and Computer Science,York University,York University,Καθηγητής,9059
Nicolas Vayatis,Nicolas Vayatis,Mathematics Research Teaching ,ENS Cachan / CMLA,ENS Cachan / CMLA,Καθηγητής,2897
Charalambos Vrasidas,Charalambos Vrasidas,School of Education,"Cardet - University of Nicosia, Cyprus","Cardet - University of Nicosia, Cyprus",Καθηγητής,3266
George Zouridakis,George Zouridakis,Engineering Technology,University of Houston,University of Houston,Καθηγητής,10132
Νικόλαος Αβούρης,Nikolaos Avouris,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,17657
Ηρακλής  Αβραμόπουλος,Iraklis  Avramopoulos,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,17892
Χαρούλα Αγγέλη,Charoula Angeli, Education,Πανεπιστήμιο Κύπρου,ucy,Καθηγητής,1884
Παντελής Αγγελίδης,Pantelis Angelidis,Μηχανικών Πληροφορικής & Τηλεπικοινωνιών,Πανεπιστήμιο Δυτικής Μακεδονίας,uowm,Καθηγητής,19621
Κωνσταντινος Μαριος Αγγελοπουλος,Konstantinos Marios Angelopoulos,Computing & Informatics,Bournemouth University,Bournemouth University,Επίκουρος Καθηγητής (Μόνιμος),20799
Κων/νος Αϊδίνης ,Kon/nos Aidinis ,Φυσικής,ΕΚΠΑ,uoa,Αναπληρωτής Καθηγητής,132
Παναγιώτης Αλεβίζος,Panagiotis Alevizos,Μαθηματικών,Πανεπιστήμιο Πατρών,upatras,Αναπληρωτής Καθηγητής,23939
Γεώργιος Αλεξίου ,Georgios Alexiou ,Μηχ. Η/Υ & Πληροφορικής ,Παν/μιο Πατρών,upatras,Καθηγητής,17242
Αντώνιος Αλετράς,Antonios Aletras,Ιατρικής,ΑΠΘ,auth,Καθηγητής,19178
Ιωάννης Αναγνωστόπουλος,Ioannis Anagnostopoulos,Πληροφορικής με Εφαρμογές στη Βιοϊατρική ,Πανεπιστήμιο Θεσσαλίας,uth,Καθηγητής,13705
Μιλτιάδης  Αναγνώστου,Miltiadis  Anagnostou,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,19482
Βασίλειος Αναστασόπουλος,Vasileios Anastasopoulos,Φυσικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,17596
Ιωάννης Ανδρεάδης ,Ioannis Andreadis ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,Δημοκρίτειο Πανεπιστήμιο Θράκης,duth,Καθηγητής,6006
Ανδρέας Ανδρέου,Andreas Andreou,Τμήμα Ηλεκτρολόγων Μηχανικών και Τεχνολογιών Πληροφορικής,Τεχνολογικό Πανεπιστήμιο Κύπρου,cut, Καθηγητής,9921
Μαργκερίτα Αντόνα,Margkerita Antona,Ινστιτούτο Πληροφορικής,ΙΤΕ,forth,Κύριος Ερευνητής,19203
Ιωάννης Αντωνίου,Ioannis Antoniou,Μαθηματικών,ΑΠΘ,auth,Καθηγητής,7651
Χρήστος Αντωνόπουλος,Christos Antonopoulos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΑΠΘ,auth,Καθηγητής,18399
Θεόδωρος  Αποστολόπουλος,Theodoros  Apostolopoulos,Πληροφορικής,ΟΠΑ,aueb,Καθηγητής,19284
Αντώνιος Αργυρός ,Antonios Argyros ,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,18605
Δημήτριος Αχλιόπτας,Dimitrios Achlioptas,Πληροφορικής και Επικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,19967
Μιχαήλ Βαζιργιάννης,Michail Vazirgiannis,Πληροφορικής,ΟΠΑ,aueb,Καθηγητής,3631
Εμμανουήλ  Βαρβαρίγος,Emmanouil  Varvarigos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,19579
Θεοδώρα Βαρβαρίγου,Theodora Varvarigou,Σχολή Ηλεκτρολόγων Μηχ. & Μηχ . Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,1699
Ηρακλής Βαρλάμης,Iraklis Varlamis,Πληροφορικής &Τηλεματικής,Χαροκόπειο Πανεπιστήμιο,hua,Αναπληρωτής Καθηγητής,21827
Δημήτριος Βάρσος,Dimitrios Varsos,Μαθηματικών,ΕΚΠΑ,uoa,Καθηγητής,4679
Μιχαήλ Βασιλακόπουλος,Michail Vasilakopoulos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,Πανεπιστήμιο Θεσσαλίας,uth,Αναπληρωτής Καθηγητής,19189
Γεώργιος Βασιλακόπουλος,Georgios Vasilakopoulos,Ψηφιακών Συστημάτων,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,6676
Παναγιώτης Βασιλειάδης,Panagiotis Vasileiadis,Μηχ Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,10082
Βασίλειος Βασσάλος,Vasileios Vassalos,Πληροφορικής,ΟΠΑ,aueb,Καθηγητής,19804
Ανδρέας Βενέρης,Andreas Veneris,ECE ,"University of Toronto, Canada","University of Toronto, Canada",Καθηγητής,7637
Ιάκωβος  Βενιέρης,Iakovos  Venieris,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,18531
