_id,name,romanize name,School-Department,University,Rank,Apella_id,Scholar name,Scholar id,ResearchGate name,ResearchGate url name/id,name_similarity,ResearchGate url type
{'$oid': '61931333ae4bf4c086788534'},Κων/νος Αϊδίνης ,Kon/nos Aidinis ,Φυσικής,uoa,Αναπληρωτής Καθηγητής,132,Unknown,Unknown,C J Aidinis,C-J-Aidinis-28700597,0.592592592592593,scientific-contributions
{'$oid': '61931605ae4bf4c08678854a'},Χρήστος Αντωνόπουλος,Christos Antonopoulos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,auth,Καθηγητής,18399,Unknown,Unknown,Christos S Antonopoulos,Christos-S-Antonopoulos-33663734,0.954545454545455,scientific-contributions
{'$oid': '619317feae4bf4c08678855a'},Δημήτριος Βάρσος,Dimitrios Varsos,Μαθηματικών,uoa,Καθηγητής,4679,Unknown,Unknown,D. Varsos,D-Varsos,,profile
{'$oid': '61931a9bae4bf4c086788570'},Θεόδωρος Βλάχος,Theodoros Vlachos,Τεχνών Ήχου και Εικόνας,ionio,Αναπληρωτής Καθηγητής,988,Unknown,Unknown,Theodore Vlachos,Theodore-Vlachos-10715695,0.909090909090909,scientific-contributions
{'$oid': '61932597ae4bf4c0867885ba'},Νικόλαος Διαμαντής,Nikolaos Diamantis,School of Mathematical Science,University of Nottingham,Αναπληρωτής Καθηγητής,2863,Unknown,Unknown,Nikolaos Diamantis,Nikolaos-Diamantis,,profile
{'$oid': '61932d0fae4bf4c0867885fa'},Αχιλλέας Καμέας,Achilleas Kameas,θετικών Επιστημων και Τεχνολογίας,eap, Καθηγητής,1858,Unknown,Unknown,Achilles Kameas,Achilles-Kameas,0.967741935483871,profile
{'$oid': '61932ea3ae4bf4c086788606'},Κωνσταντίνος Καραθανάσις,Konstantinos Karathanasis,School of Music,"University of Oklahoma, USA",Καθηγητής,1212,Unknown,Unknown,Unknown,Unknown,,
{'$oid': '61932eb8ae4bf4c08678860a'},Γεώργιος Καραμπάτης,Georgios Karampatis, Information Systems,University of Maryland Baltimore County (UMBC),Αναπληρωτής Καθηγητής,6153,Unknown,Unknown,George Karabatis,George-Karabatis,,profile
{'$oid': '61933125ae4bf4c086788614'},Ελπίδα Κεραυνού - Παπαηλιού,Elpida Keravnou - Papailiou, Πληροφορικής,Cyprus University of Technology,Καθηγητής,4473,Unknown,Unknown,Elpida T. Keravnou,Elpida-Keravnou,,profile
{'$oid': '6193497cae4bf4c08678868a'},Ανδρέας Μνιέστρης ,Andreas Mniestris ,Μουσικών Σπουδών,ionio,Αναπληρωτής Καθηγητής,3752,Unknown,Unknown,Andreas Mniestris,Andreas-Mniestris,,profile
