name,romanize name,School-Department,University,Rank,Apella_id,Scholar name,Scholar id,name_similarity
Ελευθέριος Αγγελής,Eleftherios Angelis,Πληροφορικής,auth,Καθηγητής,18588,Lefteris (Eleftherios) Angelis,IwB4XFYAAAAJ,0.7755102040816326
Αθηνά Βακάλη,Athina Vakali,Πληροφορικής,auth,Καθηγητής,6097,Athena Vakali,sq_u8P0AAAAJ,0.9230769230769231
Νικόλαος Βασιλειάδης,Nikolaos Vasileiadis,Πληροφορικής,auth,Καθηγητής,827,Nikos Vasileiadis,c-jTFZsAAAAJ,0.918918918918919
Ιωάννης Βλαχάβας,Ioannis Vlachavas,Πληροφορικής,auth,Καθηγητής,18860,Ioannis Vlahavas,xHIjg7EAAAAJ,0.9696969696969697
Δημήτριος Βράκας,Dimitrios Vrakas,Πληροφορικής,auth,Επίκουρος Καθηγητής (Μόνιμος),20819,Dimitris Vrakas,RCSbvNsAAAAJ,0.967741935483871
Αναστάσιος Γούναρης ,Anastasios Gounaris ,Πληροφορικής,auth,Αναπληρωτής Καθηγητής,21645,Anastasios Gounaris,JykpJccAAAAJ,0.9743589743589743
Σταύρος Δημητριάδης,Stavros Dimitriadis,Πληροφορικής,auth,Καθηγητής,17453,Stavros I.Dimitriadis,NPYOmX8AAAAJ,0.95
Παναγιώτης Κατσαρός,Panagiotis Katsaros,Πληροφορικής,auth,Αναπληρωτής Καθηγητής,19323,Panagiotis Katsaros,IF0oXd8AAAAJ,1.0
Νικόλαος Κονοφάος,Nikolaos Konofaos,Πληροφορικής,auth, Καθηγητής,18174,Nikos Konofaos,rC2jKL0AAAAJ,0.9032258064516129
Κωνσταντίνος Κοτρόπουλος,Konstantinos Kotropoulos,Πληροφορικής,auth,Καθηγητής,5986,Constantine Kotropoulos,c9Dl7qwAAAAJ,0.8936170212765957
Νικόλαος Λάσκαρης,Nikolaos Laskaris,Πληροφορικής,auth,Αναπληρωτής Καθηγητής,5220,Nikos Laskaris,uG8cgA4AAAAJ,0.9032258064516129
Αμαλία Μήλιου,Amalia Miliou,Πληροφορικής,auth,Αναπληρωτής Καθηγητής,12326,Amalia Miliou,LBuyVqsAAAAJ,1.0
Νικόλαος Νικολαίδης,Nikolaos Nikolaidis,Πληροφορικής,auth,Αναπληρωτής Καθηγητής,17238,Nikos Nikolaidis,AAGaVpgAAAAJ,0.9142857142857143
Πέτρος Νικοπολιτίδης,Petros Nikopolitidis,Πληροφορικής,auth,Αναπληρωτής Καθηγητής,6943,Petros Nicopolitidis,onlQ_OYAAAAJ,0.95
Χρήστος Ουζούνης,Christos Ouzounis,Πληροφορικής,auth,Καθηγητής,17407,Christos Α. Ouzounis,z_1mfIkAAAAJ,0.918918918918919
Γεώργιος Παπαδημητρίου,Georgios Papadimitriou,Πληροφορικής,auth,Καθηγητής,19912,Georgios Papadimitriou,WvYi6MAAAAAJ,1.0
Απόστολος Παπαδόπουλος,Apostolos Papadopoulos,Πληροφορικής,auth,Αναπληρωτής Καθηγητής,5484,Apostolos N. Papadopoulos,b8ptH6oAAAAJ,0.9361702127659575
Ιωάννης Πήτας,Ioannis Pitas,Πληροφορικής,auth,Καθηγητής,1096,I. Pitas,lWmGADwAAAAJ,0.6666666666666666
Νικόλαος Πλέρος,Nikolaos Pleros,Πληροφορικής,auth,Αναπληρωτής Καθηγητής ,14111,Nikos Pleros,d9L2dwsAAAAJ,0.8888888888888888
Διονύσιος Πολίτης,Dionysios Politis,Πληροφορικής,auth,Επίκουρος Καθηγητής (Μόνιμος),13928,Anastasios Politis,vf7hehYAAAAJ,0.7428571428571429
Ιωάννης Σταμέλος,Ioannis Stamelos,Πληροφορικής,auth,Καθηγητής,10452,IOANNIS STAMELOS,qs7KS4EAAAAJ,0.1875
Αναστάσιος Τέφας ,Anastasios Tefas ,Πληροφορικής ,auth,Αναπληρωτής Καθηγητής,15316,Anastasios Tefas,4stOS3YAAAAJ,0.9696969696969697
Θρασύβουλος Κωνσταντίνος Τσιάτσος,Thrasyvoulos Konstantinos Tsiatsos,Πληροφορικής,auth,Αναπληρωτής Καθηγητής,10379,Thrasyvoulos Tsiatsos,KLqgXzwAAAAJ,0.7636363636363637
Νικόλαος Τσίτσας,Nikolaos Tsitsas,Πληροφορικής,auth,Αναπληρωτής Καθηγητής,2482,Nikolaos L. Tsitsas,E2Jk3JQAAAAJ,0.9142857142857143
Γρηγόριος Τσουμάκας,Grigorios Tsoumakas,Πληροφορικής,auth,Αναπληρωτής Καθηγητής,19915,Grigorios Tsoumakas,PlGKUhwAAAAJ,1.0
