name,romanize name,School-Department,University,Rank,Apella_id,Scholar name,Scholar id
 Yannis Aloimonos, Yannis Aloimonos, Computer Science,University of Maryland,Καθηγητής,1297,Aloimonos,7QmEsOwAAAAJ
Grigorios Antoniou,Grigorios Antoniou,Computing and Engineering,University of Huddersfield,Καθηγητής,3297,Grigoris Antoniou,IzsVWfEAAAAJ
Paris Avgeriou,Paris Avgeriou,Johann Bernoulli Institute for Mathematics and Computer Science,University of Groningen,Καθηγητής,6029,Paris Avgeriou,OlYdiYMAAAAJ
George Bebis,George Bebis, Computer Science and Engineering,University of Nevada,Καθηγητής,2504,George Bebis,-uRoVEUAAAAJ
Konstantinos Danas,Konstantinos Danas,Computer Science & Mathematics,"Kingston University, London",Καθηγητής,11148,Kostas (Konstantinos) Danas,0I7D4_AAAAAJ
Ioannis Dimitriadis,Ioannis Dimitriadis,School of Telecommunications Engineering,"University of Valladolid, Spain",Καθηγητής,1291,Yannis Dimitriadis,H2UM46MAAAAJ
Petros Drineas,Petros Drineas,Computer Science,Rensselaer Polytechnic Institute,Αναπληρωτής Καθηγητής,6835,Petros Drineas,Yw2PquQAAAAJ
Theodoros Evgeniou,Theodoros Evgeniou, Decision Sciences and Technology Management,Insead,Καθηγητής,7818,Theodoros Evgeniou,GEbzNGIAAAAJ
Dimitri  Ioannou,Dimitri  Ioannou,ECE ,"George Mason University, VA, USA",Καθηγητής,5548,Dimitris Ioannou,MP4yuEAAAAAJ
Ioannis Kakadiaris,Ioannis Kakadiaris,Computational Biomedicine Lab.,University of Houston,Καθηγητής,104,Ioannis A. Kakadiaris,36SCzI0AAAAJ
Antonis Kakas,Antonis Kakas,Πληροφορικής,University of Cyprus,Καθηγητής,1421,Antonis Kakas,PrU4wEsAAAAJ
Bill Kapralos,Bill Kapralos,Business and Information Technology ,University of Ontario Institute of Technology,Καθηγητής,1070,Bill Kapralos,Gud0RdcAAAAJ
Dimitris Karagiannis,Dimitris Karagiannis,Computer Science,University of Vienna,Καθηγητής,5128,Unknown,Unknown
George Karakostas,George Karakostas, Computing & Software,McMaster University,Αναπληρωτής Καθηγητής,6849,George Karakostas,qaT9cxAAAAAJ
Vasilios Katos,Vasilios Katos,Computing & Informatics,Bournemouth College,Καθηγητής,949,Vasilios Katos,MkuiHIAAAAAJ
Lydia Kavraki,Lydia Kavraki,"Electrical Engineering, Bioengineering and Mechanical Engineering",Rice University Huston,Καθηγητής,10716,Lydia E. Kavraki,Q6pxNZYAAAAJ
Vassilis Kostakos,Vassilis Kostakos,School of Computing and Information Systems,University of Melbourne,Καθηγητής,2668,Vassilis Kostakos,JnWGV4kAAAAJ
Panos Linos,Panos Linos,Computer Science and Software Engineering,Butler University,Καθηγητής,488,Panagiotis K. Linos,mYFmkiEAAAAJ
Pericles Loucopoulos,Pericles Loucopoulos,Business School,University of Manchester,Καθηγητής,851,Pericles Loucopoulos,dPPT_pAAAAAJ
Spiros Mancoridis,Spiros Mancoridis,Computer Science,Drexel University,Καθηγητής,5271,Spiros Mancoridis,bKGwUrQAAAAJ
Athanasios Manikas,Athanasios Manikas,Electrical and Electronic Engineering,Imperial College,Professor,6500,athanassios manikas,294QJkAAAAAJ
Andreas Moshovos,Andreas Moshovos, Electrical and Computer Engineering,University of Toronto,Καθηγητής,7924,Andreas Moshovos,D2VLt-8AAAAJ
Themis Palpanas,Themis Palpanas,Computer Science,Paris Descartes University,Καθηγητής,10115,Themis Palpanas,qUBdmWgAAAAJ
 Thrasyvoulos Pappas, Thrasyvoulos Pappas, Electrical Engineering and Computer Science,Northwestern University,Καθηγητής,1911,Thrasyvoulos Pappas,FdtIIgkAAAAJ
 Konstantinos Plataniotis, Konstantinos Plataniotis, Electrical and Computer Engineering,University of Toronto,Καθηγητής,9137,Konstantinos N Plataniotis,W-4N_2gAAAAJ
Panayiota Poirazi,Panayiota Poirazi,Ινστιτούτο Μοριακής Βιολογίας και Βιοτεχνολογίας,ITE,Διευθυντής Ερευνών,18797,Panayiota Poirazi,7IidNJMAAAAJ
Dimitra  Simeonidou,Dimitra  Simeonidou,f Electrical & Electronic Engineering,University of Bristol,Καθηγητής,5462,"Dimitra Simeonidou FREng, FIEEE",DppopzYAAAAJ
Tania Stathaki,Tania Stathaki,Electrical and Electronic Engineering,Imperial College,Αναπληρωτής Καθηγητής,5624,Tania Stathaki,sAB5gI8AAAAJ
Katia Sycara,Katia Sycara,Computer Science,Carnegie Mellon University,Καθηγητής,9864,Katia Sycara,VWv6a9kAAAAJ
