,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
kmeans_cosine_7_PCA_7,0.7169,0.8336,0.6303,1.4,14.6
kmeans_cosine_7_isomap_2,0.7097,0.8381,0.6407,1.4,14.7
kmeans_cosine_4_PCA_10,0.7093,0.8128,0.6249,1.4,14.9
kmeans_euclidean_constr_5_PCA_3,0.7091,0.8351,0.6396,1.4,13.7
kmeans_cosine_7_isomap_5,0.7071,0.8339,0.6309,1.4,14.7
kmeans_cosine_7_isomap_3,0.7063,0.835,0.6315,1.4,14.9
kmeans_7_PCA_768,0.7058,0.8502,0.6555,1.6,13.3
agglomerative_5_PCA_10,0.705,0.8333,0.614,1.5,15.1
agglomerative_2_PCA_5,0.7048,0.8241,0.6099,1.5,15.1
kmeans_5_PCA_3,0.7046,0.8352,0.6398,1.4,13.9
kmeans_cosine_5_isomap_3,0.7026,0.8265,0.6173,1.5,14.8
spectral_3_PCA_3,0.7018,0.8344,0.6155,1.4,14.3
kmeans_7_isomap_7,0.7011,0.8438,0.6386,1.5,14.0
agglomerative_7_isomap_7,0.6992,0.8366,0.6229,1.5,14.8
spectral_5_PCA_2,0.6987,0.8229,0.6184,1.4,14.6
agglomerative_5_PCA_2,0.6984,0.8363,0.64,1.7,13.6
agglomerative_2_PCA_7,0.698,0.8238,0.614,1.5,14.6
kmeans_cosine_5_isomap_2,0.6978,0.8284,0.6229,1.4,14.8
kmeans_4_PCA_2,0.696,0.8534,0.6575,1.6,12.9
kmeans_euclidean_constr_4_PCA_2,0.696,0.8534,0.6575,1.6,12.9
kmeans_cosine_4_isomap_5,0.6945,0.8244,0.617,1.4,14.9
kmeans_euclidean_constr_2_PCA_3,0.6943,0.8188,0.6035,1.5,14.9
kmeans_euclidean_constr_7_isomap_2,0.6943,0.8405,0.6303,1.6,13.6
spectral_2_PCA_2,0.6939,0.8169,0.6158,1.4,14.3
agglomerative_7_isomap_10,0.6938,0.8399,0.635,1.5,13.4
spectral_5_PCA_7,0.6936,0.8081,0.5941,1.3,15.6
agglomerative_4_PCA_2,0.6931,0.8392,0.6351,1.5,13.5
agglomerative_2_PCA_10,0.6929,0.8225,0.5999,1.5,14.8
kmeans_cosine_5_isomap_7,0.6929,0.8233,0.6155,1.4,14.3
agglomerative_2_PCA_768,0.6929,0.8195,0.6053,1.5,15.2
kmeans_cosine_3_isomap_7,0.6928,0.8156,0.6118,1.5,14.9
kmeans_2_PCA_3,0.6927,0.8182,0.6033,1.5,14.9
kmeans_7_isomap_5,0.6923,0.8284,0.6065,1.5,15.5
spectral_7_PCA_7,0.6922,0.8136,0.6035,1.3,15.3
agglomerative_7_PCA_3,0.6916,0.8409,0.6325,1.5,14.2
agglomerative_4_PCA_768,0.6914,0.8382,0.6293,1.6,14.1
spectral_3_PCA_2,0.6914,0.8186,0.595,1.3,15.0
agglomerative_4_isomap_3,0.6912,0.8369,0.6198,1.5,14.6
kmeans_euclidean_constr_2_PCA_5,0.6902,0.8192,0.6011,1.5,15.2
kmeans_7_PCA_3,0.69,0.8341,0.6372,1.6,13.4
kmeans_euclidean_constr_7_PCA_5,0.6899,0.8413,0.6294,1.7,13.9
kmeans_euclidean_constr_2_PCA_7,0.6895,0.8155,0.5957,1.5,15.5
agglomerative_2_PCA_3,0.689,0.817,0.6028,1.5,15.0
kmeans_cosine_3_PCA_3,0.689,0.7928,0.592,1.3,15.5
agglomerative_4_isomap_10,0.6886,0.83,0.6196,1.4,14.0
agglomerative_4_isomap_7,0.6884,0.8273,0.6035,1.5,14.9
agglomerative_2_isomap_7,0.6883,0.8216,0.6114,1.5,14.7
kmeans_cosine_7_isomap_768,0.6882,0.8251,0.6188,1.5,14.4
agglomerative_7_isomap_3,0.6878,0.8463,0.6295,1.6,14.1
kmeans_2_PCA_5,0.6877,0.8183,0.6003,1.5,15.2
kmeans_cosine_7_PCA_10,0.6876,0.8007,0.6064,1.5,14.9
kmeans_euclidean_constr_4_PCA_768,0.6874,0.8351,0.6252,1.6,14.3
kmeans_euclidean_constr_4_isomap_768,0.6874,0.8351,0.6252,1.6,14.3
agglomerative_7_isomap_5,0.6874,0.8342,0.6183,1.5,14.6
kmeans_cosine_7_isomap_10,0.6873,0.8251,0.6177,1.4,14.4
kmeans_2_PCA_10,0.6872,0.8181,0.6005,1.5,15.0
kmeans_euclidean_constr_7_PCA_3,0.6872,0.8345,0.6336,1.6,13.3
kmeans_euclidean_constr_2_PCA_10,0.6869,0.8181,0.6002,1.5,15.0
kmeans_cosine_5_PCA_768,0.6868,0.8259,0.6165,1.5,14.7
kmeans_4_PCA_768,0.6867,0.8362,0.6259,1.6,14.2
kmeans_7_isomap_3,0.6866,0.8364,0.6186,1.6,14.4
kmeans_2_PCA_7,0.6864,0.8145,0.5951,1.5,15.5
kmeans_euclidean_constr_7_isomap_7,0.6863,0.8334,0.6252,1.5,13.9
kmeans_euclidean_constr_2_isomap_768,0.6861,0.8176,0.6002,1.5,15.0
kmeans_euclidean_constr_2_PCA_768,0.6861,0.8176,0.6002,1.5,15.0
agglomerative_2_PCA_2,0.6852,0.8202,0.6085,1.5,14.9
kmeans_2_PCA_768,0.6852,0.8171,0.5999,1.5,15.0
spectral_7_PCA_2,0.685,0.834,0.6198,1.5,14.1
kmeans_7_PCA_10,0.6836,0.8357,0.6222,1.7,15.2
kmeans_2_PCA_2,0.6835,0.8153,0.5982,1.5,15.0
agglomerative_7_PCA_7,0.6835,0.8316,0.629,1.6,13.9
kmeans_euclidean_constr_2_PCA_2,0.683,0.8153,0.5979,1.5,15.0
kmeans_cosine_4_isomap_10,0.6827,0.8225,0.63,1.7,14.5
kmeans_cosine_4_isomap_7,0.6819,0.8214,0.6095,1.5,14.8
kmeans_cosine_3_PCA_10,0.6819,0.8088,0.6087,1.5,15.3
spectral_7_PCA_3,0.6814,0.8298,0.6099,1.4,15.0
agglomerative_5_PCA_3,0.6814,0.8309,0.6171,1.6,14.6
kmeans_euclidean_constr_7_PCA_768,0.6806,0.8405,0.6345,1.7,14.0
kmeans_cosine_4_isomap_2,0.6806,0.8142,0.6031,1.4,15.6
kmeans_euclidean_constr_7_isomap_768,0.6806,0.8405,0.6345,1.7,14.0
kmeans_cosine_7_PCA_768,0.6798,0.81,0.5998,1.3,15.4
agglomerative_cosine_2_PCA_3,0.6796,0.8166,0.5991,1.5,14.9
kmeans_cosine_5_isomap_5,0.6792,0.8246,0.6143,1.6,14.8
kmeans_cosine_7_PCA_2,0.6791,0.8272,0.6121,1.4,15.1
kmeans_euclidean_constr_7_isomap_3,0.6788,0.8353,0.6134,1.6,14.0
kmeans_cosine_2_isomap_2,0.6783,0.8019,0.5975,1.5,15.7
kmeans_cosine_2_isomap_3,0.6783,0.8019,0.5975,1.5,15.7
kmeans_cosine_2_isomap_5,0.6783,0.8019,0.5975,1.5,15.7
kmeans_cosine_2_isomap_7,0.6783,0.8019,0.5975,1.5,15.7
kmeans_cosine_2_isomap_10,0.6783,0.8019,0.5975,1.5,15.7
agglomerative_7_isomap_2,0.6783,0.8417,0.6339,1.7,13.3
agglomerative_7_PCA_2,0.6782,0.8279,0.6154,1.6,14.1
agglomerative_7_PCA_10,0.6778,0.8416,0.622,1.7,13.9
agglomerative_4_PCA_5,0.6777,0.8373,0.6208,1.6,14.5
agglomerative_cosine_4_isomap_3,0.6776,0.8317,0.6127,1.6,14.2
kmeans_cosine_3_isomap_10,0.6774,0.8254,0.6184,1.6,15.1
kmeans_euclidean_constr_5_PCA_7,0.6773,0.827,0.6162,1.7,14.3
agglomerative_cosine_7_PCA_2,0.677,0.8275,0.6202,1.8,13.9
kmeans_3_PCA_3,0.6765,0.8145,0.5899,1.5,15.5
agglomerative_4_PCA_10,0.6763,0.831,0.6048,1.6,14.7
agglomerative_cosine_5_isomap_768,0.676,0.8222,0.6038,1.4,14.1
agglomerative_cosine_5_PCA_768,0.676,0.8222,0.6038,1.4,14.1
kmeans_euclidean_constr_7_PCA_10,0.6756,0.8514,0.6399,1.7,13.0
agglomerative_3_isomap_7,0.6754,0.8051,0.5791,1.4,15.5
agglomerative_cosine_2_PCA_10,0.6751,0.8141,0.5928,1.5,15.4
agglomerative_cosine_3_isomap_7,0.6751,0.8191,0.5949,1.5,14.7
kmeans_cosine_3_isomap_768,0.675,0.8121,0.6053,1.6,14.9
kmeans_cosine_3_isomap_2,0.6742,0.8208,0.6271,1.6,14.5
agglomerative_3_isomap_10,0.6742,0.805,0.5867,1.4,15.1
kmeans_euclidean_constr_3_PCA_3,0.674,0.8125,0.586,1.5,15.5
spectral_3_PCA_10,0.6735,0.8012,0.5834,1.4,15.8
kmeans_5_PCA_7,0.6734,0.8194,0.6053,1.6,14.5
kmeans_euclidean_constr_7_isomap_5,0.6727,0.8177,0.5931,1.5,15.5
spectral_4_PCA_2,0.6724,0.8138,0.5993,1.5,15.2
agglomerative_cosine_3_isomap_10,0.6724,0.8186,0.596,1.5,14.2
agglomerative_2_isomap_5,0.6719,0.8164,0.6017,1.5,14.9
kmeans_7_PCA_5,0.6715,0.8341,0.6138,1.7,13.8
agglomerative_3_PCA_768,0.6713,0.8102,0.5939,1.5,15.6
kmeans_7_PCA_7,0.6711,0.8235,0.6127,1.7,14.7
agglomerative_cosine_7_isomap_3,0.6708,0.8429,0.6427,1.8,13.0
spectral_2_PCA_3,0.6706,0.8144,0.6148,1.5,14.7
kmeans_cosine_5_isomap_768,0.6706,0.8201,0.6071,1.5,15.1
spectral_2_PCA_10,0.6696,0.8019,0.5868,1.4,15.6
kmeans_euclidean_constr_7_isomap_10,0.669,0.8219,0.6022,1.5,14.7
spectral_4_PCA_7,0.6687,0.8088,0.5898,1.4,15.2
agglomerative_cosine_2_PCA_5,0.6685,0.8093,0.5911,1.5,15.1
kmeans_4_PCA_3,0.6678,0.8316,0.6263,1.7,13.8
kmeans_3_PCA_10,0.6678,0.8087,0.5957,1.5,14.9
kmeans_euclidean_constr_7_PCA_2,0.6677,0.8268,0.6146,1.8,13.8
