,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage,First_result
specter_simcse_300_40_3e-5_agglomerative_7_PCA_5,0.7515,0.8716,0.7125,0.7727,11.3636,1.4545
specter_simcse_300_14_3e-5_kmeans_euclidean_constr_5_PCA_10,0.7198,0.8606,0.6942,0.7424,11.4545,1.6364
specter_simcse_300_14_3e-5_kmeans_5_PCA_7,0.7312,0.8648,0.7039,0.75,11.4545,1.6364
specter_simcse_300_40_3e-5_kmeans_cosine_7_isomap_10,0.7545,0.8704,0.7116,0.8182,11.4545,1.3636
specter_simcse_300_40_3e-5_agglomerative_7_PCA_7,0.7439,0.8683,0.7002,0.803,11.4545,1.4545
specter_simcse_300_40_3e-5_agglomerative_7_isomap_10,0.743,0.8635,0.7003,0.8182,11.5455,1.3636
specter_simcse_300_40_3e-5_agglomerative_cosine_5_PCA_7,0.79,0.8731,0.7195,0.8636,11.5455,1.2727
specter_simcse_300_14_3e-5_kmeans_5_PCA_10,0.7132,0.8602,0.6913,0.697,11.5455,1.7273
specter_simcse_300_40_3e-5_agglomerative_cosine_7_PCA_7,0.7625,0.8713,0.7104,0.8182,11.5455,1.3636
specter_simcse_260_18_3e-5_kmeans_euclidean_constr_5_PCA_10,0.7015,0.8505,0.6683,0.75,11.6364,1.6364
specter_simcse_300_40_3e-5_kmeans_cosine_5_PCA_7,0.7547,0.8721,0.7193,0.7576,11.6364,1.5455
specter_simcse_260_18_3e-5_kmeans_5_PCA_10,0.6959,0.8469,0.6615,0.75,11.6364,1.6364
specter_simcse_300_40_3e-5_kmeans_euclidean_constr_7_isomap_10,0.7404,0.858,0.6771,0.8636,11.6364,1.2727
specter_simcse_300_40_3e-5_kmeans_cosine_5_PCA_10,0.7569,0.8597,0.7218,0.7955,11.6364,1.5455
specter_simcse_300_40_3e-5_agglomerative_cosine_5_isomap_10,0.723,0.8612,0.6913,0.7576,11.6364,1.5455
specter_simcse_300_40_3e-5_agglomerative_cosine_5_PCA_10,0.7795,0.8689,0.7177,0.8636,11.7273,1.2727
specter_simcse_300_40_3e-5_kmeans_5_PCA_7,0.732,0.8565,0.6953,0.7955,11.7273,1.5455
specter_simcse_300_14_3e-5_kmeans_euclidean_constr_7_PCA_7,0.7324,0.8602,0.6922,0.803,11.8182,1.4545
