,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
kmeans_4_PCA_2,0.696,0.8534,0.6575,1.6,12.9
agglomerative_5_PCA_2,0.6984,0.8363,0.64,1.7,13.6
kmeans_5_PCA_3,0.7046,0.8352,0.6398,1.4,13.9
kmeans_7_isomap_7,0.7011,0.8438,0.6386,1.5,14.0
kmeans_7_PCA_3,0.69,0.8341,0.6372,1.6,13.4
agglomerative_4_PCA_2,0.6931,0.8392,0.6351,1.5,13.5
agglomerative_7_isomap_10,0.6938,0.8399,0.635,1.5,13.4
agglomerative_7_isomap_2,0.6783,0.8417,0.6339,1.7,13.3
agglomerative_7_PCA_3,0.6916,0.8409,0.6325,1.5,14.2
kmeans_5_PCA_2,0.6505,0.8365,0.63,1.7,13.0
agglomerative_7_isomap_3,0.6878,0.8463,0.6295,1.6,14.1
kmeans_4_PCA_10,0.6672,0.8369,0.6292,1.9,13.7
agglomerative_7_PCA_7,0.6835,0.8316,0.629,1.6,13.9
kmeans_4_PCA_3,0.6678,0.8316,0.6263,1.7,13.8
kmeans_5_isomap_7,0.6581,0.8287,0.6242,1.7,13.9
agglomerative_7_isomap_7,0.6992,0.8366,0.6229,1.5,14.8
kmeans_4_PCA_7,0.662,0.8325,0.6228,1.8,14.1
kmeans_7_PCA_10,0.6836,0.8357,0.6222,1.7,15.2
agglomerative_7_PCA_10,0.6778,0.8416,0.622,1.7,13.9
agglomerative_4_PCA_5,0.6777,0.8373,0.6208,1.6,14.5
kmeans_5_isomap_10,0.6562,0.8284,0.6208,1.7,13.8
agglomerative_4_isomap_3,0.6912,0.8369,0.6198,1.5,14.6
spectral_7_PCA_2,0.685,0.834,0.6198,1.5,14.1
agglomerative_4_isomap_10,0.6886,0.83,0.6196,1.4,14.0
kmeans_7_isomap_3,0.6866,0.8364,0.6186,1.6,14.4
kmeans_5_isomap_3,0.662,0.8333,0.6185,1.7,13.9
agglomerative_5_isomap_3,0.6597,0.839,0.6184,1.7,13.9
spectral_5_PCA_2,0.6987,0.8229,0.6184,1.4,14.6
agglomerative_7_isomap_5,0.6874,0.8342,0.6183,1.5,14.6
agglomerative_5_PCA_3,0.6814,0.8309,0.6171,1.6,14.6
kmeans_4_PCA_5,0.6512,0.8276,0.6168,1.9,14.0
agglomerative_7_PCA_5,0.6675,0.8326,0.6167,1.7,14.0
spectral_2_PCA_2,0.6939,0.8169,0.6158,1.4,14.3
spectral_3_PCA_3,0.7018,0.8344,0.6155,1.4,14.3
agglomerative_7_PCA_2,0.6782,0.8279,0.6154,1.6,14.1
spectral_2_PCA_3,0.6706,0.8144,0.6148,1.5,14.7
kmeans_5_PCA_10,0.6625,0.8226,0.6144,1.8,14.1
kmeans_4_isomap_3,0.6632,0.8282,0.6142,1.7,13.9
agglomerative_2_PCA_7,0.698,0.8238,0.614,1.5,14.6
agglomerative_5_PCA_10,0.705,0.8333,0.614,1.5,15.1
kmeans_7_PCA_5,0.6715,0.8341,0.6138,1.7,13.8
kmeans_7_PCA_7,0.6711,0.8235,0.6127,1.7,14.7
agglomerative_2_isomap_7,0.6883,0.8216,0.6114,1.5,14.7
spectral_7_PCA_3,0.6814,0.8298,0.6099,1.4,15.0
