,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
kmeans_7_isomap_2,0.4187,0.8979,0.2289,1.7,167.3
kmeans_2_PCA_5,0.393,0.898,0.2201,2.1,172.0
kmeans_2_PCA_2,0.3878,0.8966,0.2163,2.2,172.6
kmeans_5_isomap_2,0.4203,0.8923,0.2138,1.5,173.0
agglomerative_2_PCA_10,0.3789,0.8989,0.2139,2.1,173.7
kmeans_2_PCA_7,0.3911,0.8968,0.2171,2.2,174.3
agglomerative_2_isomap_10,0.4114,0.8967,0.2193,1.2,174.3
agglomerative_2_PCA_2,0.3924,0.896,0.2154,1.9,175.6
agglomerative_7_isomap_2,0.4207,0.8939,0.214,1.4,176.1
kmeans_2_PCA_3,0.3969,0.8971,0.2198,1.9,176.2
agglomerative_2_isomap_7,0.4007,0.895,0.2119,1.4,177.4
kmeans_2_isomap_2,0.4009,0.894,0.2192,1.9,178.6
agglomerative_5_isomap_10,0.4223,0.8911,0.2089,1.7,178.9
kmeans_2_isomap_3,0.3952,0.8937,0.2152,1.5,179.5
kmeans_2_isomap_10,0.4029,0.8925,0.217,1.4,179.9
kmeans_2_PCA_10,0.3964,0.8967,0.2179,2.0,179.9
kmeans_7_isomap_10,0.429,0.8949,0.2151,1.6,180.2
agglomerative_2_isomap_2,0.4093,0.8961,0.2149,1.3,180.2
agglomerative_3_isomap_10,0.4044,0.8894,0.2196,2.3,180.3
agglomerative_2_isomap_3,0.3932,0.8913,0.211,1.7,180.5
kmeans_2_isomap_7,0.4004,0.8942,0.2171,1.5,180.5
kmeans_3_isomap_3,0.3996,0.8902,0.217,1.9,180.6
kmeans_2_isomap_5,0.4042,0.8934,0.2161,1.4,181.3
agglomerative_3_PCA_2,0.3966,0.8917,0.2103,2.1,181.3
kmeans_7_isomap_7,0.447,0.8975,0.2134,1.5,182.0
agglomerative_2_PCA_3,0.3911,0.8977,0.2169,2.3,182.2
agglomerative_5_PCA_10,0.387,0.8854,0.1953,2.8,182.5
kmeans_3_isomap_5,0.4055,0.8885,0.2152,2.0,182.6
kmeans_5_isomap_10,0.4045,0.8907,0.203,2.2,182.7
agglomerative_2_PCA_5,0.3992,0.8973,0.2158,1.8,182.8
kmeans_4_isomap_2,0.4073,0.8887,0.2153,1.8,183.6
agglomerative_2_isomap_5,0.4031,0.8907,0.2161,2.2,183.7
agglomerative_3_isomap_7,0.4036,0.8853,0.2074,2.2,183.8
kmeans_3_isomap_7,0.3895,0.8872,0.2071,2.2,184.3
kmeans_3_PCA_10,0.3868,0.8884,0.2112,2.1,184.7
agglomerative_4_PCA_2,0.4089,0.8949,0.2072,2.0,184.8
kmeans_5_PCA_2,0.4225,0.8954,0.2108,2.0,185.1
kmeans_5_isomap_7,0.4031,0.8878,0.2033,1.9,185.2
kmeans_4_PCA_7,0.3929,0.8904,0.2046,2.3,185.3
kmeans_7_isomap_5,0.422,0.8923,0.2105,1.6,185.5
kmeans_4_isomap_3,0.4153,0.8908,0.2125,1.9,185.9
agglomerative_4_isomap_10,0.408,0.8834,0.2094,2.0,186.0
kmeans_3_isomap_2,0.4007,0.8862,0.2168,1.8,186.0
agglomerative_5_isomap_5,0.407,0.8889,0.2055,2.0,186.2
kmeans_4_isomap_5,0.4128,0.8868,0.2055,1.8,186.3
kmeans_4_PCA_5,0.4144,0.8901,0.2063,1.5,186.7
agglomerative_3_isomap_5,0.3838,0.8851,0.2124,1.8,186.8
agglomerative_3_isomap_3,0.3819,0.8831,0.2014,1.8,187.1
agglomerative_4_PCA_3,0.3996,0.8878,0.2017,1.5,187.2
kmeans_3_PCA_7,0.3833,0.8881,0.211,1.8,187.4
agglomerative_5_isomap_2,0.4075,0.8851,0.1999,1.3,187.5
agglomerative_2_PCA_7,0.3928,0.8939,0.2126,2.1,187.5
kmeans_4_PCA_2,0.4134,0.8916,0.2109,1.8,187.9
max_articles,0.4349,0.8987,0.2277,1.2,187.9
agglomerative_5_PCA_3,0.4069,0.8923,0.2007,1.4,188.1
kmeans_5_isomap_5,0.411,0.8874,0.2038,1.9,188.1
kmeans_5_isomap_3,0.4016,0.8872,0.2038,2.2,188.5
kmeans_4_isomap_10,0.3856,0.8861,0.2065,2.2,188.9
kmeans_4_PCA_3,0.4054,0.8888,0.2056,1.9,189.0
kmeans_3_PCA_5,0.3857,0.884,0.2116,2.0,189.0
kmeans_3_PCA_3,0.3791,0.8864,0.2064,2.1,189.2
