,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
kmeans_cosine_7_PCA_2,0.4019,0.864,0.1958,1.1,241.8
agglomerative_PCA_variable,0.4138,0.886,0.195,1.1,185.6
max_articles,0.4349,0.8987,0.2277,1.2,187.9
kmeans_7_PCA_3,0.4105,0.8916,0.1985,1.2,190.1
agglomerative_2_isomap_10,0.4114,0.8967,0.2193,1.2,174.3
agglomerative_7_PCA_2,0.4206,0.8934,0.2053,1.2,193.5
kmeans_euclidean_constr_7_PCA_3,0.4116,0.893,0.2052,1.2,183.6
kmeans_cosine_3_PCA_768,0.4094,0.8873,0.2231,1.3,201.6
kmeans_cosine_7_PCA_7,0.4095,0.8725,0.1797,1.3,260.6
agglomerative_5_isomap_2,0.4075,0.8851,0.1999,1.3,187.5
agglomerative_2_isomap_2,0.4093,0.8961,0.2149,1.3,180.2
spectral_7_PCA_2,0.4237,0.8955,0.2083,1.3,190.0
agglomerative_cosine_3_isomap_7,0.4368,0.8917,0.2274,1.3,183.9
agglomerative_3_PCA_5,0.4041,0.8887,0.2021,1.3,191.8
kmeans_2_isomap_10,0.4029,0.8925,0.217,1.4,179.9
kmeans_cosine_5_PCA_768,0.3988,0.8839,0.1969,1.4,209.3
agglomerative_7_isomap_2,0.4207,0.8939,0.214,1.4,176.1
agglomerative_4_isomap_2,0.4015,0.8851,0.2035,1.4,190.7
kmeans_cosine_4_PCA_5,0.3693,0.8074,0.098,1.4,351.7
agglomerative_2_isomap_7,0.4007,0.895,0.2119,1.4,177.4
spectral_4_PCA_2,0.4047,0.8887,0.2095,1.4,184.9
agglomerative_cosine_7_PCA_768,0.3637,0.8818,0.1757,1.4,200.6
kmeans_euclidean_constr_2_isomap_10,0.4057,0.8914,0.2196,1.4,178.3
kmeans_2_isomap_5,0.4042,0.8934,0.2161,1.4,181.3
kmeans_euclidean_constr_2_isomap_5,0.4073,0.8926,0.2188,1.4,179.3
agglomerative_cosine_7_isomap_768,0.3637,0.8818,0.1757,1.4,200.6
kmeans_euclidean_constr_7_PCA_10,0.4543,0.8968,0.2116,1.4,172.2
agglomerative_5_PCA_3,0.407,0.8924,0.2008,1.4,188.3
kmeans_euclidean_constr_7_PCA_5,0.4035,0.8856,0.2006,1.4,193.8
spectral_3_PCA_3,0.3967,0.8954,0.2138,1.5,196.9
kmeans_euclidean_constr_7_isomap_5,0.4243,0.8907,0.2117,1.5,187.0
kmeans_4_PCA_5,0.4144,0.8901,0.2063,1.5,186.7
kmeans_cosine_5_PCA_7,0.3484,0.788,0.0892,1.5,370.6
kmeans_2_isomap_3,0.3952,0.8937,0.2152,1.5,179.5
kmeans_cosine_2_PCA_768,0.4024,0.8958,0.2151,1.5,191.8
kmeans_cosine_2_PCA_10,0.4111,0.8932,0.2187,1.5,181.9
kmeans_euclidean_constr_7_isomap_7,0.4275,0.8919,0.2095,1.5,189.5
kmeans_cosine_3_PCA_10,0.3753,0.8419,0.143,1.5,273.4
agglomerative_cosine_7_PCA_10,0.4244,0.8864,0.2112,1.5,193.1
agglomerative_cosine_2_isomap_7,0.4252,0.8967,0.227,1.5,178.2
kmeans_euclidean_constr_7_isomap_10,0.4429,0.8969,0.2153,1.5,182.1
agglomerative_cosine_2_isomap_5,0.4175,0.8928,0.2179,1.5,186.7
agglomerative_7_isomap_7,0.4304,0.8941,0.2118,1.5,193.4
spectral_2_PCA_3,0.4096,0.894,0.2186,1.5,185.8
agglomerative_4_PCA_3,0.3996,0.8878,0.2017,1.5,187.2
kmeans_euclidean_constr_2_isomap_3,0.3992,0.8928,0.2176,1.5,177.8
spectral_5_PCA_3,0.3799,0.8849,0.1939,1.5,194.8
kmeans_euclidean_constr_5_PCA_5,0.4061,0.8804,0.1941,1.5,204.1
kmeans_euclidean_constr_4_PCA_5,0.4182,0.8906,0.21,1.5,187.6
kmeans_euclidean_constr_2_isomap_7,0.4045,0.8933,0.2201,1.5,178.8
kmeans_7_isomap_7,0.447,0.8975,0.2134,1.5,182.0
kmeans_2_isomap_7,0.4004,0.8942,0.2171,1.5,180.5
kmeans_5_isomap_2,0.4203,0.8923,0.2138,1.5,173.0
spectral_5_PCA_2,0.3985,0.8819,0.2009,1.5,202.3
agglomerative_cosine_3_PCA_5,0.4155,0.8913,0.2137,1.5,190.0
agglomerative_cosine_5_PCA_5,0.4105,0.8865,0.2101,1.5,189.5
spectral_7_PCA_768,0.3272,0.7391,0.1244,1.5,348.8
spectral_3_PCA_768,0.4067,0.8368,0.1636,1.6,349.7
spectral_7_PCA_5,0.3991,0.8792,0.193,1.6,215.8
kmeans_5_PCA_5,0.4122,0.8834,0.2007,1.6,206.8
kmeans_7_isomap_5,0.422,0.8923,0.2105,1.6,185.5
agglomerative_cosine_4_PCA_5,0.4156,0.8898,0.2078,1.6,193.2
agglomerative_cosine_5_PCA_3,0.4066,0.8802,0.1926,1.6,204.0
kmeans_7_PCA_5,0.3943,0.8842,0.1962,1.6,198.9
kmeans_7_isomap_10,0.429,0.8949,0.2151,1.6,180.2
agglomerative_cosine_7_PCA_5,0.4071,0.8873,0.2034,1.6,189.3
agglomerative_cosine_3_isomap_3,0.4127,0.8914,0.2181,1.6,186.3
spectral_4_PCA_10,0.4125,0.8907,0.2035,1.6,222.2
spectral_2_PCA_2,0.3944,0.8967,0.2125,1.6,185.6
agglomerative_4_PCA_5,0.4068,0.8872,0.1967,1.6,198.9
kmeans_cosine_2_isomap_768,0.4052,0.8924,0.1974,1.6,205.1
kmeans_euclidean_constr_4_PCA_3,0.4179,0.8885,0.2087,1.6,190.4
kmeans_euclidean_constr_4_PCA_10,0.4062,0.8895,0.2061,1.6,184.9
agglomerative_3_isomap_2,0.407,0.8846,0.205,1.6,192.0
kmeans_euclidean_constr_3_isomap_2,0.4074,0.8859,0.2194,1.6,184.8
agglomerative_7_isomap_5,0.423,0.8936,0.2131,1.6,192.3
kmeans_cosine_3_isomap_768,0.4075,0.8931,0.2081,1.6,192.0
agglomerative_cosine_7_isomap_7,0.4155,0.8885,0.1981,1.6,197.2
agglomerative_cosine_5_isomap_7,0.4082,0.8868,0.1957,1.6,202.2
kmeans_euclidean_constr_5_isomap_2,0.4225,0.8905,0.2145,1.6,182.3
agglomerative_cosine_5_isomap_2,0.4085,0.8874,0.209,1.6,180.0
kmeans_euclidean_constr_4_isomap_5,0.4099,0.8862,0.2065,1.7,186.2
spectral_2_PCA_10,0.4195,0.8945,0.2156,1.7,197.2
kmeans_PCA_variable,0.3938,0.8826,0.1905,1.7,186.4
spectral_5_PCA_10,0.4129,0.8662,0.1998,1.7,283.7
spectral_2_PCA_7,0.4225,0.8933,0.2158,1.7,192.9
kmeans_cosine_5_isomap_5,0.3773,0.8656,0.198,1.7,229.8
kmeans_cosine_4_isomap_3,0.3918,0.8735,0.186,1.7,256.9
spectral_7_PCA_10,0.3987,0.8801,0.2001,1.7,217.7
agglomerative_3_PCA_768,0.4151,0.8942,0.2054,1.7,191.7
spectral_2_PCA_768,0.4207,0.8936,0.2151,1.7,195.4
kmeans_euclidean_constr_4_isomap_7,0.3902,0.8863,0.207,1.7,191.0
agglomerative_cosine_4_isomap_3,0.4199,0.8889,0.2078,1.7,192.6
kmeans_cosine_3_isomap_5,0.403,0.8878,0.2152,1.7,209.7
agglomerative_cosine_4_isomap_2,0.4129,0.8923,0.2188,1.7,181.1
agglomerative_cosine_4_isomap_7,0.3979,0.8856,0.2028,1.7,197.9
agglomerative_cosine_2_isomap_10,0.4249,0.8956,0.2287,1.7,180.8
agglomerative_cosine_5_isomap_5,0.4309,0.8937,0.207,1.7,185.6
kmeans_cosine_3_PCA_2,0.3717,0.7879,0.1179,1.7,339.3
kmeans_cosine_3_PCA_7,0.3507,0.8083,0.1127,1.7,338.1
kmeans_cosine_2_isomap_2,0.4168,0.8935,0.2141,1.7,189.8
spectral_4_PCA_768,0.3874,0.8077,0.1029,1.7,385.6
kmeans_cosine_2_isomap_3,0.4168,0.8935,0.2141,1.7,189.8
kmeans_cosine_2_isomap_7,0.4168,0.8936,0.2138,1.7,189.6
agglomerative_cosine_7_PCA_2,0.4168,0.8864,0.1974,1.7,190.9
kmeans_cosine_2_isomap_10,0.4168,0.8935,0.2139,1.7,189.9
kmeans_cosine_3_isomap_2,0.3912,0.865,0.1797,1.7,264.6
kmeans_cosine_3_isomap_3,0.4061,0.8767,0.2074,1.7,234.5
agglomerative_cosine_3_PCA_2,0.4146,0.8884,0.2133,1.7,186.1
kmeans_cosine_2_isomap_5,0.4168,0.8935,0.2141,1.7,189.8
kmeans_cosine_3_PCA_3,0.3736,0.8018,0.1123,1.7,325.2
agglomerative_cosine_2_isomap_3,0.4101,0.8928,0.2216,1.7,186.8
kmeans_7_isomap_3,0.397,0.8894,0.2096,1.7,191.6
agglomerative_5_isomap_7,0.4056,0.8871,0.2005,1.7,197.2
kmeans_5_PCA_3,0.3892,0.8803,0.1885,1.7,201.1
kmeans_7_isomap_2,0.4187,0.8979,0.2289,1.7,167.3
agglomerative_5_PCA_2,0.4129,0.8912,0.2051,1.7,196.4
kmeans_4_PCA_10,0.3997,0.8856,0.1995,1.7,200.7
agglomerative_5_isomap_10,0.4223,0.8911,0.2089,1.7,178.9
mean,0.4242,0.8948,0.2184,1.7,193.0
agglomerative_5_PCA_7,0.3934,0.8876,0.1985,1.7,190.7
agglomerative_7_PCA_3,0.3934,0.8898,0.1975,1.7,200.1
agglomerative_2_isomap_3,0.3932,0.8913,0.211,1.7,180.5
kmeans_4_PCA_2,0.4134,0.8916,0.2109,1.8,187.9
agglomerative_cosine_5_isomap_3,0.4083,0.8868,0.1973,1.8,186.9
kmeans_euclidean_constr_2_isomap_768,0.3982,0.8964,0.221,1.8,169.4
agglomerative_cosine_5_isomap_10,0.4231,0.8871,0.2029,1.8,196.1
spectral_3_PCA_10,0.4044,0.8728,0.2025,1.8,231.0
kmeans_euclidean_constr_4_isomap_3,0.4192,0.8911,0.2144,1.8,185.2
kmeans_3_PCA_7,0.3833,0.8881,0.211,1.8,187.4
agglomerative_2_PCA_5,0.3992,0.8973,0.2158,1.8,182.8
agglomerative_cosine_7_isomap_10,0.4275,0.8926,0.2115,1.8,187.1
kmeans_euclidean_constr_4_isomap_2,0.413,0.8901,0.2187,1.8,183.2
kmeans_euclidean_constr_7_PCA_768,0.4337,0.8928,0.2178,1.8,174.5
spectral_4_PCA_3,0.3922,0.8851,0.1922,1.8,205.0
spectral_4_PCA_5,0.4084,0.8866,0.2013,1.8,219.5
kmeans_euclidean_constr_7_PCA_2,0.4238,0.8969,0.212,1.8,184.3
kmeans_euclidean_constr_5_PCA_768,0.3957,0.8755,0.1893,1.8,209.2
kmeans_cosine_isomap_variable,0.417,0.8841,0.2027,1.8,195.6
agglomerative_5_PCA_5,0.3927,0.8847,0.1954,1.8,205.3
kmeans_euclidean_constr_5_PCA_3,0.3923,0.8807,0.1912,1.8,199.2
spectral_3_PCA_2,0.3685,0.8931,0.2094,1.8,173.9
kmeans_7_PCA_10,0.4178,0.8871,0.1938,1.8,198.0
kmeans_3_isomap_2,0.4007,0.8862,0.2168,1.8,186.0
kmeans_euclidean_constr_3_PCA_7,0.3861,0.8875,0.2106,1.8,187.8
kmeans_4_isomap_5,0.4128,0.8868,0.2055,1.8,186.3
kmeans_euclidean_constr_2_PCA_768,0.3982,0.8964,0.221,1.8,169.4
kmeans_4_isomap_2,0.4073,0.8887,0.2153,1.8,183.6
kmeans_euclidean_constr_7_PCA_7,0.4078,0.891,0.2046,1.8,190.9
spectral_5_PCA_768,0.3728,0.7764,0.1514,1.8,339.9
