Name_roman,Cosine_score
Ioannis Pitas,0.6538
Nikolaos Tsitsas,0.6493
Konstantinos Kotropoulos,0.6489
Apostolos Papadopoulos,0.6391
Georgios Papadimitriou,0.6372
Eleftherios Angelis,0.6333
Ioannis Vlachavas,0.6304
Nikolaos Vasileiadis,0.6297
Nikolaos Laskaris,0.6285
Nikolaos Konofaos,0.6279
Nikolaos Nikolaidis,0.6246
Ioannis Stamelos,0.6224
Thrasyvoulos Konstantinos Tsiatsos,0.6193
Athina Vakali,0.6174
Amalia Miliou,0.6166
Anastasios Tefas ,0.6165
Stavros Dimitriadis,0.6149
Panagiotis Katsaros,0.6136
Christos Ouzounis,0.608
Grigorios Tsoumakas,0.6021
Anastasios Gounaris ,0.5946
Nikolaos Pleros,0.5906
Petros Nikopolitidis,0.0
Dimitrios Vrakas,0.0
Dionysios Politis,0.0
