Name_roman,Cosine_score
Nikolaos Tsitsas,0.6188
Nikolaos Laskaris,0.6004
Panagiotis Katsaros,0.5971
Eleftherios Angelis,0.5965
Ioannis Pitas,0.591
Nikolaos Nikolaidis,0.5888
Ioannis Vlachavas,0.5884
Georgios Papadimitriou,0.5883
Nikolaos Konofaos,0.5877
Konstantinos Kotropoulos,0.5875
Nikolaos Vasileiadis,0.5865
Ioannis Stamelos,0.585
Thrasyvoulos Konstantinos Tsiatsos,0.5841
Athina Vakali,0.584
Apostolos Papadopoulos,0.5825
Christos Ouzounis,0.5779
Stavros Dimitriadis,0.5731
Anastasios Tefas ,0.5711
Amalia Miliou,0.5677
Grigorios Tsoumakas,0.566
Anastasios Gounaris ,0.5596
Nikolaos Pleros,0.5438
Petros Nikopolitidis,0.0
Dimitrios Vrakas,0.0
Dionysios Politis,0.0
