Name_roman,Cosine_score
Georgios Tompras ,0.6747
Dion.-Dimitrios Koutsouris,0.6663
Christos Douligeris,0.6652
Ioannis Ioannidis,0.6643
Michail Vrachatis,0.664
Evrypidis Petrakis,0.6599
Georgios Vouros,0.6587
Ioannis Emiris,0.6583
Dimitrios Sampson,0.6577
Georgios Syrakoulis,0.6571
Christos Panagiotakopoulos,0.6554
Ioannis Stratis,0.6537
Konstantinos Stefanidis,0.6526
Georgios Rachonis,0.6522
Katia Sycara,0.6517
 Konstantinos Plataniotis,0.6513
Lydia Kavraki,0.651
Elpida Keravnou - Papailiou,0.651
Christos Koukouvinos,0.6508
Petros Maragkos,0.6491
Antonis Charalampopoulos,0.6485
Dimitrios Frantzeskakis ,0.6485
Georgios Tsichrintzis,0.6484
Georgios Karypis,0.6477
Vangelis Paschos,0.6472
Ioannis Antoniou,0.6468
Nikolaos Papaspyrou,0.6468
Konstantinos Pattichis,0.6459
Argyrios Dentsoras,0.6459
Georgios Fikioris,0.6454
Konstantina Nikita,0.6448
Emmanouil Giakoumakis,0.6447
Vasileios Megalooikonomou,0.6439
Nikolaos Karampetakis,0.6431
Dimitrios  Vergados,0.6426
Dimitrios Serpanos ,0.6423
Polyxeni Pange - Lekka,0.6414
Achilleas Kameas,0.6412
Antonios Gasteratos,0.6408
Alexios Delis,0.6405
Giannis Papadopoulos,0.6403
Nikolaos Paragyios,0.64
Leontios Chatzileontiadis,0.6388
Athanasios Kechagias,0.6384
Christos Zaroliagkis,0.6381
Panagiotis Demestichas,0.6379
Alkiviadis Chatzopoulos ,0.6376
Iakovos  Venieris,0.6376
Grigorios Antoniou,0.6369
Dimitrios Thilykos,0.6367
Ioannis Andreadis ,0.6362
Christos Politis,0.6361
Ioannis Anagnostopoulos,0.6356
Dimitrios Gkritzalis,0.6353
Sotirios Nikoletseas,0.6353
Ioannis Kakadiaris,0.6348
Konstantinos Margaritis,0.6343
 Theodoros Laopoulos,0.634
Michail Zervakis,0.6337
Iraklis Varlamis,0.6335
Athanasios Ntarantoumis,0.6334
Michail Taroudakis,0.6331
Nikolaos Kyrpidis,0.6328
Efstathios  Sykas,0.6321
Maria  Virvou,0.632
 John Tsotsos,0.6314
Georgios Sergiadis,0.6298
Athanasios Skodras,0.6298
Ioannis Mavridis,0.6294
Michail Lagoudakis,0.6294
Nikos Magklaveras,0.6293
Traianos Gioultsis,0.6293
Nikolaos Sidiropoulos,0.6291
Stefanos Kollias ,0.629
Georgios Pavlou,0.6288
Ioannis Tigkelis ,0.6285
Diomidis Spinellis,0.6282
Ioannis Pratikakis,0.6277
Christos Antonopoulos,0.6274
Theodora Varvarigou,0.6273
Themistoklis Panagiotopoulos,0.627
 Thrasyvoulos Pappas,0.627
Emmanouil Roumeliotis,0.6269
Konstantinos Moustakas,0.6267
Nikolaos Bourmpakis,0.6263
Spyridon Lykothanasis,0.6262
Stefanos Gkritzalis,0.6257
Kyriakos Sgarmpas,0.6256
Ioannis Smaragdakis,0.6255
Athanasios Giannakopoulos,0.625
Nikolaos Avouris,0.6247
Antonios Savvidis,0.6247
Dimosthenis Vougioukas ,0.6244
Vasileios Chrysikopoulos,0.6244
Thomas Xenos,0.6243
Vasileios Komis,0.6242
Stylianos  Tzortzakis,0.6239
Tasoula Georgaki,0.6239
Vasileios Anastasopoulos,0.6238
Anastasios  Oikonomidis,0.6236
Nikolas Tsapatsoulis,0.6234
Georgios Karagiannidis ,0.6233
Ioannis Mourtzopoulos,0.6232
Efstratios Gallopoulos,0.6231
Dimitrios  Syvridis,0.6231
Marios Mavronikolas,0.623
Angeliki Dimitrakopoulou,0.623
 Dimitrios Tzovaras ,0.6229
Dimitris Karagiannis,0.6226
Dimitrios  Gounopoulos,0.6226
Antonios Argyros ,0.6226
Ioannis Psarras,0.6219
Aristeidis Kontogeorgis,0.6218
Ioannis Chatzilygeroudis,0.6217
Aikaterini Mania,0.6216
Michail Vazirgiannis,0.6211
Georgios Kouroupetroglou ,0.6205
Theocharis Theocharis ,0.6204
Georgios Paliouras,0.6203
Stavros Nikolopoulos,0.6202
Kon/nos Aidinis ,0.6201
Ioannis Tollis,0.6196
Konstantinos Masselos,0.6194
Andreas Floros ,0.6194
Christos Schizas,0.6192
Kon/nos Psychalinos ,0.619
Pavlos - Petros Sotiriadis,0.6188
Georgios Ellinas,0.6188
Konstantinos Stathis,0.6187
Bill Kapralos,0.6186
Georgios Papaioannou,0.6185
Evripidis Chatzikraniotis,0.6184
Antonios Bogris,0.6183
Athanasios Manikas,0.618
Odysseas Koufopavlou ,0.6179
Georgios Angelos Papadopoulos,0.6177
Michalis Zervas,0.6175
 Emmanouil Kriezis,0.6175
Pantelis Bagkos,0.6173
Vasileios Tsaousidis,0.6172
Nikolaos Grammalidis,0.617
Pericles Loucopoulos,0.6167
Andreas Andreou,0.6166
Georgios Papagiannakis,0.6166
Dimitrios Poulakis,0.6164
Dimitrios Kougioumtzis,0.6162
Georgios Stamoulis,0.6157
Ioannis Rekanos,0.6155
Periklis Mitkas,0.6153
Ioannis Theodoridis,0.6153
Spyridon Sioutas,0.615
Alexios Birmpas,0.6148
Nikolaos Diamantis,0.6148
Georgios Rovithakis,0.6144
Lampros Stergioulas,0.6144
 Dimitrios  Tsoukalas,0.6141
Ioannis Nikolaidis,0.614
Aristeidis Lykas,0.6139
Alexandros Chatzigeorgiou,0.6137
Theodora Ioannidou,0.6136
George Bebis,0.6135
Georgios Tzanetakis,0.6134
Emmanouil  Varvarigos,0.6133
Evangelos Milios,0.6133
Panagiotis  Kottis,0.6133
Konstantinos Mourlas,0.6129
Michail Devetsikiotis - Chatzinikolaou,0.6126
Georgios Stamou,0.6126
Evangelos Dermatas,0.6123
 Konstantinos Balas,0.6123
Antonios Aletras,0.6122
Vasileios Verykios,0.6122
Giorgos Tourlakis,0.6118
Alexandros  Stavdas,0.6117
Georgios Oikonomou,0.6117
Nicolas Vayatis,0.6116
Minos Garofalakis,0.6115
Charalampos Mouratidis,0.6112
Dimitra  Simeonidou,0.6112
Michail Sfakianakis,0.611
Ioannis Dimitriadis,0.611
Elpida Tzafesta,0.6109
Dimitrios Nikolopoulos,0.6107
Maria - Aikaterini Satratzemi,0.6105
Charalambos Vrasidas,0.6102
Kostas Xydeas,0.6102
Ioannis Stamatiou,0.6101
Dimitrios Kalles,0.61
Emmanouil Maragkoudakis,0.61
Mattias Boucher,0.6097
Athanasios Tyropanis,0.6097
Ioannis  Stavrakakis,0.6096
Andreas Lanitis,0.6094
Konstantinos Tarampanis,0.6091
Foteini - Niovi Pavlidou ,0.6085
 Yannis Aloimonos,0.6085
Spyridon Vosinakis,0.6084
Angelos Bilas,0.6084
George Zouridakis,0.6083
Spyridon-Gerasimos  Lalis,0.6082
Konstantinos Kontogiannis,0.608
Efthymios Chousos,0.6079
Theodoros Evgeniou,0.6077
Vassilis Kostakos,0.6077
Iraklis  Avramopoulos,0.6076
Nikolaos Pelekis,0.6076
Georgios Evangelidis,0.6075
Thanasis Chatzilakos,0.6074
