target_result
12/410:Ioannis Stratis
21/410:Antonis Charalampopoulos
22/410:Dimitrios Frantzeskakis 
26/410 (standby):Ioannis Antoniou
30/410 (standby):Georgios Fikioris
90/410 (standby):Athanasios Giannakopoulos
148/410 (standby):Ioannis Rekanos
160/410:Theodora Ioannidou
233/410 (standby):Drosos Gkintidis
252/410 (standby):Vasileios Rothos
256/410:Chrysi Kokologiannaki
265/410 (standby):Vasileios Sevroglou
284/410 (standby):Gerasimos Barmpatis
304/410 (standby):Christos Nikolopoulos
306/410:Georgia Karali
329/410 (standby):Konstantinos Chrysafinos
"Metric1:0.04967129291453616, top_19=6.25%, Average Precision:0.07221574209742294, Prize_metric:0.5934782608695652, Reciprocal Rank:12, Coverage:329"
