Name_roman,Cosine_score
Georgios Papadimitriou,0.6514
Ioannis Pitas,0.6446
Christos Ouzounis,0.64
Athina Vakali,0.6365
Ioannis Vlachavas,0.6349
Konstantinos Kotropoulos,0.6318
Nikolaos Vasileiadis,0.6309
Ioannis Stamelos,0.6298
Eleftherios Angelis,0.6273
Nikolaos Konofaos,0.6226
Stavros Dimitriadis,0.6223
Nikolaos Laskaris,0.0
Nikolaos Nikolaidis,0.0
Panagiotis Katsaros,0.0
Dimitrios Vrakas,0.0
Dionysios Politis,0.0
Amalia Miliou,0.0
Petros Nikopolitidis,0.0
Nikolaos Pleros,0.0
Anastasios Gounaris ,0.0
Anastasios Tefas ,0.0
Thrasyvoulos Konstantinos Tsiatsos,0.0
Nikolaos Tsitsas,0.0
Grigorios Tsoumakas,0.0
Apostolos Papadopoulos,0.0
