Name_roman,Cosine_score
Christos Ouzounis,0.615
Athina Vakali,0.6092
Nikolaos Vasileiadis,0.6034
Eleftherios Angelis,0.6024
Ioannis Vlachavas,0.6019
Georgios Papadimitriou,0.6014
Ioannis Stamelos,0.599
Ioannis Pitas,0.5886
Stavros Dimitriadis,0.5828
Konstantinos Kotropoulos,0.5813
Nikolaos Konofaos,0.5791
Petros Nikopolitidis,0.0
Grigorios Tsoumakas,0.0
Nikolaos Tsitsas,0.0
Thrasyvoulos Konstantinos Tsiatsos,0.0
Anastasios Tefas ,0.0
Nikolaos Pleros,0.0
Dimitrios Vrakas,0.0
Amalia Miliou,0.0
Dionysios Politis,0.0
Anastasios Gounaris ,0.0
Nikolaos Nikolaidis,0.0
Nikolaos Laskaris,0.0
Panagiotis Katsaros,0.0
Apostolos Papadopoulos,0.0
