Name_roman,Cosine_score
Evrypidis Petrakis,0.6796
Ioannis Ioannidis,0.6773
Dion.-Dimitrios Koutsouris,0.6728
Christos Douligeris,0.6724
Georgios Vouros,0.6703
Elpida Keravnou - Papailiou,0.6664
Nikolaos Kyrpidis,0.6655
Georgios Karypis,0.6601
Alexios Delis,0.6583
Dimitrios Sampson,0.6573
Konstantinos Stefanidis,0.6573
Lydia Kavraki,0.6571
Georgios Syrakoulis,0.6563
Christos Panagiotakopoulos,0.6562
Dimitrios Serpanos ,0.6554
 Konstantinos Plataniotis,0.6551
Christos Politis,0.6541
Konstantinos Masselos,0.654
Georgios Tompras ,0.6516
 John Tsotsos,0.6514
Konstantinos Pattichis,0.6509
Vasileios Megalooikonomou,0.6508
Dimitrios Gkritzalis,0.65
Michail Vrachatis,0.6491
Achilleas Kameas,0.6491
Stefanos Gkritzalis,0.6488
Konstantina Nikita,0.6484
Nikolaos Papaspyrou,0.6479
Georgios Pavlou,0.6471
Ioannis Mavridis,0.6461
Katia Sycara,0.6456
Georgios Tsichrintzis,0.6453
Panagiotis Demestichas,0.6451
Nikolaos Paragyios,0.6447
Giannis Papadopoulos,0.6445
Diomidis Spinellis,0.6444
Grigorios Antoniou,0.6436
Dimitrios  Vergados,0.6436
Nikos Magklaveras,0.6431
Ioannis Kakadiaris,0.642
Michail Vazirgiannis,0.6412
Polyxeni Pange - Lekka,0.6395
Sotirios Nikoletseas,0.6394
Konstantinos Margaritis,0.6393
Michail Zervakis,0.6392
Pericles Loucopoulos,0.6387
Georgios Paliouras,0.6382
Athanasios Ntarantoumis,0.6382
Theodora Varvarigou,0.6381
Vangelis Paschos,0.638
Athanasios Skodras,0.6377
Antonios Gasteratos,0.6376
Pantelis Bagkos,0.6373
Ioannis Tollis,0.6361
 Thrasyvoulos Pappas,0.6355
Ioannis Anagnostopoulos,0.6353
Maria  Virvou,0.6349
Antonios Savvidis,0.6346
Ioannis Pratikakis,0.6339
Dimitrios Nikolopoulos,0.6339
Spyridon Lykothanasis,0.6337
Iakovos  Venieris,0.6335
Nikolaos Bourmpakis,0.6332
Konstantinos Tarampanis,0.6328
Spyridon Sioutas,0.6322
Ioannis Theodoridis,0.632
Stefanos Kollias ,0.632
Paris Avgeriou,0.6319
Themistoklis Panagiotopoulos,0.6318
Georgios Tzanetakis,0.6317
Dimitrios  Gounopoulos,0.6317
Dimitra  Simeonidou,0.6315
Dimosthenis Vougioukas ,0.6313
Konstantinos Stathis,0.6313
Evangelos Milios,0.6311
Dimitris Karagiannis,0.631
Antonios Argyros ,0.6309
Nikolas Tsapatsoulis,0.6302
Spyridon-Gerasimos  Lalis,0.6297
Ioannis Smaragdakis,0.6297
Minos Garofalakis,0.6292
Lampros Stergioulas,0.6292
Konstantinos Markantonakis,0.6288
Bill Kapralos,0.6288
Petros Maragkos,0.6285
Leontios Chatzileontiadis,0.6285
Artemis - Georgia Chatzigeorgiou,0.6284
Vasilis Christofidis,0.6284
 Theodoros Laopoulos,0.6278
Vasileios Tsaousidis,0.6278
 Dimitrios Tzovaras ,0.6275
Christos Zaroliagkis,0.6274
Vasileios Chrysikopoulos,0.627
Dimitrios Thilykos,0.627
Periklis Mitkas,0.626
Charalampos Mouratidis,0.6259
Christos Schizas,0.6257
Emmanouil Koumparakis,0.6256
Ioannis Chatzilygeroudis,0.6255
Anastasios  Oikonomidis,0.6253
Georgios Karagiannidis ,0.625
Dimitrios Plexousakis,0.6248
 Konstantinos Balas,0.6247
Angelos Bilas,0.6246
Giannis Papakonstantinou,0.6243
Miltiadis Petridis,0.6242
Pantelis Angelidis,0.6241
Christoforos Kozyrakis,0.6235
Andreas Andreou,0.6234
Vasileios Verykios,0.6233
 Spyridon Nikolaidis,0.6233
Panagiotis Kalnis,0.6233
Dimitrios Iakovidis,0.6231
Georgios Lepouras,0.623
Nikolaos Sidiropoulos,0.6229
Evangelia Pitoura,0.6229
Ioannis Tsamardinos,0.6228
Angeliki Dimitrakopoulou,0.6228
Vasilios Katos,0.6225
Emmanouil  Varvarigos,0.6224
Ioannis  Stavrakakis,0.6224
Efstathios  Sykas,0.6223
Timoleon Sellis,0.6217
Eleni Stroulia,0.6216
Nikolaos Avouris,0.6213
Alexandros  Stavdas,0.6211
Emmanouil Maragkoudakis,0.621
Ioannis Antoniou,0.6206
Odysseas Koufopavlou ,0.6204
Antonios Aletras,0.6204
Georgios     Kampourakis ,0.6204
Ioannis Nikolaidis,0.62
Vassilis Kostakos,0.6197
Georgios Evangelidis,0.6197
Dionysios Pnevmatikatos ,0.6192
Ioannis Psarras,0.6192
Ioannis Andreadis ,0.6191
Argyrios Dentsoras,0.619
Theodoros Dalamagkas,0.6187
Charalambos Vrasidas,0.6184
Andreas Pitsillidis,0.6181
Ioannis Garofalakis,0.618
Charalampos Skianis,0.6179
Theodoros Evgeniou,0.6178
Georgios Stamoulis,0.6176
Panayiota Poirazi,0.6176
Ilias Manolakos,0.6167
Themis Palpanas,0.6167
Vasileios Komis,0.6166
Dimitrios Kalles,0.6161
Evangelos Markatos,0.616
Symeon Retalis,0.616
Georgios Angelos Papadopoulos,0.6159
George Zouridakis,0.6159
Dimitrios Frantzeskakis ,0.6156
Christos Koukouvinos,0.6154
George Bebis,0.615
Dimitrios Gkizopoulos,0.6149
Iraklis  Avramopoulos,0.6145
Aristeidis Lykas,0.6145
Ioannis Emiris,0.6145
Georgios Kouroupetroglou ,0.6144
Christos Bouras ,0.6139
Vasileios Vassalos,0.6139
Alexandros Chatzigeorgiou,0.6138
Vasileios Syris,0.6138
Andreas Floros ,0.6134
Athanasios Tzimogiannis,0.6132
Georgios Rachonis,0.6131
Kostas Xydeas,0.6129
Michail Devetsikiotis - Chatzinikolaou,0.6129
Foteini - Niovi Pavlidou ,0.6128
Apostolos Dollas,0.6127
Theocharis Theocharis ,0.6125
Anastasios Ntelopoulos,0.6125
Stavros Perantonis,0.6125
Georgios Rouskas,0.6124
Marios Mavronikolas,0.6124
Panagiotis Vasileiadis,0.6122
Emmanouil Giakoumakis,0.612
Ioannis Stamatiou,0.6117
Ioannis Dimitriadis,0.6114
Lazaros  Merakos,0.6112
Nikolaos Zaranis,0.6112
Nikolaos Mamoulis,0.611
Maria - Aikaterini Satratzemi,0.611
Neoklis Polyzotis,0.6109
Alexios Birmpas,0.6108
Evripidis Bampis,0.6107
Efthymios Chousos,0.6098
 Yannis Aloimonos,0.6091
Andreas-Georgios Stafylopatis,0.609
 Dimitrios  Tsoukalas,0.6088
Dimitrios  Syvridis,0.6087
Damianos Gavalas,0.6087
Stylianos  Tzortzakis,0.6087
Georgios Sergiadis,0.6085
Georgios Vasilakopoulos,0.6083
Tasoula Georgaki,0.6082
Nektarios Kozyris,0.6082
Thanasis Chatzilakos,0.6081
Panagiotis Konstantopoulos,0.6076
Nikolaos Bellas ,0.6073
 Antonios Paschalis,0.607
Anastasios Mikropoulos,0.6066
Vasileios Anastasopoulos,0.6064
Alkiviadis Chatzopoulos ,0.6063
Georgios Makris,0.6063
Antonis Kakas,0.6057
 Emmanouil Kriezis,0.6056
Kostas Daniilidis,0.6056
Panagiotis Tsanakas,0.6053
Georgios Rovithakis,0.6051
Efstratios Gallopoulos,0.6047
Michalis Zervas,0.6045
Ioannis Mourtzopoulos,0.6044
Georgios  Polyzos,0.6041
Foteini Paraskeva,0.6041
Charoula Angeli,0.6038
Antonios Bogris,0.6036
 Ioannis Fountos ,0.6031
Emmanouil Roumeliotis,0.6031
Michail  Logothetis,0.6027
Antonis Charalampopoulos,0.6026
Nicolas Vayatis,0.6026
Panagiotis Tsakalidis,0.6025
Ioannis Papananos,0.6025
Charalampos Karagiannidis ,0.6024
Kiamal Pekmestzi,0.6021
Stylianos Siskos ,0.602
Evripidis Chatzikraniotis,0.6013
Panagiotis Benos,0.6012
Thomas Xenos,0.601
Christoforos Nikou,0.6008
Aimilios-Vasileios  Kampouropoulos ,0.6008
Spiros Mancoridis,0.6006
Pavlos - Petros Sotiriadis,0.6003
Charidimos  Vergos,0.5996
Leonidas Georgiadis,0.5991
Efstathios  Stamatatos ,0.599
Emmanouil Lourakis,0.599
Ioannis  Karafyllidis ,0.5988
Dimitrios Kougioumtzis,0.5983
Michail Taroudakis,0.5976
Ioannis Stylianou,0.5974
Andreas Veneris,0.5965
Miltiadis  Anagnostou,0.5964
Dimitrios  Pantos,0.5963
Andriana Prentza,0.5962
Stavros Nikolopoulos,0.5962
Lysimachos-Pavlos Kontis,0.5961
Panagiotis  Kottis,0.5954
Pavlos Moraitis,0.5952
Nikolaos Papamarkos,0.5947
Ioannis Tigkelis ,0.5946
Aristeidis Pagourtzis,0.594
Traianos Gioultsis,0.5937
Kon/nos Bermperidis,0.5936
Georgios Oikonomou,0.5934
Ioannis Dologlou,0.5934
Kon/nos Psychalinos ,0.5933
Angelos Rouskas,0.5932
Panagiotis Metaxas,0.5922
Georgios-Othon Glentis,0.5913
Nikolaos Malevris,0.5906
Athanasios Manikas,0.5903
Nikolaos Karampetakis,0.5901
Pavlos Peppas,0.5901
Ioannis Theocharis,0.5894
Ioannis Dimopoulos,0.5888
Ioannis Rekanos,0.588
Giorgos Tourlakis,0.5874
Theodoros  Apostolopoulos,0.5873
Vasos Chatzilakos,0.5872
Panagiota Fatourou,0.5869
Filippos Tsalidis,0.5863
Andreas Moshovos,0.586
Christos Antonopoulos,0.5856
Georgios  Moustakidis,0.5851
Michail Sfakianakis,0.585
Ioannis Karagiannis,0.5839
Athanasios Giannakopoulos,0.5836
Ioannis Stratis,0.5829
 Dimitrios Nikolos,0.5828
Efthalia Dimara,0.5822
Dimitri  Ioannou,0.5821
Dimitrios Achlioptas,0.5819
Georgios Tsiatouchas,0.5814
Panos Linos,0.5803
Sotiris Skevoulis,0.5797
Georgios Tziritas,0.5795
Konstantinos Danas,0.5792
 Panagiotis Trachanias ,0.5781
Theodora Ioannidou,0.5775
Antonios Symvonis,0.5766
Kyriakos Koutoulakos,0.576
Vasileios Digalakis,0.5757
Stylianos Bakamidis,0.5746
Zoi Doulgeri,0.572
Konstantinos Stergiou,0.5702
Georgios Fikioris,0.5692
Dimitrios Poulakis,0.5681
Nikolaos Georgoulas ,0.567
 Nikolaos Pelekanos,0.5652
Georgios Alexiou ,0.5638
Ioannis Manousakis,0.5634
Panagiotis Rontogiannis,0.5616
Chrysovalantis Kavousianos ,0.5602
Aristeidis Kontogeorgis,0.5571
Maria Nikolaidi,0.5561
Leonidas Palios,0.5558
Theodoros Chorikis,0.5552
Ioannis Zannos ,0.5498
Theodoulos Garefalakis,0.5489
Georgios Pavlidis,0.547
Drosos Gkintidis,0.5437
Georgios Makrakis,0.5434
Vasileios Rothos,0.5422
Ioannis Boutalis,0.5416
Dimitrios Ioannidis,0.54
Georgia Karali,0.5386
Dimitrios Varsos,0.5383
Kleanthis Thrampoulidis,0.5366
Stavros Kolliopoulos,0.5314
Panagiota Morfouli,0.5275
