target_result
3/410 (standby):Dion.-Dimitrios Koutsouris
6/410 (standby):Elpida Keravnou - Papailiou
8/410 (standby):Georgios Karypis
21/410 (standby):Konstantinos Pattichis
27/410:Konstantina Nikita
47/410 (standby):Georgios Paliouras
61/410:Spyridon Lykothanasis
97/410 (standby):Christos Schizas
102/410 (standby):Dimitrios Plexousakis
107/410 (standby):Pantelis Angelidis
130/410:Antonios Aletras
160/410:Aristeidis Lykas
192/410 (standby):Andreas-Georgios Stafylopatis
245/410 (standby):Ioannis Stylianou
"Metric1:0.08706467661691543, top_16=21.428571428571427%, Average Precision:0.15774112536395446, Prize_metric:0.8026199327314569, Reciprocal Rank:3, Coverage:245"
