Name_roman,Cosine_score
Georgios Papadimitriou,0.7193
Apostolos Papadopoulos,0.6966
Ioannis Pitas,0.6867
Panagiotis Katsaros,0.6812
Nikolaos Vasileiadis,0.6809
Ioannis Vlachavas,0.6698
Konstantinos Kotropoulos,0.6638
Athina Vakali,0.6632
Stavros Dimitriadis,0.6486
Anastasios Gounaris ,0.6419
Thrasyvoulos Konstantinos Tsiatsos,0.6363
Eleftherios Angelis,0.6296
Ioannis Stamelos,0.6294
Nikolaos Konofaos,0.6275
Anastasios Tefas ,0.6263
Grigorios Tsoumakas,0.6225
Nikolaos Laskaris,0.618
Christos Ouzounis,0.617
Nikolaos Nikolaidis,0.6043
Nikolaos Tsitsas,0.6022
Nikolaos Pleros,0.6011
Amalia Miliou,0.5832
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
Dimitrios Vrakas,0.0
