Name_roman,Cosine_score
Nikolaos Vasileiadis,0.6069
Panagiotis Katsaros,0.6063
Georgios Papadimitriou,0.5978
Ioannis Vlachavas,0.5958
Apostolos Papadopoulos,0.5956
Athina Vakali,0.5954
Anastasios Gounaris ,0.5833
Ioannis Stamelos,0.5814
Eleftherios Angelis,0.5788
Thrasyvoulos Konstantinos Tsiatsos,0.5768
Ioannis Pitas,0.5761
Nikolaos Nikolaidis,0.575
Konstantinos Kotropoulos,0.5747
Stavros Dimitriadis,0.5706
Nikolaos Laskaris,0.5699
Grigorios Tsoumakas,0.5671
Christos Ouzounis,0.5658
Nikolaos Konofaos,0.5637
Anastasios Tefas ,0.5589
Nikolaos Tsitsas,0.5508
Amalia Miliou,0.5496
Nikolaos Pleros,0.542
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
Dimitrios Vrakas,0.0
