Name_roman,Cosine_score
Ioannis Ioannidis,0.7483
Christos Douligeris,0.7476
Georgios Vouros,0.7374
Konstantinos Stefanidis,0.7329
Nikolaos Papaspyrou,0.7328
Evrypidis Petrakis,0.7315
Grigorios Antoniou,0.7281
Konstantinos Margaritis,0.7206
Georgios Pavlou,0.7189
Dimitrios Sampson,0.7175
Dimitrios Serpanos ,0.7169
Dion.-Dimitrios Koutsouris,0.7138
Ioannis Mavridis,0.7113
Katia Sycara,0.7101
Michail Vrachatis,0.706
Christos Panagiotakopoulos,0.7046
Georgios Syrakoulis,0.7034
Michail Lagoudakis,0.7026
Dimitrios Gkritzalis,0.7026
Sotirios Nikoletseas,0.7014
Ioannis Smaragdakis,0.7004
Panagiotis Demestichas,0.7
Vasileios Tsaousidis,0.6987
Efstathios  Sykas,0.6986
Dimitrios  Vergados,0.6978
Georgios Tsichrintzis,0.696
Giannis Papadopoulos,0.6952
Lydia Kavraki,0.6942
Themistoklis Panagiotopoulos,0.6938
Iraklis Varlamis,0.6937
Athanasios Ntarantoumis,0.6927
 John Tsotsos,0.6913
Elpida Keravnou - Papailiou,0.6905
Theodora Varvarigou,0.6902
 Konstantinos Plataniotis,0.6891
Stefanos Gkritzalis,0.6889
Christos Politis,0.6889
Georgios Karampatis,0.6865
Antonios Gasteratos,0.6864
Georgios Karypis,0.686
Konstantinos Stathis,0.6854
Iakovos  Venieris,0.6849
Georgios Tompras ,0.6846
Dimitrios Nikolopoulos,0.6836
Athanasios Skodras,0.6835
Georgios Paliouras,0.683
Georgios Rachonis,0.6813
Konstantinos Tarampanis,0.6812
Achilleas Kameas,0.6812
Konstantinos Masselos,0.6812
Vasilis Christofidis,0.6802
Antonios Savvidis,0.6788
Maria  Virvou,0.6788
Alexios Delis,0.6787
Evangelia Pitoura,0.6783
Dimitris Karagiannis,0.6774
Vasileios Chrysikopoulos,0.6764
Nikolaos Sidiropoulos,0.6763
Athanasios Kechagias,0.6761
Vangelis Paschos,0.6747
Ioannis Anagnostopoulos,0.6744
Ioannis Kakadiaris,0.6743
Georgios Ellinas,0.6734
Ioannis Pratikakis,0.6732
Antonios Argyros ,0.6729
Athanasios Tyropanis,0.6725
Konstantinos Markantonakis,0.672
Georgios Karagiannidis ,0.672
Georgios Stamou,0.6716
Petros Maragkos,0.6702
Vasos Chatzilakos,0.6699
Konstantinos Pattichis,0.6691
Stefanos Kollias ,0.6678
Nikolaos Kyrpidis,0.6669
Nikolaos Paragyios,0.6654
Angelos Bilas,0.6641
Polyxeni Pange - Lekka,0.664
Georgios Papagiannakis,0.6631
Pericles Loucopoulos,0.6618
Charalampos Mouratidis,0.6613
Dimitrios Plexousakis,0.6612
Christos Zaroliagkis,0.6609
Michail Vazirgiannis,0.6608
Emmanouil  Varvarigos,0.6598
Emmanouil Koumparakis,0.6598
Spyridon Vosinakis,0.6593
Ioannis Emiris,0.6583
Diomidis Spinellis,0.6578
Angeliki Dimitrakopoulou,0.6575
Spyridon-Gerasimos  Lalis,0.6565
Giannis Papakonstantinou,0.6558
Ioannis Theodoridis,0.6552
Vasileios Megalooikonomou,0.655
Spyridon Lykothanasis,0.6548
 Thrasyvoulos Pappas,0.6547
Evangelos Milios,0.6547
Georgios Angelos Papadopoulos,0.6536
Konstantinos Kontogiannis,0.6529
Alexandros  Stavdas,0.6518
Dimitrios Thilykos,0.6514
Vassilis Kostakos,0.6511
Christos Koukouvinos,0.651
Emmanouil Roumeliotis,0.6502
Aikaterini Mania,0.6493
Nektarios Kozyris,0.6486
Vasileios Syris,0.6477
Panagiotis Kalnis,0.6474
Margkerita Antona,0.6474
Dimitrios  Gounopoulos,0.6471
Andreas Lanitis,0.6471
Dimitra  Simeonidou,0.646
Georgios Lepouras,0.646
Ioannis Tollis,0.6457
Marios Mavronikolas,0.6456
Minos Garofalakis,0.6452
Georgios Evangelidis,0.6451
Dimosthenis Vougioukas ,0.645
Georgios     Kampourakis ,0.6445
Paris Avgeriou,0.644
Christos Schizas,0.6431
Ioannis Dimitriadis,0.6428
Konstantinos Moustakas,0.6415
 Spyridon Nikolaidis,0.6413
Panagiotis Vasileiadis,0.6411
Christoforos Kozyrakis,0.6405
Nikolaos Avouris,0.6393
Nikolaos Bourmpakis,0.6391
Konstantina Nikita,0.6384
Nikos Magklaveras,0.6384
Ioannis Chatzilygeroudis,0.6383
Timoleon Sellis,0.638
Evripidis Bampis,0.6378
Anastasios  Oikonomidis,0.6377
Georgios Tzanetakis,0.6363
Andreas Andreou,0.6359
Nikolas Tsapatsoulis,0.6351
Georgios Papaioannou,0.6344
Ioannis Andreadis ,0.6342
Gerasimos Potamianos,0.6341
Kyriakos Sgarmpas,0.6338
Ioannis  Stavrakakis,0.6336
George Bebis,0.6331
Stylianos Xynogalos,0.6328
Charalampos Skianis,0.6323
Symeon Retalis,0.6317
 Dimitrios Tzovaras ,0.6314
Argyrios Dentsoras,0.6303
Nikolaos Mamoulis,0.6298
Vasileios Verykios,0.6298
Michail Zervakis,0.6277
Leontios Chatzileontiadis,0.6276
Ioannis Antoniou,0.6275
Themis Palpanas,0.6269
Periklis Mitkas,0.6267
Apostolos Zarras,0.6265
Odysseas Koufopavlou ,0.6254
Pantelis Bagkos,0.6246
 Theodoros Laopoulos,0.6245
Spyridon Sioutas,0.6239
Maria - Aikaterini Satratzemi,0.6237
Aristeidis Lykas,0.6229
Theodoros Evgeniou,0.6228
Vasileios Vassalos,0.6228
Konstantinos Mourlas,0.6224
Giorgos Pallis,0.6214
Nikolaos Grammalidis,0.6214
Ioannis Nikolaidis,0.6211
Georgios Stamoulis,0.6209
Vasileios Anastasopoulos,0.6207
Dimitrios Fotakis,0.6195
Georgios Kouroupetroglou ,0.6194
Andreas Pitsillidis,0.6193
Kostas Daniilidis,0.6193
Evangelos Markatos,0.6192
Charalambos Vrasidas,0.6189
Nikolaos Karampetakis,0.6187
Alexandros Chatzigeorgiou,0.6185
Lampros Stergioulas,0.618
Efstratios Gallopoulos,0.6178
Nikolaos Pelekis,0.6176
 Emmanouil Kriezis,0.6174
Bill Kapralos,0.6174
Pavlos Peppas,0.6169
Eirini Ntoutsi,0.6169
Dimitrios Frantzeskakis ,0.6162
Georgios Rouskas,0.6159
Anastasios Ntelopoulos,0.6158
Michail Vasilakopoulos,0.6158
Charidimos  Vergos,0.6157
Lazaros  Merakos,0.6157
Dimitrios Kalles,0.6145
Dimitrios Gkizopoulos,0.6139
Vasilios Katos,0.6137
Emmanouil Maragkoudakis,0.6137
Dionysios Pnevmatikatos ,0.6137
Ilias Manolakos,0.6136
Iraklis  Avramopoulos,0.6136
Theocharis Theocharis ,0.6134
Emmanouil Psarakis,0.6128
Athanasios Mouchtaris,0.6126
Panagiota Fatourou,0.6124
Ioannis Stamatiou,0.6123
Leonidas Georgiadis,0.612
Charoula Angeli,0.6117
Panagiotis Konstantopoulos,0.6116
Nikolaos Bellas ,0.6115
Michail  Logothetis,0.6112
Alkiviadis Chatzopoulos ,0.611
Emmanouil Giakoumakis,0.611
Antonis Charalampopoulos,0.6107
Antonios Bikakis,0.6105
Eleni Stroulia,0.6103
Ioannis Garofalakis,0.6103
Andreas Floros ,0.6102
Alexios Birmpas,0.6097
 Yannis Aloimonos,0.6096
Dimitrios  Syvridis,0.6095
Vasileios Komis,0.6093
Dimitrios Tsoumakos,0.6093
Neoklis Polyzotis,0.6092
Miltiadis Petridis,0.6082
Antonis Kakas,0.6077
Vasileios Dimakopoulos ,0.6074
Theodoros Dalamagkas,0.6073
Nikolaos Zaranis,0.6073
Stylianos Siskos ,0.6071
Georgios Rovithakis,0.607
Efthymios Chousos,0.6069
Christos Bouras ,0.6066
Mattias Boucher,0.6065
Ioannis Stylianou,0.6059
Ioannis Tsamardinos,0.6056
Apostolos Dollas,0.6056
Spiros Mancoridis,0.6055
Emmanouil Magkos,0.6054
Kiamal Pekmestzi,0.6053
Elpida Tzafesta,0.6051
Andreas Symeonidis,0.605
Foteini - Niovi Pavlidou ,0.6048
Thanasis Chatzilakos,0.6041
Ioannis Psarras,0.6038
Michail Devetsikiotis - Chatzinikolaou,0.6037
Maria Chalkidi,0.6032
Aristeidis Pagourtzis,0.603
Kostas Xydeas,0.6026
Lysimachos-Pavlos Kontis,0.6025
Malamati Louta,0.6023
Giorgos Tourlakis,0.6022
Georgios  Polyzos,0.6016
Efstathios  Stamatatos ,0.6014
Athanasios Tzimogiannis,0.6013
Emmanouil Lourakis,0.601
Antonios Aletras,0.6003
Stavros Perantonis,0.6003
Pavlos Moraitis,0.6
 Ioannis Fountos ,0.5998
Evangelos Dermatas,0.5992
Michalis Zervas,0.5991
Panagiotis  Kottis,0.599
Kon/nos Bermperidis,0.5988
Antonios Bogris,0.5986
 Dimitrios  Tsoukalas,0.5983
Georgios  Moustakidis,0.5979
Ioannis Tigkelis ,0.5977
Ioannis Papananos,0.5973
Michail Sfakianakis,0.5972
Stylianos Bakamidis,0.5968
Charalampos Karagiannidis ,0.5967
Damianos Gavalas,0.5966
Kyriakos Vlachos,0.5963
Andreas-Georgios Stafylopatis,0.5957
Dimitrios Iakovidis,0.5956
Charalampos Konstantopoulos,0.5956
Spyridon Blionas,0.5953
Aimilios-Vasileios  Kampouropoulos ,0.5952
 Antonios Paschalis,0.5942
Panagiotis Metaxas,0.5941
Theodoros  Apostolopoulos,0.594
