Name_roman,Cosine_score
Georgios Papadimitriou,0.7087
Ioannis Pitas,0.6821
Nikolaos Vasileiadis,0.6732
Stavros Dimitriadis,0.6722
Konstantinos Kotropoulos,0.672
Athina Vakali,0.6718
Apostolos Papadopoulos,0.6705
Panagiotis Katsaros,0.6693
Ioannis Vlachavas,0.6658
Thrasyvoulos Konstantinos Tsiatsos,0.6603
Ioannis Stamelos,0.6516
Nikolaos Konofaos,0.6443
Eleftherios Angelis,0.6423
Nikolaos Laskaris,0.6388
Anastasios Tefas ,0.6356
Christos Ouzounis,0.633
Anastasios Gounaris ,0.6294
Grigorios Tsoumakas,0.6268
Dimitrios Vrakas,0.6253
Nikolaos Nikolaidis,0.6119
Amalia Miliou,0.6077
Nikolaos Tsitsas,0.6056
Nikolaos Pleros,0.6053
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
