Name_roman,Cosine_score
Panagiotis Katsaros,0.606
Dimitrios Vrakas,0.6021
Nikolaos Vasileiadis,0.6016
Thrasyvoulos Konstantinos Tsiatsos,0.6008
Athina Vakali,0.5991
Georgios Papadimitriou,0.5972
Stavros Dimitriadis,0.5965
Ioannis Stamelos,0.5925
Ioannis Vlachavas,0.5924
Nikolaos Laskaris,0.5885
Eleftherios Angelis,0.5858
Apostolos Papadopoulos,0.5837
Nikolaos Nikolaidis,0.5819
Ioannis Pitas,0.5818
Konstantinos Kotropoulos,0.5769
Nikolaos Konofaos,0.571
Christos Ouzounis,0.5707
Grigorios Tsoumakas,0.5699
Anastasios Gounaris ,0.5684
Anastasios Tefas ,0.5609
Amalia Miliou,0.5576
Nikolaos Tsitsas,0.5509
Nikolaos Pleros,0.5495
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
