Name_roman,Cosine_score
Konstantinos Stefanidis,0.7454
Christos Douligeris,0.7291
Ioannis Ioannidis,0.7275
Georgios Vouros,0.7271
Dimitrios Sampson,0.7269
Evrypidis Petrakis,0.7238
Georgios Pavlou,0.7172
Dimitrios Serpanos ,0.7171
Christos Panagiotakopoulos,0.715
Antonios Savvidis,0.7118
Grigorios Antoniou,0.71
Christos Politis,0.71
 John Tsotsos,0.7093
Iraklis Varlamis,0.7088
Dion.-Dimitrios Koutsouris,0.7076
Dimitrios Gkritzalis,0.7057
Nikolaos Papaspyrou,0.7049
Katia Sycara,0.7002
Panagiotis Demestichas,0.6999
Michail Lagoudakis,0.6999
Antonios Gasteratos,0.6996
Athanasios Ntarantoumis,0.6987
Konstantinos Stathis,0.698
Georgios Syrakoulis,0.6959
Polyxeni Pange - Lekka,0.6958
Ioannis Mavridis,0.6957
Maria  Virvou,0.6945
Konstantinos Margaritis,0.6938
 Konstantinos Plataniotis,0.6931
Antonios Argyros ,0.6931
Giannis Papadopoulos,0.6918
Ioannis Smaragdakis,0.6914
Georgios Tsichrintzis,0.6894
Stefanos Gkritzalis,0.6887
Vasileios Tsaousidis,0.6872
Georgios Tompras ,0.6867
Lydia Kavraki,0.6845
Theodora Varvarigou,0.6841
Georgios Papagiannakis,0.6839
Ioannis Pratikakis,0.6834
Theodoros Tzouramanis,0.6833
Achilleas Kameas,0.6829
Stefanos Kollias ,0.6826
Evangelia Pitoura,0.6819
Dimitrios  Vergados,0.6815
Athanasios Skodras,0.6813
Konstantinos Masselos,0.6813
Georgios Karypis,0.6811
Angeliki Dimitrakopoulou,0.6803
 Thrasyvoulos Pappas,0.6792
Ioannis Kakadiaris,0.679
Nikolaos Kyrpidis,0.6789
Iakovos  Venieris,0.6785
Diomidis Spinellis,0.678
Sotirios Nikoletseas,0.6775
Spyridon Vosinakis,0.6773
Athanasios Tyropanis,0.6769
Aikaterini Mania,0.6758
Michail Vrachatis,0.6755
Konstantinos Pattichis,0.6753
Vassilis Kostakos,0.6748
Margkerita Antona,0.6738
Andreas Lanitis,0.6723
Themistoklis Panagiotopoulos,0.672
Charalampos Mouratidis,0.672
Konstantinos Tarampanis,0.6719
Evangelos Milios,0.6713
Vangelis Paschos,0.6711
Konstantinos Moustakas,0.671
Georgios Paliouras,0.6707
Gerasimos Potamianos,0.6706
Petros Maragkos,0.6687
Georgios Stamou,0.6685
Athanasios Kechagias,0.6683
 Dimitrios Tzovaras ,0.6668
Michail Vazirgiannis,0.6668
Nikolaos Paragyios,0.6668
Konstantinos Markantonakis,0.6661
Ioannis Anagnostopoulos,0.6661
Vasilis Christofidis,0.6659
Elpida Keravnou - Papailiou,0.665
Pericles Loucopoulos,0.6648
Alexios Delis,0.6647
Georgios Ellinas,0.6641
Georgios Tzanetakis,0.6636
Efstathios  Sykas,0.6623
Dimitris Karagiannis,0.6613
Spyridon-Gerasimos  Lalis,0.6608
Konstantinos Kontogiannis,0.6608
Ioannis Chatzilygeroudis,0.6604
Georgios Karagiannidis ,0.6604
Nikolaos Sidiropoulos,0.6602
Angelos Bilas,0.66
Georgios Lepouras,0.6598
Dimitrios Plexousakis,0.6593
Ioannis Dimitriadis,0.6592
Paris Avgeriou,0.6591
Anastasios  Oikonomidis,0.6591
Georgios Kouroupetroglou ,0.659
Georgios Angelos Papadopoulos,0.659
Konstantina Nikita,0.6587
Emmanouil  Varvarigos,0.6586
Dimitrios Nikolopoulos,0.6585
Dimosthenis Vougioukas ,0.6581
Vasileios Megalooikonomou,0.658
Nikolas Tsapatsoulis,0.6573
Bill Kapralos,0.6567
George Bebis,0.6558
Konstantinos Mourlas,0.6554
Dimitrios  Gounopoulos,0.6546
Ioannis  Stavrakakis,0.6534
Vasileios Chrysikopoulos,0.6523
Georgios     Kampourakis ,0.6514
Leontios Chatzileontiadis,0.6499
Charalambos Vrasidas,0.6497
Nikolaos Avouris,0.6497
Dimitra  Simeonidou,0.6493
Ioannis Tollis,0.649
Vasileios Syris,0.6489
Christos Schizas,0.6487
Ioannis Theodoridis,0.6469
Symeon Retalis,0.6463
Emmanouil Koumparakis,0.6453
Ioannis Nikolaidis,0.645
 Spyridon Nikolaidis,0.645
Giannis Papakonstantinou,0.645
Christos Zaroliagkis,0.6446
Nikos Magklaveras,0.6441
Nikolaos Bourmpakis,0.6439
Georgios Papaioannou,0.6439
 Yannis Aloimonos,0.6432
Lampros Stergioulas,0.643
Andreas Andreou,0.6423
Christoforos Kozyrakis,0.6422
Ioannis Emiris,0.6414
Kostas Daniilidis,0.6413
Dimitrios Thilykos,0.641
Minos Garofalakis,0.6407
Panagiotis Kalnis,0.6406
Spyridon Lykothanasis,0.6398
Michail Zervakis,0.6384
Georgios Karampatis,0.6383
Georgios Rachonis,0.6379
Georgios Evangelidis,0.6378
Marios Mavronikolas,0.6377
Vasilios Katos,0.6364
Andreas Pitsillidis,0.6361
Maria - Aikaterini Satratzemi,0.6356
Kyriakos Sgarmpas,0.6355
Ioannis Antoniou,0.6355
Charalampos Skianis,0.6351
Lazaros  Merakos,0.6349
Spyridon Sioutas,0.6349
 Theodoros Laopoulos,0.6348
Theodoros Evgeniou,0.6345
Nikolaos Grammalidis,0.6345
Eleni Stroulia,0.6342
Timoleon Sellis,0.6341
Argyrios Dentsoras,0.6336
Ioannis Andreadis ,0.633
Alexios Birmpas,0.6327
Stylianos Xynogalos,0.6323
Vasileios Anastasopoulos,0.6321
Nikolaos Mamoulis,0.6321
Vasileios Komis,0.6321
Dimitrios Frantzeskakis ,0.6316
Dimitrios  Syvridis,0.6316
Andreas Floros ,0.6311
Evripidis Bampis,0.6311
Aristeidis Lykas,0.6309
Athanasios Mouchtaris,0.6306
Charoula Angeli,0.6305
Georgios Stamoulis,0.6301
Nikolaos Zaranis,0.6299
Panagiotis Vasileiadis,0.6298
Evangelos Markatos,0.6297
Iraklis  Avramopoulos,0.6296
Dimitrios Kalles,0.6291
 Emmanouil Kriezis,0.6289
Christos Bouras ,0.6289
Miltiadis Petridis,0.6289
Vasos Chatzilakos,0.6282
Ioannis Stylianou,0.6282
Christos Koukouvinos,0.6277
Alexandros  Stavdas,0.6276
Georgios Rovithakis,0.6268
Ioannis Garofalakis,0.6267
Dimitrios Gkizopoulos,0.6257
Periklis Mitkas,0.6256
Anastasios Ntelopoulos,0.6253
Alexandros Chatzigeorgiou,0.6252
Georgios Rouskas,0.6249
Andreas Papasalouros,0.6248
Pantelis Bagkos,0.6248
Damianos Gavalas,0.6244
Theocharis Theocharis ,0.6243
Pavlos Peppas,0.6242
Michalis Zervas,0.6241
Antonios Aletras,0.6239
Athanasios Tzimogiannis,0.6235
Dionysios Pnevmatikatos ,0.6234
Mattias Boucher,0.6233
Odysseas Koufopavlou ,0.6232
Apostolos Zarras,0.623
Vasileios Verykios,0.6229
Emmanouil Roumeliotis,0.6223
Antonios Bikakis,0.6221
George Zouridakis,0.6217
Nektarios Kozyris,0.6214
Efstathios  Stamatatos ,0.6212
Giorgos Pallis,0.6209
Charalampos Karagiannidis ,0.6206
Tasoula Georgaki,0.6203
Emmanouil Maragkoudakis,0.6202
Lysimachos-Pavlos Kontis,0.6192
Michail Devetsikiotis - Chatzinikolaou,0.6189
Thanasis Chatzilakos,0.6189
Nikolaos Pelekis,0.6189
Aimilios-Vasileios  Kampouropoulos ,0.6184
Themis Palpanas,0.6181
Ioannis Psarras,0.6176
Emmanouil Lourakis,0.6176
Nikolaos Bellas ,0.6173
Antonis Kakas,0.6172
Anastasios Mikropoulos,0.6166
Panagiotis Metaxas,0.6165
Panagiotis Konstantopoulos,0.6164
Ioannis Papananos,0.6163
Kostas Xydeas,0.6163
Antonis Charalampopoulos,0.6161
Stylianos Siskos ,0.616
Alexandros Potamianos,0.6159
Antonios Bogris,0.6156
Alkiviadis Chatzopoulos ,0.6155
Leonidas Georgiadis,0.6152
Xenofon  Zampoulis,0.615
Georgios  Polyzos,0.615
Apostolos Dollas,0.6149
Foteini - Niovi Pavlidou ,0.6148
Andreas-Georgios Stafylopatis,0.6146
Dimitrios Fotakis,0.6145
Ioannis Tigkelis ,0.614
 Ioannis Fountos ,0.6136
Pavlos Moraitis,0.6135
Eirini Ntoutsi,0.6133
Ioannis Mourtzopoulos,0.613
Konstantinos Kloukinas,0.613
Georgios Makris,0.6127
Michail  Logothetis,0.6125
Dimitrios Iakovidis,0.6124
Spiros Mancoridis,0.6123
Emmanouil Magkos,0.6119
Emmanouil Psarakis,0.6117
Ioannis Dologlou,0.6112
Stylianos  Tzortzakis,0.6105
Neoklis Polyzotis,0.6097
Giorgos Tourlakis,0.6095
Panagiota Fatourou,0.6092
Christoforos Nikou,0.6092
Efthymios Chousos,0.6092
Andreas Symeonidis,0.6092
Panagiotis  Kottis,0.6092
Pantelis Angelidis,0.6084
Efstratios Gallopoulos,0.6082
Kiamal Pekmestzi,0.6082
 Antonios Paschalis,0.6082
Vasileios Vassalos,0.608
Malamati Louta,0.6079
Ioannis Stamatiou,0.6079
Pavlos - Petros Sotiriadis,0.6073
 Dimitrios  Tsoukalas,0.6072
Ioannis Tsamardinos,0.6069
Foteini Paraskeva,0.6064
Michail Vasilakopoulos,0.6062
Georgios Sergiadis,0.6061
Stavros Perantonis,0.6061
Miltiadis  Anagnostou,0.606
Maria Chalkidi,0.605
Charidimos  Vergos,0.6049
Panayiota Poirazi,0.6045
 Konstantinos Balas,0.6043
Nikolaos Papamarkos,0.6041
Emmanouil Giakoumakis,0.6034
Dimitrios Tsoumakos,0.603
Ilias Manolakos,0.603
Kyriakos Vlachos,0.603
Nicolas Vayatis,0.6022
Evangelos Dermatas,0.6019
Kon/nos Bermperidis,0.6015
Theodoros Dalamagkas,0.6002
Pavlos Efraimidis,0.5998
Spyridon Blionas,0.5993
Elpida Tzafesta,0.599
Artemis - Georgia Chatzigeorgiou,0.5987
Michail Taroudakis,0.5986
Dimitrios  Pantos,0.5985
Georgios  Moustakidis,0.5977
Vasileios Digalakis,0.597
Thomas Xenos,0.5969
Andreas Mniestris ,0.5966
Panos Linos,0.5958
Panagiotis Tsanakas,0.5958
Stylianos Bakamidis,0.5951
Athanasios Manikas,0.5945
Aristeidis Pagourtzis,0.5945
Nikolaos Karampetakis,0.5944
Andreas Veneris,0.5941
Ergina Kavallieratou,0.5939
Georgios Vasilakopoulos,0.5936
Anna Filippou,0.5934
Charalampos Konstantopoulos,0.5927
Petros Drineas,0.5923
Vasileios Dimakopoulos ,0.5922
Theodoros Vlachos,0.5919
Theodoros  Apostolopoulos,0.5918
Georgios Oikonomou,0.5914
Evripidis Chatzikraniotis,0.5912
Kon/nos Aidinis ,0.5908
Evangelos Papapetrou,0.5907
Angelos Rouskas,0.5906
Zoi Doulgeri,0.5903
Georgios Tsiatouchas,0.5893
Nikolaos Malevris,0.5891
Traianos Gioultsis,0.589
Sotiris Skevoulis,0.5889
Dimitrios Achlioptas,0.5887
Michail Sfakianakis,0.5881
Konstantinos Tsichlas,0.5879
Panagiotis Tsakalidis,0.5875
Kon/nos Psychalinos ,0.586
Ioannis Theocharis,0.5859
 Panagiotis Trachanias ,0.5852
Antonios Symvonis,0.5834
Athanasios Giannakopoulos,0.5832
Konstantinos Marios Angelopoulos,0.5828
Panagiotis Stamatopoulos,0.5828
Georgios-Othon Glentis,0.5827
Dimitri  Ioannou,0.5824
Panagiotis Tsaparas,0.5804
Ioannis  Karafyllidis ,0.5803
Andriana Prentza,0.5799
Panagiotis Benos,0.5796
Tania Stathaki,0.5796
Stavros Nikolopoulos,0.5792
Ioannis Karagiannis,0.5789
Georgios Tziritas,0.5781
Ioannis Dimopoulos,0.5777
Elisavet Konstantinou,0.5775
Kyriakos Mouratidis,0.5775
Andreas Moshovos,0.5773
Ioannis Rekanos,0.577
Konstantinos Blekas,0.5769
 Kyriakos Zoiros,0.5767
Kyriakos Koutoulakos,0.576
Dimitrios Kougioumtzis,0.5753
Ioannis Stratis,0.5749
Christos Antonopoulos,0.5737
George Karakostas,0.5725
Filippos Tsalidis,0.5718
Georgios Chalkiadakis,0.5711
Efthalia Dimara,0.5705
Eftychios Koutroulis,0.5702
Dimitrios Poulakis,0.5691
Georgios Fikioris,0.5679
 Nikolaos Pelekanos,0.5669
Ioannis Zannos ,0.5643
Konstantinos Stergiou,0.5641
 Dimitrios Nikolos,0.5634
Konstantinos Danas,0.5619
Nikos Pavlidis,0.5615
Panagiotis Rontogiannis,0.5613
Konstantinos Raftopoulos,0.5598
Theodora Ioannidou,0.5579
Ioannis Manousakis,0.5578
Georgios Alexiou ,0.557
Georgios Pavlidis,0.555
Theodoros Chorikis,0.5526
Leonidas Palios,0.5501
Aristeidis Kontogeorgis,0.5499
Maria Nikolaidi,0.5468
Chrysovalantis Kavousianos ,0.5468
Nikolaos Georgoulas ,0.546
Theodoulos Garefalakis,0.5454
Giorgos Georgakopoulos,0.5439
Drosos Gkintidis,0.542
Georgios Makrakis,0.5405
Vasileios Rothos,0.539
Panagiota Morfouli,0.5369
Georgia Karali,0.5363
Ioannis Boutalis,0.5347
Vasileios Sevroglou,0.5318
Konstantinos Chrysafinos,0.5268
Dimitrios Ioannidis,0.526
Gerasimos Barmpatis,0.5213
Stavros Kolliopoulos,0.5211
Panagiotis Alevizos,0.5206
Christos Nikolopoulos,0.5203
Dimitrios Varsos,0.5177
Kleanthis Thrampoulidis,0.5177
Nikolaos Karachalios,0.5149
Nikolaos Diamantis,0.5112
Chrysi Kokologiannaki,0.5069
Evgenia Foustoukou,0.5026
Athanasios Papistas,0.4965
Vasileios Zisimopoulos,0.4878
Maria Spiliopoulou,0.0
Georgios Spanoudakis,0.0
Dimitrios Sountris,0.0
Konstantinos Karathanasis,0.0
Makis (Gerasimos) Solomos,0.0
