Name_roman,Cosine_score
Georgios Papadimitriou,0.654
Stavros Dimitriadis,0.6468
Athina Vakali,0.6425
Ioannis Vlachavas,0.636
Ioannis Pitas,0.6359
Ioannis Stamelos,0.631
Nikolaos Vasileiadis,0.6308
Eleftherios Angelis,0.6269
Konstantinos Kotropoulos,0.6251
Nikolaos Konofaos,0.613
Christos Ouzounis,0.6087
Nikolaos Nikolaidis,0.0
Panagiotis Katsaros,0.0
Anastasios Gounaris ,0.0
Apostolos Papadopoulos,0.0
Dionysios Politis,0.0
Nikolaos Laskaris,0.0
Petros Nikopolitidis,0.0
Nikolaos Pleros,0.0
Dimitrios Vrakas,0.0
Anastasios Tefas ,0.0
Thrasyvoulos Konstantinos Tsiatsos,0.0
Nikolaos Tsitsas,0.0
Grigorios Tsoumakas,0.0
Amalia Miliou,0.0
