Name_roman,Cosine_score
Stavros Dimitriadis,0.6
Ioannis Stamelos,0.5945
Nikolaos Vasileiadis,0.5903
Athina Vakali,0.59
Eleftherios Angelis,0.5863
Georgios Papadimitriou,0.5839
Ioannis Vlachavas,0.5804
Christos Ouzounis,0.5664
Ioannis Pitas,0.5641
Nikolaos Konofaos,0.5634
Konstantinos Kotropoulos,0.5621
Nikolaos Laskaris,0.0
Nikolaos Nikolaidis,0.0
Panagiotis Katsaros,0.0
Anastasios Gounaris ,0.0
Apostolos Papadopoulos,0.0
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
Nikolaos Pleros,0.0
Dimitrios Vrakas,0.0
Anastasios Tefas ,0.0
Thrasyvoulos Konstantinos Tsiatsos,0.0
Nikolaos Tsitsas,0.0
Grigorios Tsoumakas,0.0
Amalia Miliou,0.0
