Name_roman,Cosine_score
Dimitrios Sampson,0.7069
Christos Douligeris,0.6948
Ioannis Ioannidis,0.6935
Christos Panagiotakopoulos,0.6902
Konstantinos Stefanidis,0.6868
Georgios Vouros,0.6867
Evrypidis Petrakis,0.6837
Dion.-Dimitrios Koutsouris,0.6814
Achilleas Kameas,0.6759
Polyxeni Pange - Lekka,0.6688
Dimitris Karagiannis,0.6675
Dimitrios Gkritzalis,0.6653
Elpida Keravnou - Papailiou,0.663
Dimitrios Serpanos ,0.6626
Athanasios Ntarantoumis,0.6614
Christos Politis,0.6614
Grigorios Antoniou,0.6594
Ioannis Mavridis,0.6592
Georgios Pavlou,0.658
Konstantinos Margaritis,0.656
Nikolaos Papaspyrou,0.6551
Georgios Tompras ,0.6551
Panagiotis Demestichas,0.6551
Georgios Syrakoulis,0.6542
Diomidis Spinellis,0.6533
Iakovos  Venieris,0.653
Antonios Savvidis,0.6523
 Konstantinos Plataniotis,0.6522
Konstantinos Tarampanis,0.651
Maria  Virvou,0.6499
Stefanos Gkritzalis,0.6491
Charalambos Vrasidas,0.6488
Angeliki Dimitrakopoulou,0.6485
Pericles Loucopoulos,0.6485
 John Tsotsos,0.6483
Themistoklis Panagiotopoulos,0.6479
Georgios Tsichrintzis,0.6459
Theodora Varvarigou,0.6448
Giannis Papadopoulos,0.6445
Vassilis Kostakos,0.6445
Konstantinos Pattichis,0.6444
Katia Sycara,0.6443
Antonios Argyros ,0.6442
Athanasios Tzimogiannis,0.644
Ioannis Chatzilygeroudis,0.6437
Dimitrios  Vergados,0.6435
Antonios Gasteratos,0.643
Anastasios  Oikonomidis,0.6425
Konstantinos Masselos,0.6419
Symeon Retalis,0.6416
Nikolaos Zaranis,0.6403
Nikolaos Kyrpidis,0.6401
Paris Avgeriou,0.6401
Ioannis Pratikakis,0.64
Stefanos Kollias ,0.6399
Charalampos Mouratidis,0.6396
Michail Vrachatis,0.6395
Sotirios Nikoletseas,0.6382
Lampros Stergioulas,0.6379
Georgios Lepouras,0.6377
Nikolaos Bourmpakis,0.6376
Athanasios Skodras,0.6374
Vasileios Chrysikopoulos,0.6373
Konstantinos Stathis,0.6368
Alexios Delis,0.6368
Ioannis  Stavrakakis,0.6365
Vasileios Komis,0.6353
Vasileios Tsaousidis,0.6335
Georgios Karypis,0.6335
Leontios Chatzileontiadis,0.6334
Ioannis Dimitriadis,0.6331
Thanasis Chatzilakos,0.633
Emmanouil  Varvarigos,0.6328
Bill Kapralos,0.6328
Ioannis Smaragdakis,0.6316
Georgios Angelos Papadopoulos,0.6314
Konstantinos Markantonakis,0.6308
Charoula Angeli,0.6308
Dimosthenis Vougioukas ,0.6307
Dimitra  Simeonidou,0.6302
Vasileios Megalooikonomou,0.63
Efstathios  Sykas,0.6296
Konstantina Nikita,0.6293
Foteini Paraskeva,0.6293
Vasilios Katos,0.6292
 Thrasyvoulos Pappas,0.6291
Andreas Andreou,0.6289
Vasilis Christofidis,0.6287
Michail Zervakis,0.6285
Nikos Magklaveras,0.6283
Georgios Tzanetakis,0.6282
Ioannis Nikolaidis,0.6279
Georgios Paliouras,0.6278
Lydia Kavraki,0.6277
Maria - Aikaterini Satratzemi,0.6269
Evangelos Milios,0.6262
Nikolaos Paragyios,0.6258
Christos Bouras ,0.6251
Ioannis Anagnostopoulos,0.625
Alexandros  Stavdas,0.6249
Dimitrios Plexousakis,0.6245
Nikolaos Avouris,0.6242
 Dimitrios Tzovaras ,0.6242
 Theodoros Laopoulos,0.624
Vangelis Paschos,0.6237
Dimitrios Kalles,0.6237
Nikolas Tsapatsoulis,0.6236
Christos Schizas,0.6234
Georgios Karagiannidis ,0.6234
Michail Vazirgiannis,0.6229
Christos Zaroliagkis,0.6229
Michail Sfakianakis,0.6228
Ioannis Psarras,0.6228
Ioannis Kakadiaris,0.6228
Georgios Kouroupetroglou ,0.6221
Georgios Evangelidis,0.622
Eleni Stroulia,0.6201
Vasileios Syris,0.6199
Petros Maragkos,0.6198
Ioannis Antoniou,0.6196
Miltiadis Petridis,0.6191
Charalampos Skianis,0.6189
Timoleon Sellis,0.6188
Anastasios Mikropoulos,0.6184
Andreas Pitsillidis,0.6183
Spyridon Lykothanasis,0.6175
Dimitrios Nikolopoulos,0.617
Alexandros Chatzigeorgiou,0.617
Emmanouil Koumparakis,0.6169
Angelos Bilas,0.6167
Spyridon Sioutas,0.6167
Georgios     Kampourakis ,0.6163
Spyridon-Gerasimos  Lalis,0.6159
Tasoula Georgaki,0.6158
Charalampos Karagiannidis ,0.6157
George Bebis,0.6153
Argyrios Dentsoras,0.6142
Evangelia Pitoura,0.6139
Pantelis Angelidis,0.6138
Evangelos Markatos,0.6136
Georgios Rouskas,0.6132
Aristeidis Lykas,0.6131
Iraklis  Avramopoulos,0.6128
Nikolaos Sidiropoulos,0.6127
Giannis Papakonstantinou,0.612
Emmanouil Roumeliotis,0.6113
Ioannis Theodoridis,0.6113
Foteini - Niovi Pavlidou ,0.6107
Georgios Stamoulis,0.6104
 Yannis Aloimonos,0.6103
Dimitrios  Gounopoulos,0.6103
Periklis Mitkas,0.6102
Lazaros  Merakos,0.61
Panagiotis Konstantopoulos,0.6098
Damianos Gavalas,0.6092
Ioannis Garofalakis,0.6091
Ioannis Emiris,0.6084
Ioannis Tollis,0.6084
Marios Mavronikolas,0.6083
Michail Devetsikiotis - Chatzinikolaou,0.6082
Andreas Floros ,0.608
Dimitrios Gkizopoulos,0.6074
Antonis Kakas,0.6074
Vasileios Verykios,0.6073
 Spyridon Nikolaidis,0.6072
Ioannis Andreadis ,0.606
Anastasios Ntelopoulos,0.6059
Dionysios Pnevmatikatos ,0.6056
Christoforos Kozyrakis,0.6046
Alkiviadis Chatzopoulos ,0.6044
Theodoros Evgeniou,0.604
Georgios Rachonis,0.6037
Michail  Logothetis,0.6034
Dimitrios Thilykos,0.6031
Odysseas Koufopavlou ,0.6028
Dimitrios  Syvridis,0.6026
Panos Linos,0.6026
Georgios  Polyzos,0.6025
Michalis Zervas,0.6023
Panagiotis  Kottis,0.6021
Kostas Xydeas,0.6021
Pavlos Peppas,0.602
Minos Garofalakis,0.6017
Emmanouil Maragkoudakis,0.6014
Pavlos Moraitis,0.6013
Vasileios Anastasopoulos,0.6013
Stavros Perantonis,0.6007
Dimitrios Frantzeskakis ,0.5994
Panagiotis Vasileiadis,0.5993
Emmanouil Giakoumakis,0.5986
Ioannis Stamatiou,0.5983
Andriana Prentza,0.5982
Dimitrios Iakovidis,0.5982
Lysimachos-Pavlos Kontis,0.5981
Georgios Makris,0.5975
Alexios Birmpas,0.5969
Evripidis Chatzikraniotis,0.5969
Stylianos Siskos ,0.5967
Efthymios Chousos,0.5967
Georgios Rovithakis,0.5956
Efstathios  Stamatatos ,0.5954
 Antonios Paschalis,0.5953
Theocharis Theocharis ,0.5952
Miltiadis  Anagnostou,0.5947
Panagiota Fatourou,0.5944
Ioannis Papananos,0.5944
Pantelis Bagkos,0.5941
Theodoros Dalamagkas,0.5939
Panagiotis Kalnis,0.5939
Michail Taroudakis,0.5936
Ioannis Stylianou,0.5933
Ioannis Tigkelis ,0.5932
Antonis Charalampopoulos,0.5927
Vasileios Vassalos,0.592
Antonios Bogris,0.5917
George Zouridakis,0.5915
Panagiotis Tsanakas,0.5914
Georgios Vasilakopoulos,0.5912
Christos Koukouvinos,0.591
Ioannis Dologlou,0.5909
Themis Palpanas,0.5906
Panagiotis Metaxas,0.5904
Antonios Aletras,0.5903
Georgios Pavlidis,0.5902
Efthalia Dimara,0.5896
Emmanouil Lourakis,0.5893
Andreas-Georgios Stafylopatis,0.5888
Ioannis Mourtzopoulos,0.5887
Pavlos - Petros Sotiriadis,0.5886
Georgios Sergiadis,0.5885
Efstratios Gallopoulos,0.5885
Sotiris Skevoulis,0.588
Nikolaos Mamoulis,0.5878
Nektarios Kozyris,0.5876
 Dimitrios  Tsoukalas,0.5876
Giorgos Tourlakis,0.5872
Evripidis Bampis,0.5869
Angelos Rouskas,0.5864
Kiamal Pekmestzi,0.5863
 Konstantinos Balas,0.5862
Neoklis Polyzotis,0.5861
Nikolaos Bellas ,0.5861
Kostas Daniilidis,0.586
Leonidas Georgiadis,0.5857
 Emmanouil Kriezis,0.5854
Apostolos Dollas,0.5854
Aimilios-Vasileios  Kampouropoulos ,0.5852
Stylianos  Tzortzakis,0.585
Panayiota Poirazi,0.5847
Kon/nos Bermperidis,0.5845
Ilias Manolakos,0.5844
Thomas Xenos,0.5837
Theodoros  Apostolopoulos,0.5836
 Ioannis Fountos ,0.5829
Spiros Mancoridis,0.5824
Nikolaos Papamarkos,0.5804
Traianos Gioultsis,0.5803
Artemis - Georgia Chatzigeorgiou,0.5797
Christoforos Nikou,0.5791
Georgios  Moustakidis,0.5789
Athanasios Manikas,0.5787
Dimitrios Kougioumtzis,0.5786
Vasos Chatzilakos,0.5783
Ioannis Tsamardinos,0.5779
Andreas Veneris,0.5774
Kon/nos Psychalinos ,0.5772
Antonios Symvonis,0.5767
Vasileios Digalakis,0.5755
Nikolaos Malevris,0.5754
