Name_roman,Cosine_score
Georgios Papadimitriou,0.7004
Apostolos Papadopoulos,0.6862
Konstantinos Kotropoulos,0.6861
Ioannis Vlachavas,0.6835
Nikolaos Vasileiadis,0.6818
Ioannis Pitas,0.6803
Panagiotis Katsaros,0.6692
Athina Vakali,0.6689
Stavros Dimitriadis,0.6667
Ioannis Stamelos,0.6645
Thrasyvoulos Konstantinos Tsiatsos,0.6639
Nikolaos Konofaos,0.6628
Eleftherios Angelis,0.6577
Christos Ouzounis,0.65
Nikolaos Laskaris,0.6487
Dimitrios Vrakas,0.6486
Anastasios Tefas ,0.6438
Anastasios Gounaris ,0.6402
Grigorios Tsoumakas,0.6394
Nikolaos Tsitsas,0.6349
Nikolaos Nikolaidis,0.6289
Amalia Miliou,0.6258
Nikolaos Pleros,0.6227
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
