Name_roman,Cosine_score
Dimitrios Vrakas,0.6317
Nikolaos Vasileiadis,0.6302
Panagiotis Katsaros,0.6271
Ioannis Vlachavas,0.6224
Georgios Papadimitriou,0.6201
Thrasyvoulos Konstantinos Tsiatsos,0.6158
Athina Vakali,0.6154
Ioannis Stamelos,0.6124
Eleftherios Angelis,0.6123
Nikolaos Laskaris,0.6119
Stavros Dimitriadis,0.6043
Apostolos Papadopoulos,0.6036
Ioannis Pitas,0.6032
Nikolaos Nikolaidis,0.6009
Konstantinos Kotropoulos,0.6006
Christos Ouzounis,0.6003
Nikolaos Konofaos,0.5987
Grigorios Tsoumakas,0.5936
Anastasios Gounaris ,0.5886
Anastasios Tefas ,0.5859
Nikolaos Tsitsas,0.5849
Amalia Miliou,0.5796
Nikolaos Pleros,0.566
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
