Name_roman,Cosine_score
Alexios Delis,0.7553
Ioannis Ioannidis,0.7308
Georgios Vouros,0.7304
Christos Douligeris,0.7301
Evrypidis Petrakis,0.7273
Konstantinos Stefanidis,0.7236
Dion.-Dimitrios Koutsouris,0.718
Dimitrios Sampson,0.7157
Nikolaos Papaspyrou,0.7124
Christos Panagiotakopoulos,0.7113
Grigorios Antoniou,0.7102
Georgios Tompras ,0.7097
Georgios Syrakoulis,0.7095
Dimitrios Serpanos ,0.7093
Katia Sycara,0.7079
Michail Lagoudakis,0.7069
Themistoklis Panagiotopoulos,0.7062
Panagiotis Demestichas,0.7044
Michail Vrachatis,0.704
Iraklis Varlamis,0.703
Athanasios Ntarantoumis,0.7024
Konstantinos Margaritis,0.7023
Christos Politis,0.7015
Achilleas Kameas,0.7012
Dimitrios  Vergados,0.7011
Giannis Papadopoulos,0.7009
Georgios Pavlou,0.7007
Konstantinos Stathis,0.7005
Elpida Keravnou - Papailiou,0.7
Antonios Gasteratos,0.6992
 Konstantinos Plataniotis,0.6992
 John Tsotsos,0.6989
Dimitrios Gkritzalis,0.6984
Nikolaos Kyrpidis,0.6964
Georgios Tsichrintzis,0.6957
Polyxeni Pange - Lekka,0.6953
Georgios Karypis,0.6943
Lydia Kavraki,0.6932
Ioannis Mavridis,0.6929
Konstantinos Pattichis,0.6925
Maria  Virvou,0.6921
Diomidis Spinellis,0.6906
Antonios Savvidis,0.6906
Iakovos  Venieris,0.6901
Athanasios Kechagias,0.6901
Konstantinos Masselos,0.6897
Ioannis Pratikakis,0.6873
Stefanos Kollias ,0.6867
Ioannis Smaragdakis,0.6846
Ioannis Anagnostopoulos,0.6837
Theodoros Tzouramanis,0.6829
Theodora Varvarigou,0.6828
Antonios Argyros ,0.6826
Georgios Paliouras,0.6825
Konstantinos Moustakas,0.6823
Vasileios Tsaousidis,0.6822
Athanasios Skodras,0.6818
Efstathios  Sykas,0.6817
Vangelis Paschos,0.6815
Stefanos Gkritzalis,0.6814
Evangelia Pitoura,0.6807
Georgios Papagiannakis,0.68
Sotirios Nikoletseas,0.68
Dimitris Karagiannis,0.6797
Ioannis Kakadiaris,0.6795
Georgios Rachonis,0.679
Konstantinos Tarampanis,0.6788
Vasileios Megalooikonomou,0.6785
Spyridon Lykothanasis,0.6784
Georgios Karampatis,0.6773
Pericles Loucopoulos,0.6751
Charalampos Mouratidis,0.6747
Konstantina Nikita,0.6747
Petros Maragkos,0.6746
 Dimitrios Tzovaras ,0.6742
Vasileios Chrysikopoulos,0.6737
Michail Vazirgiannis,0.6733
Ioannis Chatzilygeroudis,0.6723
Emmanouil Roumeliotis,0.6715
Angeliki Dimitrakopoulou,0.6715
Dimitrios Nikolopoulos,0.6714
Georgios Stamou,0.6713
Nikos Magklaveras,0.6712
Anastasios  Oikonomidis,0.6712
Argyrios Dentsoras,0.6711
Spyridon Vosinakis,0.6699
Nikolaos Paragyios,0.6691
Nikolaos Bourmpakis,0.6688
Christos Zaroliagkis,0.6688
Dimosthenis Vougioukas ,0.6684
Athanasios Tyropanis,0.6683
Alexandros  Stavdas,0.6681
Georgios Ellinas,0.6679
Vasilis Christofidis,0.6677
Andreas Andreou,0.6675
Andreas Lanitis,0.6673
Nikolaos Sidiropoulos,0.6669
Vassilis Kostakos,0.6668
Leontios Chatzileontiadis,0.6664
Evangelos Milios,0.6662
Emmanouil  Varvarigos,0.6661
Nikolas Tsapatsoulis,0.6657
Spyridon-Gerasimos  Lalis,0.6653
Nikolaos Avouris,0.6653
Angelos Bilas,0.6649
 Theodoros Laopoulos,0.6644
Konstantinos Markantonakis,0.6643
Dimitrios Frantzeskakis ,0.664
Georgios Angelos Papadopoulos,0.6638
Dimitra  Simeonidou,0.6637
Aikaterini Mania,0.6636
 Thrasyvoulos Pappas,0.6635
Ioannis Theodoridis,0.6629
George Bebis,0.6624
Michail Zervakis,0.6622
Ioannis Antoniou,0.662
Konstantinos Kontogiannis,0.6619
Alkiviadis Chatzopoulos ,0.6619
Ioannis Andreadis ,0.6614
Christos Schizas,0.6614
Ioannis Emiris,0.661
Georgios Kouroupetroglou ,0.6601
Georgios Tzanetakis,0.6599
Pantelis Bagkos,0.6599
Christos Koukouvinos,0.6594
Paris Avgeriou,0.6594
Dimitrios Plexousakis,0.6592
Margkerita Antona,0.6588
Bill Kapralos,0.6588
Dimitrios Thilykos,0.6582
Ioannis Dimitriadis,0.6579
Dimitrios  Gounopoulos,0.6567
Georgios Karagiannidis ,0.6564
Georgios Lepouras,0.6562
Ioannis  Stavrakakis,0.6548
Ioannis Psarras,0.6547
Michail Sfakianakis,0.6544
Lampros Stergioulas,0.6543
Georgios Papaioannou,0.6541
Kyriakos Sgarmpas,0.6535
Konstantinos Mourlas,0.6534
Ioannis Papananos,0.6525
Maria - Aikaterini Satratzemi,0.6523
 Spyridon Nikolaidis,0.6523
Theodoros Evgeniou,0.6522
Nikolaos Grammalidis,0.6521
Vasos Chatzilakos,0.6519
Periklis Mitkas,0.6519
Emmanouil Koumparakis,0.6513
Vasileios Anastasopoulos,0.6511
Alexios Birmpas,0.651
Giannis Papakonstantinou,0.651
Ioannis Tollis,0.6509
Spyridon Sioutas,0.6508
Minos Garofalakis,0.6507
Panagiotis Kalnis,0.6507
Evripidis Bampis,0.6498
Timoleon Sellis,0.6498
Vasileios Komis,0.6498
Vasileios Syris,0.6494
Nikolaos Mamoulis,0.6492
Christoforos Kozyrakis,0.649
Symeon Retalis,0.6489
Alexandros Chatzigeorgiou,0.6489
Georgios Evangelidis,0.6486
Georgios     Kampourakis ,0.6483
Charalambos Vrasidas,0.6473
Dimitrios  Syvridis,0.6473
Stylianos Xynogalos,0.6473
Vasileios Verykios,0.6471
Andreas Pitsillidis,0.6468
Marios Mavronikolas,0.6462
Georgios Stamoulis,0.6458
Gerasimos Potamianos,0.6457
Dimitrios Kalles,0.6457
Iraklis  Avramopoulos,0.6453
Odysseas Koufopavlou ,0.6448
Pavlos Moraitis,0.6448
Elpida Tzafesta,0.6445
Anastasios Ntelopoulos,0.6445
Kon/nos Aidinis ,0.6443
Evangelos Markatos,0.6442
Georgios Rovithakis,0.6442
 Yannis Aloimonos,0.6442
Emmanouil Maragkoudakis,0.644
Charalampos Skianis,0.6437
Nikolaos Pelekis,0.643
Ioannis Nikolaidis,0.6429
Antonios Aletras,0.6423
Lazaros  Merakos,0.6421
Aristeidis Lykas,0.642
Dionysios Pnevmatikatos ,0.642
Efthymios Chousos,0.6418
Andreas-Georgios Stafylopatis,0.6415
Ioannis Tigkelis ,0.6414
Panagiotis Vasileiadis,0.6412
Kostas Xydeas,0.641
Emmanouil Giakoumakis,0.6409
Kostas Daniilidis,0.6408
Miltiadis Petridis,0.6406
Nikolaos Zaranis,0.6405
Ioannis Garofalakis,0.6401
Andreas Floros ,0.64
Antonis Charalampopoulos,0.6399
Dimitrios Fotakis,0.6391
Eleni Stroulia,0.6389
Christos Bouras ,0.6386
Thanasis Chatzilakos,0.6384
Andreas Symeonidis,0.638
Georgios Rouskas,0.6378
Antonios Bogris,0.637
Ilias Manolakos,0.6367
Tasoula Georgaki,0.6367
Pavlos Peppas,0.6366
Apostolos Zarras,0.6365
Theocharis Theocharis ,0.6365
Michail Devetsikiotis - Chatzinikolaou,0.6364
Vasilios Katos,0.6364
Maria Chalkidi,0.6363
Efstratios Gallopoulos,0.6358
Dimitrios Gkizopoulos,0.6357
Themis Palpanas,0.6355
Apostolos Dollas,0.6353
Stylianos  Tzortzakis,0.6352
Anastasios Mikropoulos,0.6349
Michail Vasilakopoulos,0.6348
Charidimos  Vergos,0.6347
Antonis Kakas,0.6346
Athanasios Mouchtaris,0.6344
