Name_roman,Cosine_score
Elpida Keravnou - Papailiou,0.7485
Georgios Vouros,0.7451
Themistoklis Panagiotopoulos,0.742
Ioannis Ioannidis,0.7406
Michail Lagoudakis,0.7318
Christos Douligeris,0.7285
Nikolaos Papaspyrou,0.726
Achilleas Kameas,0.722
Emmanouil Roumeliotis,0.7186
Vasileios Chrysikopoulos,0.7159
Nikolaos Bourmpakis,0.7132
Georgios Karampatis,0.6963
Georgios Tompras ,0.6933
Evrypidis Petrakis,0.6911
Georgios Rachonis,0.6893
Michail Sfakianakis,0.689
Efstathios  Sykas,0.6853
Theodoros Tzouramanis,0.6849
Vasos Chatzilakos,0.6833
Alkiviadis Chatzopoulos ,0.6753
Stylianos Bakamidis,0.6706
Dion.-Dimitrios Koutsouris,0.6685
Andreas Mniestris ,0.6665
Elpida Tzafesta,0.666
Konstantinos Stefanidis,0.6637
 Theodoros Laopoulos,0.6592
Alexandros  Stavdas,0.6585
Georgios Stamou,0.6526
Christos Antonopoulos,0.6498
Konstantinos Margaritis,0.6496
Konstantinos Stathis,0.6494
Panagiotis Demestichas,0.6492
Konstantinos Masselos,0.6488
Dimitrios Serpanos ,0.6484
Ioannis Papananos,0.6482
Kon/nos Aidinis ,0.6481
Antonios Savvidis,0.6468
Dimitris Karagiannis,0.6456
Argyrios Dentsoras,0.6449
Andriana Prentza,0.6447
Iraklis Varlamis,0.6435
Angeliki Dimitrakopoulou,0.6417
Grigorios Antoniou,0.641
Christos Politis,0.6404
Georgios Tsichrintzis,0.6401
Dimitrios Gkritzalis,0.64
Georgios Syrakoulis,0.6392
Georgios Papagiannakis,0.6391
Ioannis Anagnostopoulos,0.6368
Konstantinos Mourlas,0.6367
Spyridon Lykothanasis,0.6367
Iakovos  Venieris,0.6362
Diomidis Spinellis,0.636
Dimitrios Kalles,0.635
Giannis Papadopoulos,0.6346
Dimitrios Sampson,0.6343
Efthymios Chousos,0.6342
Athanasios Skodras,0.6338
Athanasios Ntarantoumis,0.6337
Christos Schizas,0.6329
Tasoula Georgaki,0.6324
Ioannis Chatzilygeroudis,0.6323
Theodoros Vlachos,0.6322
Michail Vrachatis,0.6321
Spyridon Vosinakis,0.6309
Kyriakos Sgarmpas,0.6303
Thanasis Chatzilakos,0.6302
Maria  Virvou,0.6297
Athanasios Kechagias,0.629
Sotiris Skevoulis,0.629
Pericles Loucopoulos,0.6289
Ioannis Antoniou,0.6287
Kostas Xydeas,0.6281
Antonios Gasteratos,0.6276
Georgios Lepouras,0.6271
Dimitrios  Vergados,0.6269
Theodora Varvarigou,0.6269
Filippos Tsalidis,0.6264
Georgios Kouroupetroglou ,0.6263
Ioannis Smaragdakis,0.6252
Periklis Mitkas,0.6245
Andreas Floros ,0.6241
Athanasios Tyropanis,0.6228
Ioannis Theodoridis,0.6227
Pantelis Angelidis,0.6224
Efstratios Gallopoulos,0.6223
Andreas Papasalouros,0.6223
