Name_roman,Cosine_score
Georgios Papadimitriou,0.7091
Apostolos Papadopoulos,0.7011
Ioannis Pitas,0.6982
Nikolaos Vasileiadis,0.6898
Konstantinos Kotropoulos,0.689
Ioannis Vlachavas,0.6876
Panagiotis Katsaros,0.6766
Stavros Dimitriadis,0.6726
Athina Vakali,0.6724
Thrasyvoulos Konstantinos Tsiatsos,0.6607
Ioannis Stamelos,0.6603
Eleftherios Angelis,0.6567
Grigorios Tsoumakas,0.6565
Anastasios Tefas ,0.6541
Nikolaos Laskaris,0.6515
Nikolaos Konofaos,0.6507
Christos Ouzounis,0.6486
Anastasios Gounaris ,0.6387
Nikolaos Tsitsas,0.6317
Nikolaos Nikolaidis,0.6262
Nikolaos Pleros,0.6116
Amalia Miliou,0.6087
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
Dimitrios Vrakas,0.0
