Name_roman,Cosine_score
Ioannis Vlachavas,0.6175
Nikolaos Vasileiadis,0.6173
Panagiotis Katsaros,0.6151
Athina Vakali,0.6139
Nikolaos Laskaris,0.6073
Apostolos Papadopoulos,0.6071
Ioannis Stamelos,0.6068
Eleftherios Angelis,0.6058
Thrasyvoulos Konstantinos Tsiatsos,0.6043
Grigorios Tsoumakas,0.6024
Stavros Dimitriadis,0.6023
Christos Ouzounis,0.6005
Georgios Papadimitriou,0.599
Konstantinos Kotropoulos,0.599
Ioannis Pitas,0.5987
Nikolaos Nikolaidis,0.5961
Anastasios Gounaris ,0.5852
Anastasios Tefas ,0.5841
Nikolaos Konofaos,0.5804
Nikolaos Tsitsas,0.568
Amalia Miliou,0.5639
Nikolaos Pleros,0.5533
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
Dimitrios Vrakas,0.0
