Name_roman,Cosine_score
Georgios Vouros,0.7352
Ioannis Ioannidis,0.7347
Christos Douligeris,0.7337
Dimitrios Sampson,0.7298
Evrypidis Petrakis,0.7276
Konstantinos Stefanidis,0.7271
Grigorios Antoniou,0.7194
Nikolaos Papaspyrou,0.7187
Christos Panagiotakopoulos,0.7179
Katia Sycara,0.7151
Michail Vrachatis,0.7146
Iraklis Varlamis,0.7142
Dion.-Dimitrios Koutsouris,0.7141
 John Tsotsos,0.7119
Michail Lagoudakis,0.711
Lydia Kavraki,0.71
Athanasios Ntarantoumis,0.71
Georgios Syrakoulis,0.7087
 Konstantinos Plataniotis,0.7074
Dimitrios Serpanos ,0.7065
Georgios Karypis,0.706
Konstantinos Margaritis,0.7037
Georgios Tompras ,0.7016
Georgios Pavlou,0.7015
Polyxeni Pange - Lekka,0.7003
Dimitrios Gkritzalis,0.6995
Antonios Gasteratos,0.6989
Christos Politis,0.6979
Ioannis Mavridis,0.6979
Athanasios Kechagias,0.6973
Georgios Tsichrintzis,0.6973
Elpida Keravnou - Papailiou,0.6962
Vangelis Paschos,0.6951
Panagiotis Demestichas,0.695
Dimitrios  Vergados,0.6946
Nikolaos Kyrpidis,0.6945
Ioannis Smaragdakis,0.6941
Giannis Papadopoulos,0.6937
Konstantinos Stathis,0.6937
Konstantinos Pattichis,0.6916
Sotirios Nikoletseas,0.6914
Themistoklis Panagiotopoulos,0.6914
Vasileios Megalooikonomou,0.6914
Ioannis Kakadiaris,0.691
Georgios Paliouras,0.6908
Athanasios Tyropanis,0.6897
Vasileios Tsaousidis,0.6882
Athanasios Skodras,0.6879
Michail Vazirgiannis,0.6875
Maria  Virvou,0.6875
Ioannis Pratikakis,0.6874
Theodora Varvarigou,0.6863
Petros Maragkos,0.6855
Diomidis Spinellis,0.6853
Stefanos Gkritzalis,0.6853
 Thrasyvoulos Pappas,0.6851
Nikolaos Sidiropoulos,0.6848
Antonios Argyros ,0.6846
Konstantinos Masselos,0.6837
Stefanos Kollias ,0.6833
Achilleas Kameas,0.6832
Antonios Savvidis,0.6828
Angeliki Dimitrakopoulou,0.682
Georgios Rachonis,0.6807
Georgios Papagiannakis,0.6806
Evangelos Milios,0.6804
Vassilis Kostakos,0.6801
Alexios Delis,0.6786
Nikolaos Paragyios,0.6786
Christos Zaroliagkis,0.6775
Dimitrios Nikolopoulos,0.6768
Ioannis Anagnostopoulos,0.6768
Pericles Loucopoulos,0.6767
Dimitrios Thilykos,0.6767
Georgios Stamou,0.6758
Iakovos  Venieris,0.6757
Aikaterini Mania,0.6749
Vasilis Christofidis,0.6745
Christos Koukouvinos,0.6743
Ioannis Emiris,0.6741
Konstantinos Tarampanis,0.6735
Konstantinos Moustakas,0.673
Dimitris Karagiannis,0.673
Georgios Ellinas,0.6727
Evangelia Pitoura,0.6716
Dimitrios Frantzeskakis ,0.6714
Charalampos Mouratidis,0.6707
Georgios Tzanetakis,0.6704
Spyridon Vosinakis,0.6704
Konstantina Nikita,0.6701
Andreas Lanitis,0.6698
Efstathios  Sykas,0.6696
Spyridon Lykothanasis,0.6695
Dimitrios  Gounopoulos,0.6689
Nikos Magklaveras,0.667
Georgios Karagiannidis ,0.6666
Marios Mavronikolas,0.6665
Ioannis Tollis,0.6658
Konstantinos Markantonakis,0.665
Minos Garofalakis,0.665
Paris Avgeriou,0.6639
Dimitrios Plexousakis,0.6638
Ioannis Chatzilygeroudis,0.6633
Theodoros Evgeniou,0.6632
Nikolaos Avouris,0.6629
Vasileios Chrysikopoulos,0.6627
Margkerita Antona,0.6623
Michail Zervakis,0.6617
Emmanouil  Varvarigos,0.6612
Angelos Bilas,0.661
Konstantinos Kontogiannis,0.661
Bill Kapralos,0.661
Ioannis Theodoridis,0.661
Emmanouil Koumparakis,0.6607
Anastasios  Oikonomidis,0.6607
Giannis Papakonstantinou,0.6603
Nikolas Tsapatsoulis,0.6602
 Dimitrios Tzovaras ,0.6602
Ioannis Antoniou,0.6601
George Bebis,0.6597
Ioannis Dimitriadis,0.6595
Ioannis  Stavrakakis,0.6591
Leontios Chatzileontiadis,0.6588
Kyriakos Sgarmpas,0.657
Pantelis Bagkos,0.6569
Charalambos Vrasidas,0.6567
Georgios Angelos Papadopoulos,0.6563
Christos Schizas,0.6558
Georgios Papaioannou,0.6549
Dimosthenis Vougioukas ,0.6546
Gerasimos Potamianos,0.6545
Ioannis Andreadis ,0.654
Georgios Lepouras,0.6533
Spyridon-Gerasimos  Lalis,0.6532
Nikolaos Bourmpakis,0.6529
 Theodoros Laopoulos,0.6526
 Yannis Aloimonos,0.6522
Timoleon Sellis,0.6516
Dimitra  Simeonidou,0.651
Argyrios Dentsoras,0.6507
Georgios Kouroupetroglou ,0.6506
Symeon Retalis,0.6506
Vasos Chatzilakos,0.6506
Georgios Karampatis,0.6503
 Spyridon Nikolaidis,0.6501
Spyridon Sioutas,0.65
Evripidis Bampis,0.6497
Panagiotis Kalnis,0.6491
Vasileios Anastasopoulos,0.6488
Andreas Andreou,0.6484
Emmanouil Giakoumakis,0.6483
Konstantinos Mourlas,0.6479
Periklis Mitkas,0.6476
Dimitrios Kalles,0.6474
Georgios     Kampourakis ,0.6471
Christoforos Kozyrakis,0.6469
Georgios Evangelidis,0.6466
Emmanouil Maragkoudakis,0.6463
Kostas Daniilidis,0.646
Vasileios Syris,0.6459
Nikolaos Mamoulis,0.6451
Ioannis Nikolaidis,0.6447
Lampros Stergioulas,0.6444
Vasileios Verykios,0.6443
Vasileios Komis,0.6442
Pavlos Peppas,0.6439
Ioannis Tsamardinos,0.6431
Vasilios Katos,0.643
Aristeidis Lykas,0.6419
Miltiadis Petridis,0.6419
Evangelos Markatos,0.6413
Dimitrios Fotakis,0.641
Themis Palpanas,0.6409
Maria - Aikaterini Satratzemi,0.6401
Giorgos Tourlakis,0.6401
Nikolaos Zaranis,0.64
Stylianos Xynogalos,0.6398
Panagiotis Metaxas,0.6395
Alexandros  Stavdas,0.6392
Eirini Ntoutsi,0.6391
Nikolaos Pelekis,0.639
Antonios Aletras,0.6387
Antonis Kakas,0.6387
Charoula Angeli,0.6382
Maria Chalkidi,0.6382
Odysseas Koufopavlou ,0.6381
Nektarios Kozyris,0.638
Athanasios Mouchtaris,0.6372
Michalis Zervas,0.6369
Georgios Stamoulis,0.6368
