Name_roman,Cosine_score
Georgios Papadimitriou,0.734
Nikolaos Pleros,0.6909
Athina Vakali,0.6654
Amalia Miliou,0.6644
Apostolos Papadopoulos,0.6635
Konstantinos Kotropoulos,0.6629
Ioannis Pitas,0.661
Ioannis Vlachavas,0.654
Nikolaos Konofaos,0.6531
Ioannis Stamelos,0.6468
Anastasios Tefas ,0.6454
Thrasyvoulos Konstantinos Tsiatsos,0.6443
Nikolaos Vasileiadis,0.6439
Panagiotis Katsaros,0.6429
Eleftherios Angelis,0.6373
Stavros Dimitriadis,0.6372
Christos Ouzounis,0.6331
Nikolaos Tsitsas,0.6272
Anastasios Gounaris ,0.6257
Nikolaos Laskaris,0.6241
Nikolaos Nikolaidis,0.6194
Grigorios Tsoumakas,0.612
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
Dimitrios Vrakas,0.0
