Name_roman,Cosine_score
Nikolaos Pleros,0.6405
Georgios Papadimitriou,0.6383
Amalia Miliou,0.634
Athina Vakali,0.6127
Panagiotis Katsaros,0.608
Thrasyvoulos Konstantinos Tsiatsos,0.6
Nikolaos Laskaris,0.5982
Nikolaos Konofaos,0.5952
Nikolaos Vasileiadis,0.5945
Apostolos Papadopoulos,0.5923
Ioannis Vlachavas,0.5876
Christos Ouzounis,0.5873
Nikolaos Nikolaidis,0.5867
Ioannis Stamelos,0.5861
Eleftherios Angelis,0.5859
Ioannis Pitas,0.5834
Stavros Dimitriadis,0.581
Anastasios Gounaris ,0.5801
Konstantinos Kotropoulos,0.5764
Nikolaos Tsitsas,0.5763
Anastasios Tefas ,0.5702
Grigorios Tsoumakas,0.5678
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
Dimitrios Vrakas,0.0
