Name_roman,Cosine_score
Alexandros  Stavdas,0.7573
Alexios Delis,0.7554
Georgios Tompras ,0.737
Christos Douligeris,0.7353
Georgios Ellinas,0.7272
Christos Politis,0.7257
Georgios Pavlou,0.7216
Efstathios  Sykas,0.7202
Dimitra  Simeonidou,0.7177
Evrypidis Petrakis,0.7149
Panagiotis Demestichas,0.7114
Ioannis Papananos,0.7108
Iraklis  Avramopoulos,0.7096
Georgios Vouros,0.7089
Dion.-Dimitrios Koutsouris,0.7054
Konstantinos Stefanidis,0.7043
Achilleas Kameas,0.7023
Ioannis Ioannidis,0.702
Dimitrios Gkritzalis,0.7012
Dimitrios  Syvridis,0.7012
Iakovos  Venieris,0.6974
Vasileios Tsaousidis,0.6962
Konstantinos Masselos,0.6961
Dimitrios Serpanos ,0.695
Dimitrios Frantzeskakis ,0.6946
 Konstantinos Plataniotis,0.6926
Dimosthenis Vougioukas ,0.6912
Georgios Syrakoulis,0.6911
Dimitrios Sampson,0.6885
Antonios Bogris,0.6884
Alkiviadis Chatzopoulos ,0.6869
Michalis Zervas,0.6868
Georgios Karagiannidis ,0.6864
Emmanouil  Varvarigos,0.685
Athanasios Skodras,0.6848
Stefanos Gkritzalis,0.6827
Dimitrios  Vergados,0.6824
Katia Sycara,0.6821
Vasileios Syris,0.6809
Grigorios Antoniou,0.6808
Sotirios Nikoletseas,0.6802
Vasileios Chrysikopoulos,0.679
Nikolaos Papaspyrou,0.6788
Georgios Rouskas,0.6785
Christos Panagiotakopoulos,0.6778
Iraklis Varlamis,0.6776
 John Tsotsos,0.6774
 Emmanouil Kriezis,0.6771
Charalampos Skianis,0.677
Diomidis Spinellis,0.6767
Kyriakos Vlachos,0.676
Themistoklis Panagiotopoulos,0.6758
Vangelis Paschos,0.6744
 Thrasyvoulos Pappas,0.6734
Antonios Gasteratos,0.6723
Ioannis  Stavrakakis,0.672
Michail Vrachatis,0.6719
Angelos Bilas,0.6719
Theodora Varvarigou,0.671
Michail Lagoudakis,0.671
Lysimachos-Pavlos Kontis,0.6705
Ioannis Mavridis,0.6704
Lazaros  Merakos,0.6704
Ioannis Anagnostopoulos,0.6702
Evangelia Pitoura,0.6685
Ioannis Smaragdakis,0.6685
Panagiotis  Kottis,0.6685
Elpida Keravnou - Papailiou,0.6684
Lydia Kavraki,0.6678
Dimitrios Nikolopoulos,0.6676
Konstantinos Markantonakis,0.6676
Konstantinos Pattichis,0.6675
Ioannis Nikolaidis,0.6674
Foteini - Niovi Pavlidou ,0.6668
 Kyriakos Zoiros,0.6665
Konstantinos Margaritis,0.6664
Nikolaos Kyrpidis,0.6662
Nikolaos Sidiropoulos,0.6662
Giannis Papadopoulos,0.6659
Georgios Karampatis,0.6657
Polyxeni Pange - Lekka,0.6657
Athanasios Ntarantoumis,0.6655
Georgios Karypis,0.665
Konstantinos Stathis,0.6649
Georgios     Kampourakis ,0.664
Charalampos Mouratidis,0.6633
Alexios Birmpas,0.6632
Konstantina Nikita,0.6622
Georgios Papagiannakis,0.6618
Antonios Argyros ,0.6618
Stylianos  Tzortzakis,0.6615
Stefanos Kollias ,0.6614
Nikolaos Bourmpakis,0.6608
Evangelos Milios,0.6604
Dimitris Karagiannis,0.6604
Georgios Tsichrintzis,0.6603
 Dimitrios Tzovaras ,0.6602
Christos Zaroliagkis,0.6602
Michail  Logothetis,0.6597
Georgios Rachonis,0.6596
Emmanouil Roumeliotis,0.6593
Antonios Savvidis,0.6586
Georgios  Polyzos,0.6584
Andreas Pitsillidis,0.658
Christos Bouras ,0.6579
Ioannis Pratikakis,0.6576
Vasileios Megalooikonomou,0.6573
Ioannis Kakadiaris,0.6573
Nikolaos Paragyios,0.6571
Vassilis Kostakos,0.6563
Dimitrios  Pantos,0.6562
Michail Vazirgiannis,0.6552
Georgios Paliouras,0.6548
Andreas Floros ,0.6548
Michail Devetsikiotis - Chatzinikolaou,0.6538
Lampros Stergioulas,0.6535
Maria  Virvou,0.6532
Athanasios Tyropanis,0.6529
Christos Antonopoulos,0.6528
Athanasios Kechagias,0.6527
Ioannis Antoniou,0.6525
Petros Maragkos,0.6521
Christoforos Kozyrakis,0.6518
Anastasios  Oikonomidis,0.6517
Dionysios Pnevmatikatos ,0.6516
Spyridon-Gerasimos  Lalis,0.6506
George Bebis,0.6502
Odysseas Koufopavlou ,0.6497
Vasos Chatzilakos,0.6494
Aikaterini Mania,0.6489
Konstantinos Kloukinas,0.6488
Konstantinos Moustakas,0.6486
Georgios Angelos Papadopoulos,0.6479
Georgios Tzanetakis,0.6473
Ioannis Tigkelis ,0.6471
Leonidas Georgiadis,0.647
Marios Mavronikolas,0.6461
Michail Zervakis,0.6459
Ioannis Mourtzopoulos,0.6459
Dimitrios  Gounopoulos,0.6458
Nikolas Tsapatsoulis,0.6452
Spyridon Vosinakis,0.6448
Nikos Magklaveras,0.6447
Evangelos Markatos,0.6446
Ioannis Tollis,0.6445
Georgios Kouroupetroglou ,0.6441
Georgios Papaioannou,0.6439
Vasilis Christofidis,0.6438
Christos Koukouvinos,0.6437
Spyridon Sioutas,0.6436
Georgios Lepouras,0.6435
 Spyridon Nikolaidis,0.6435
Georgios Stamou,0.6434
Pavlos - Petros Sotiriadis,0.6431
Konstantinos Tarampanis,0.6422
Kon/nos Aidinis ,0.6421
Stylianos Siskos ,0.6419
Dimitrios Thilykos,0.6418
Leontios Chatzileontiadis,0.6415
Panagiotis Kalnis,0.6413
Margkerita Antona,0.6411
Dimitrios Plexousakis,0.6411
Christos Schizas,0.6411
Pantelis Angelidis,0.641
 Dimitrios  Tsoukalas,0.6407
Vasileios Anastasopoulos,0.6404
Vasilios Katos,0.6404
Timoleon Sellis,0.6403
Ioannis Emiris,0.6401
Paris Avgeriou,0.64
Giorgos Pallis,0.6399
Minos Garofalakis,0.6398
Mattias Boucher,0.6393
Ioannis Theodoridis,0.6393
 Konstantinos Balas,0.639
Georgios-Othon Glentis,0.6386
Nikolaos Pelekis,0.6383
Dimitrios Gkizopoulos,0.6382
Georgios Stamoulis,0.6381
Pericles Loucopoulos,0.6377
Konstantinos Mourlas,0.6365
Damianos Gavalas,0.6365
Emmanouil Koumparakis,0.6363
Kon/nos Bermperidis,0.6361
 Theodoros Laopoulos,0.636
Bill Kapralos,0.6357
Kostas Daniilidis,0.6356
Andreas Lanitis,0.6355
Giannis Papakonstantinou,0.6349
Nikolaos Grammalidis,0.6344
Spyridon Blionas,0.6344
Malamati Louta,0.6342
Konstantinos Kontogiannis,0.6339
Angelos Rouskas,0.6338
Athanasios Manikas,0.6332
Thomas Xenos,0.6331
Angeliki Dimitrakopoulou,0.6331
Nikolaos Mamoulis,0.633
Andreas Andreou,0.6328
Ioannis Andreadis ,0.6325
Nektarios Kozyris,0.6322
Ioannis Chatzilygeroudis,0.6316
Georgios Sergiadis,0.6316
Georgios Makris,0.6313
Spyridon Lykothanasis,0.6308
Evripidis Bampis,0.6308
Kiamal Pekmestzi,0.6306
Ioannis Garofalakis,0.6304
Traianos Gioultsis,0.6295
Ioannis Stamatiou,0.6289
Miltiadis  Anagnostou,0.6288
Emmanouil Giakoumakis,0.6287
Georgios Rovithakis,0.6283
Michail Sfakianakis,0.6282
Dimitrios Iakovidis,0.6276
 Yannis Aloimonos,0.6271
Antonis Charalampopoulos,0.6265
Ioannis Dimitriadis,0.6263
Theodoros Vlachos,0.6261
Antonios Aletras,0.6259
Theodoros Evgeniou,0.6257
Apostolos Dollas,0.6256
Dimitrios Fotakis,0.6251
Athanasios Mouchtaris,0.6251
Pantelis Bagkos,0.625
Symeon Retalis,0.625
Eleni Stroulia,0.6247
Nikolaos Avouris,0.6241
Emmanouil Magkos,0.6241
Gerasimos Potamianos,0.624
Ioannis Psarras,0.6238
Alexandros Chatzigeorgiou,0.6236
Vasileios Verykios,0.6236
Aristeidis Lykas,0.6235
Themis Palpanas,0.6229
Charalambos Vrasidas,0.6228
Miltiadis Petridis,0.6225
Andriana Prentza,0.6224
Vasileios Komis,0.6222
Efstathios  Stamatatos ,0.6219
Nikolaos Bellas ,0.6218
Argyrios Dentsoras,0.6216
Georgios  Moustakidis,0.6214
Kostas Xydeas,0.6213
Tasoula Georgaki,0.6213
Charidimos  Vergos,0.6209
Georgios Evangelidis,0.6204
Kyriakos Sgarmpas,0.6203
Periklis Mitkas,0.6202
Apostolos Zarras,0.6201
George Zouridakis,0.6199
Charalampos Konstantopoulos,0.6195
Theocharis Theocharis ,0.6194
Panagiotis Vasileiadis,0.6188
 Antonios Paschalis,0.6186
Dimitrios Kalles,0.6186
 Ioannis Fountos ,0.6184
Athanasios Tzimogiannis,0.6181
Thanasis Chatzilakos,0.6174
Michail Taroudakis,0.6169
Dimitrios Tsoumakos,0.6168
Panagiotis Tsakalidis,0.6164
Emmanouil Maragkoudakis,0.6158
Stylianos Xynogalos,0.6154
Emmanouil Lourakis,0.6152
Andreas Mniestris ,0.6151
Maria - Aikaterini Satratzemi,0.615
Anastasios Ntelopoulos,0.6149
Kon/nos Psychalinos ,0.6149
Ilias Manolakos,0.6139
Aristeidis Pagourtzis,0.6136
Ioannis Stylianou,0.6135
Charalampos Karagiannidis ,0.613
Panagiotis Metaxas,0.6121
Nikolaos Zaranis,0.6119
Efstratios Gallopoulos,0.6119
Panayiota Poirazi,0.6115
Eirini Ntoutsi,0.6115
