Name_roman,Cosine_score
Georgios Papadimitriou,0.7096
Panagiotis Katsaros,0.696
Ioannis Stamelos,0.69
Athina Vakali,0.6877
Nikolaos Vasileiadis,0.679
Apostolos Papadopoulos,0.6785
Eleftherios Angelis,0.6776
Ioannis Vlachavas,0.6755
Konstantinos Kotropoulos,0.6746
Anastasios Gounaris ,0.6691
Ioannis Pitas,0.6684
Stavros Dimitriadis,0.6684
Thrasyvoulos Konstantinos Tsiatsos,0.6671
Anastasios Tefas ,0.6564
Nikolaos Konofaos,0.6561
Nikolaos Pleros,0.6484
Nikolaos Laskaris,0.6443
Grigorios Tsoumakas,0.6404
Christos Ouzounis,0.6402
Nikolaos Nikolaidis,0.6388
Amalia Miliou,0.6351
Nikolaos Tsitsas,0.6227
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
Dimitrios Vrakas,0.0
