Name_roman,Cosine_score
Panagiotis Katsaros,0.6757
Georgios Papadimitriou,0.6444
Nikolaos Vasileiadis,0.6421
Ioannis Stamelos,0.6408
Athina Vakali,0.6405
Eleftherios Angelis,0.6339
Ioannis Vlachavas,0.6309
Anastasios Gounaris ,0.6298
Thrasyvoulos Konstantinos Tsiatsos,0.6286
Apostolos Papadopoulos,0.627
Nikolaos Laskaris,0.6262
Nikolaos Konofaos,0.6181
Nikolaos Nikolaidis,0.6168
Stavros Dimitriadis,0.6163
Ioannis Pitas,0.616
Christos Ouzounis,0.6091
Grigorios Tsoumakas,0.609
Konstantinos Kotropoulos,0.6082
Amalia Miliou,0.6081
Anastasios Tefas ,0.605
Nikolaos Pleros,0.602
Nikolaos Tsitsas,0.5873
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
Dimitrios Vrakas,0.0
