Name_roman,Cosine_score
Evrypidis Petrakis,0.7415
Christos Douligeris,0.7399
Ioannis Ioannidis,0.7289
Georgios Vouros,0.7287
Georgios Pavlou,0.7263
Dimitrios Serpanos ,0.7199
Giannis Papadopoulos,0.7199
Dion.-Dimitrios Koutsouris,0.7199
Konstantinos Stefanidis,0.7194
Dimitrios Gkritzalis,0.7159
Christos Politis,0.7155
Nikolaos Papaspyrou,0.7151
Konstantinos Masselos,0.7107
Panagiotis Demestichas,0.7072
Katia Sycara,0.7057
Ioannis Smaragdakis,0.7057
Stefanos Gkritzalis,0.7055
Ioannis Mavridis,0.7053
Alexios Delis,0.7051
Vasileios Tsaousidis,0.7012
Diomidis Spinellis,0.7006
Dimitrios Nikolopoulos,0.6996
Michail Lagoudakis,0.6994
Christos Panagiotakopoulos,0.6994
Athanasios Ntarantoumis,0.6992
Georgios Tompras ,0.6979
Iraklis Varlamis,0.6967
Dimitrios Sampson,0.6957
Grigorios Antoniou,0.6955
Theodora Varvarigou,0.6943
Achilleas Kameas,0.6943
Konstantinos Stathis,0.6943
Charalampos Mouratidis,0.6925
Pericles Loucopoulos,0.6923
Dimitra  Simeonidou,0.6922
 Konstantinos Plataniotis,0.6922
Georgios Syrakoulis,0.6922
Iakovos  Venieris,0.692
 John Tsotsos,0.6917
Antonios Savvidis,0.6907
Dimitrios  Vergados,0.6893
Paris Avgeriou,0.6881
Vangelis Paschos,0.6877
Michail Vrachatis,0.6877
Konstantinos Tarampanis,0.6864
Sotirios Nikoletseas,0.6862
Nikolaos Kyrpidis,0.686
Georgios Karypis,0.6847
Angelos Bilas,0.6846
Konstantinos Margaritis,0.6844
Polyxeni Pange - Lekka,0.6834
Konstantinos Kontogiannis,0.6833
Dionysios Pnevmatikatos ,0.683
Ioannis Anagnostopoulos,0.683
 Dimitrios Tzovaras ,0.6826
Emmanouil  Varvarigos,0.6826
Antonios Gasteratos,0.6822
Konstantinos Markantonakis,0.682
Georgios     Kampourakis ,0.6811
 Spyridon Nikolaidis,0.6807
Spyridon-Gerasimos  Lalis,0.6803
Evangelia Pitoura,0.6803
Athanasios Skodras,0.6788
Lydia Kavraki,0.6786
Christoforos Kozyrakis,0.6785
Georgios Ellinas,0.6783
Georgios Paliouras,0.6778
Konstantinos Pattichis,0.6772
Dimitrios Gkizopoulos,0.6767
Konstantinos Moustakas,0.6766
Vasilis Christofidis,0.6763
Antonios Argyros ,0.6762
Georgios Tsichrintzis,0.676
Dimitris Karagiannis,0.676
Maria  Virvou,0.6753
Georgios Angelos Papadopoulos,0.6752
Michail Vazirgiannis,0.6745
Alexandros Chatzigeorgiou,0.6743
Nikolas Tsapatsoulis,0.6732
Dimitrios Plexousakis,0.6731
Vasileios Chrysikopoulos,0.6731
Ioannis Pratikakis,0.673
Georgios Karampatis,0.6728
Alexios Birmpas,0.6726
Christos Zaroliagkis,0.6724
Dimosthenis Vougioukas ,0.6719
Elpida Keravnou - Papailiou,0.6713
Stefanos Kollias ,0.6712
Apostolos Zarras,0.6709
Themistoklis Panagiotopoulos,0.6709
Odysseas Koufopavlou ,0.6708
Athanasios Tyropanis,0.6708
Athanasios Kechagias,0.6707
Georgios Papagiannakis,0.6706
Vasileios Megalooikonomou,0.6706
Evangelos Markatos,0.6706
Charalampos Skianis,0.6705
Angeliki Dimitrakopoulou,0.6701
Ioannis Kakadiaris,0.6697
Miltiadis Petridis,0.6696
Iraklis  Avramopoulos,0.6695
Ioannis  Stavrakakis,0.6695
Vasileios Syris,0.6694
Alexandros  Stavdas,0.6694
Anastasios  Oikonomidis,0.6693
Vasilios Katos,0.6692
Andreas Andreou,0.6689
Lazaros  Merakos,0.6688
Konstantina Nikita,0.6681
Konstantinos Mourlas,0.6674
Spyridon Sioutas,0.6671
Efstathios  Sykas,0.667
