target_result
7/410:Giannis Papadopoulos
16/410:Ioannis Smaragdakis
18/410:Ioannis Mavridis
21/410:Diomidis Spinellis
75/410 (standby):Maria  Virvou
78/410:Alexandros Chatzigeorgiou
89/410 (standby):Apostolos Zarras
95/410 (standby):Vasileios Megalooikonomou
106/410 (standby):Vasilios Katos
107/410:Andreas Andreou
142/410 (standby):Andreas Symeonidis
261/410 (standby):Nikolaos Malevris
264/410 (standby):Anna Filippou
"Metric1:0.07114933541829555, top_16=15.384615384615385%, Average Precision:0.09865382954388116, Prize_metric:0.7713252094440213, Reciprocal Rank:7, Coverage:264"
