Name_roman,Cosine_score
Georgios Papadimitriou,0.628
Apostolos Papadopoulos,0.6211
Ioannis Pitas,0.6192
Konstantinos Kotropoulos,0.6156
Nikolaos Vasileiadis,0.6047
Ioannis Vlachavas,0.6039
Nikolaos Konofaos,0.6017
Anastasios Tefas ,0.5989
Eleftherios Angelis,0.5986
Athina Vakali,0.5984
Nikolaos Nikolaidis,0.5973
Panagiotis Katsaros,0.5951
Ioannis Stamelos,0.5941
Nikolaos Laskaris,0.593
Thrasyvoulos Konstantinos Tsiatsos,0.5917
Stavros Dimitriadis,0.5906
Christos Ouzounis,0.5883
Amalia Miliou,0.5877
Grigorios Tsoumakas,0.5869
Anastasios Gounaris ,0.5868
Nikolaos Tsitsas,0.584
Dimitrios Vrakas,0.5829
Nikolaos Pleros,0.5714
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
