Name_roman,Cosine_score
Panagiotis Katsaros,0.5919
Apostolos Papadopoulos,0.5838
Nikolaos Laskaris,0.5786
Athina Vakali,0.5781
Ioannis Vlachavas,0.5772
Georgios Papadimitriou,0.5762
Eleftherios Angelis,0.576
Nikolaos Vasileiadis,0.5746
Dimitrios Vrakas,0.574
Ioannis Pitas,0.5718
Nikolaos Nikolaidis,0.5707
Ioannis Stamelos,0.569
Konstantinos Kotropoulos,0.5686
Christos Ouzounis,0.5681
Thrasyvoulos Konstantinos Tsiatsos,0.5653
Nikolaos Konofaos,0.5646
Anastasios Gounaris ,0.5622
Grigorios Tsoumakas,0.5622
Anastasios Tefas ,0.5588
Nikolaos Tsitsas,0.5554
Stavros Dimitriadis,0.5544
Amalia Miliou,0.5493
Nikolaos Pleros,0.5326
Dionysios Politis,0.0
Petros Nikopolitidis,0.0
