Name_roman,Cosine_score
Christos Douligeris,0.6457
Michail Vrachatis,0.6434
Nikolaos Papaspyrou,0.6427
Ioannis Ioannidis,0.6414
Georgios Tompras ,0.6391
Evrypidis Petrakis,0.6391
Georgios Vouros,0.6358
Dimitrios Gkritzalis,0.635
Vangelis Paschos,0.6347
Georgios Syrakoulis,0.6338
Dimitrios Thilykos,0.6327
Georgios Rachonis,0.6308
Dion.-Dimitrios Koutsouris,0.6296
Odysseas Koufopavlou ,0.6293
Konstantinos Stefanidis,0.6283
Katia Sycara,0.6267
Christos Politis,0.6258
Stefanos Gkritzalis,0.6245
 Konstantinos Plataniotis,0.6242
Christos Panagiotakopoulos,0.624
Dimitrios Sampson,0.624
Dimitrios Serpanos ,0.6239
Marios Mavronikolas,0.6236
Sotirios Nikoletseas,0.6231
Ioannis Emiris,0.6225
Athanasios Skodras,0.6224
Christos Koukouvinos,0.6217
Lydia Kavraki,0.6196
Vasileios Chrysikopoulos,0.6195
Konstantinos Margaritis,0.6189
Georgios Karypis,0.6188
Theodoros Tzouramanis,0.6187
Konstantinos Masselos,0.6183
Christos Zaroliagkis,0.6166
Grigorios Antoniou,0.6165
Ioannis Smaragdakis,0.6164
Ioannis Antoniou,0.6156
Konstantinos Markantonakis,0.6153
Vasileios Megalooikonomou,0.6148
Iraklis Varlamis,0.6146
Georgios Pavlou,0.6141
Nikolaos Kyrpidis,0.6138
Diomidis Spinellis,0.6134
Michail Lagoudakis,0.6133
Dimitrios Poulakis,0.6131
Ioannis Stamatiou,0.6126
Petros Maragkos,0.6123
Dimitrios  Vergados,0.6115
Polyxeni Pange - Lekka,0.6114
Vasilios Katos,0.6113
Ioannis Mavridis,0.6112
Dimitrios Frantzeskakis ,0.6111
Antonios Gasteratos,0.6104
Panagiotis Demestichas,0.6104
 John Tsotsos,0.6101
Dimitrios  Gounopoulos,0.6094
Athanasios Ntarantoumis,0.6094
Konstantinos Pattichis,0.609
Kyriakos Sgarmpas,0.6087
Alexios Delis,0.6082
Vasileios Tsaousidis,0.6078
Ioannis Kakadiaris,0.6072
Charidimos  Vergos,0.6071
Giannis Papadopoulos,0.6071
Dimitrios  Syvridis,0.6069
Michail Vazirgiannis,0.6069
Georgios Tsichrintzis,0.6068
Elisavet Konstantinou,0.6067
Nikolaos Karampetakis,0.6061
Dimitrios Nikolopoulos,0.6056
Spyridon Sioutas,0.6054
Elpida Keravnou - Papailiou,0.6052
Minos Garofalakis,0.605
Vasos Chatzilakos,0.6048
Dimitra  Simeonidou,0.6046
Aristeidis Kontogeorgis,0.6045
Vasileios Verykios,0.6043
Efstratios Gallopoulos,0.604
Georgios Tzanetakis,0.6039
Konstantinos Stathis,0.6038
Ioannis Pratikakis,0.6038
Georgios     Kampourakis ,0.6035
Theodora Varvarigou,0.6033
Emmanouil Giakoumakis,0.6032
Achilleas Kameas,0.6032
Ioannis Tollis,0.6029
Nikolaos Paragyios,0.6029
Dimitrios Kalles,0.6023
 Thrasyvoulos Pappas,0.6023
Athanasios Kechagias,0.6022
Ioannis Anagnostopoulos,0.602
Giorgos Tourlakis,0.6012
Antonios Savvidis,0.601
Iakovos  Venieris,0.6009
Evangelia Pitoura,0.6007
Anastasios  Oikonomidis,0.6004
Stefanos Kollias ,0.6003
Evangelos Milios,0.6
Giannis Papakonstantinou,0.5999
Dimitrios Fotakis,0.5999
Ioannis Theodoridis,0.5998
Emmanouil Magkos,0.5997
Ioannis Andreadis ,0.5996
Konstantina Nikita,0.5993
