Name_roman,Cosine_score
Christos Ouzounis,0.9247395342511847
Ioannis Vlachavas,0.890481556176819
Ioannis Pitas,0.8636436441560148
Athina Vakali,0.8469623257599525
Eleftherios Angelis,0.8356943066682625
Konstantinos Kotropoulos,0.8292254473447169
Georgios Papadimitriou,0.8265748450711333
Nikolaos Vasileiadis,0.8067426327024616
Ioannis Stamelos,0.7942319295876124
Stavros Dimitriadis,0.7806838339996597
Nikolaos Konofaos,0.7268247882624056
Petros Nikopolitidis,0.0
Grigorios Tsoumakas,0.0
Nikolaos Tsitsas,0.0
Thrasyvoulos Konstantinos Tsiatsos,0.0
Anastasios Tefas ,0.0
Nikolaos Pleros,0.0
Amalia Miliou,0.0
Panagiotis Katsaros,0.0
Dionysios Politis,0.0
Dimitrios Vrakas,0.0
Anastasios Gounaris ,0.0
Nikolaos Nikolaidis,0.0
Nikolaos Laskaris,0.0
Apostolos Papadopoulos,0.0
