Name_roman,Cosine_score
Christos Ouzounis,0.9275235490339871
Ioannis Vlachavas,0.8880577903730973
Athina Vakali,0.8637229813844762
Eleftherios Angelis,0.8630744185847226
Konstantinos Kotropoulos,0.8555679193625756
Ioannis Pitas,0.8437365704103685
Nikolaos Vasileiadis,0.8280522166291893
Ioannis Stamelos,0.8064853172069492
Georgios Papadimitriou,0.7632585391827263
Stavros Dimitriadis,0.7505691762050234
Nikolaos Konofaos,0.7299204922585061
Petros Nikopolitidis,0.0
Grigorios Tsoumakas,0.0
Nikolaos Tsitsas,0.0
Thrasyvoulos Konstantinos Tsiatsos,0.0
Anastasios Tefas ,0.0
Nikolaos Pleros,0.0
Dimitrios Vrakas,0.0
Amalia Miliou,0.0
Dionysios Politis,0.0
Anastasios Gounaris ,0.0
Nikolaos Nikolaidis,0.0
Nikolaos Laskaris,0.0
Panagiotis Katsaros,0.0
Apostolos Papadopoulos,0.0
