target_result
1/410 (standby):Georgios Karypis
4/410 (standby):Konstantinos Pattichis
12/410 (standby):Georgios Paliouras
15/410:Aristeidis Lykas
26/410:Spyridon Lykothanasis
31/410:Konstantina Nikita
40/410 (standby):Dimitrios Plexousakis
44/410 (standby):Elpida Keravnou - Papailiou
54/410 (standby):Andreas-Georgios Stafylopatis
68/410 (standby):Christos Schizas
91/410 (standby):Dion.-Dimitrios Koutsouris
184/410 (standby):Ioannis Stylianou
248/410:Antonios Aletras
266/410 (standby):Pantelis Angelidis
"Metric1:0.09686346863468635, top_16=28.57142857142857%, Average Precision:0.24030099028963853, Prize_metric:0.8242166755177908, Reciprocal Rank:1, Coverage:266"
