target_result
1/410 (standby):Georgios Karypis
2/410:Spyridon Lykothanasis
6/410 (standby):Georgios Paliouras
9/410:Aristeidis Lykas
13/410 (standby):Christos Schizas
14/410 (standby):Elpida Keravnou - Papailiou
24/410 (standby):Andreas-Georgios Stafylopatis
40/410 (standby):Dion.-Dimitrios Koutsouris
50/410 (standby):Konstantinos Pattichis
64/410:Konstantina Nikita
70/410 (standby):Dimitrios Plexousakis
134/410 (standby):Pantelis Angelidis
244/410 (standby):Ioannis Stylianou
290/410:Antonios Aletras
"Metric1:0.10926118626430802, top_16=42.857142857142854%, Average Precision:0.3524141122028791, Prize_metric:0.8459904407859798, Reciprocal Rank:1, Coverage:290"
