Name_roman,Cosine_score
Stavros Dimitriadis,0.859350175529741
Ioannis Stamelos,0.819460266466608
Eleftherios Angelis,0.7865852441306365
Ioannis Vlachavas,0.7774045674393265
Nikolaos Vasileiadis,0.7590551544389852
Athina Vakali,0.754486006982566
Georgios Papadimitriou,0.7411745125803859
Konstantinos Kotropoulos,0.6898013528303085
Christos Ouzounis,0.6839670289363076
Ioannis Pitas,0.6822003132396286
Nikolaos Konofaos,0.6371918757318291
Nikolaos Laskaris,0.0
Nikolaos Nikolaidis,0.0
Panagiotis Katsaros,0.0
Anastasios Gounaris ,0.0
Apostolos Papadopoulos,0.0
Dionysios Politis,0.0
Amalia Miliou,0.0
Petros Nikopolitidis,0.0
Nikolaos Pleros,0.0
Dimitrios Vrakas,0.0
Anastasios Tefas ,0.0
Thrasyvoulos Konstantinos Tsiatsos,0.0
Nikolaos Tsitsas,0.0
Grigorios Tsoumakas,0.0
