Name_roman,Cosine_score
Stavros Dimitriadis,0.8552172094704071
Eleftherios Angelis,0.7368446390564631
Ioannis Stamelos,0.7356677447791655
Athina Vakali,0.7327719222908515
Ioannis Vlachavas,0.7207285559043366
Georgios Papadimitriou,0.71337103712196
Nikolaos Vasileiadis,0.7124082543189949
Konstantinos Kotropoulos,0.7104135107288306
Ioannis Pitas,0.6888807870685114
Nikolaos Konofaos,0.6605850539986624
Christos Ouzounis,0.6591268467607206
Nikolaos Laskaris,0.0
Nikolaos Nikolaidis,0.0
Panagiotis Katsaros,0.0
Anastasios Gounaris ,0.0
Apostolos Papadopoulos,0.0
Dionysios Politis,0.0
Amalia Miliou,0.0
Petros Nikopolitidis,0.0
Nikolaos Pleros,0.0
Dimitrios Vrakas,0.0
Anastasios Tefas ,0.0
Thrasyvoulos Konstantinos Tsiatsos,0.0
Nikolaos Tsitsas,0.0
Grigorios Tsoumakas,0.0
