Name_roman,Cosine_score
Georgios Vouros,0.8819382716351495
Ioannis Chatzilygeroudis,0.874745652797329
Georgios Tsichrintzis,0.8632298025438384
Maria  Virvou,0.853943573644462
Georgios Paliouras,0.8518063933157078
Michail Vrachatis,0.8475141188223626
Antonis Kakas,0.8447394280039642
Miltiadis Petridis,0.8440158245982431
Lydia Kavraki,0.8439078216955828
Elpida Keravnou - Papailiou,0.8366288130427998
 Yannis Aloimonos,0.8362208095749633
Dimitrios  Gounopoulos,0.8358408859808246
Aristeidis Lykas,0.8348165818631242
 Konstantinos Plataniotis,0.834349658297586
Sotirios Nikoletseas,0.8340169113574293
Ioannis Ioannidis,0.8340121750531185
Stavros Perantonis,0.8336141121276006
Themistoklis Panagiotopoulos,0.8335757259672152
Ioannis Emiris,0.8308100555738713
Nikolaos Karampetakis,0.8303476178392482
Vangelis Paschos,0.8299520830700367
Konstantinos Stathis,0.8298463312679653
Georgios Karypis,0.8284390443674658
 John Tsotsos,0.828120905088624
Ioannis Antoniou,0.8279288700517078
Andreas-Georgios Stafylopatis,0.8272603276078228
Michail Lagoudakis,0.8269434045127204
Theodoros Evgeniou,0.8263507782602435
Grigorios Antoniou,0.8261842827066154
Christos Koukouvinos,0.8253893499847328
Periklis Mitkas,0.8249527731961874
Nikolaos Paragyios,0.8242899672754884
Konstantinos Margaritis,0.8235645193545746
Christos Zaroliagkis,0.8234152351793812
Georgios Syrakoulis,0.8229886602657659
Efstratios Gallopoulos,0.8227453110763341
Evrypidis Petrakis,0.822658714592243
Dimitrios Serpanos ,0.821936966240999
Spyridon Lykothanasis,0.8207141932743959
Katia Sycara,0.8206476155881655
Petros Maragkos,0.8199031624973709
Diomidis Spinellis,0.8197680285080178
Ioannis Tsamardinos,0.81971221932151
Michail Vazirgiannis,0.8193672568594896
Achilleas Kameas,0.8190451082912273
Ioannis Theodoridis,0.8182199121679281
Pavlos Peppas,0.8171920498911716
Stefanos Kollias ,0.8164109789624796
Eirini Ntoutsi,0.815314001597095
Vasileios Megalooikonomou,0.8152977156890344
Antonios Bikakis,0.8152671855747723
Ioannis Smaragdakis,0.8147958320573782
Evripidis Bampis,0.8136689298949701
Themis Palpanas,0.8129694712328872
George Bebis,0.812595720744684
Georgios Tzanetakis,0.8124687962067533
Maria Chalkidi,0.8121980059593922
Petros Drineas,0.8119480439752256
Emmanouil Lourakis,0.8116776380335444
Ioannis Andreadis ,0.8114147536433871
Konstantinos Blekas,0.8111335417586266
Dimitrios Kalles,0.8109095475869571
Konstantinos Pattichis,0.810217978868998
Dimitrios Plexousakis,0.8097653995216122
Christos Douligeris,0.8096524213651038
Georgios Rachonis,0.8095839434943256
Dimitrios Sountris,0.8095758696938715
Nicolas Vayatis,0.809160771979467
Maria Spiliopoulou,0.8086959087893074
Andreas Symeonidis,0.8076082825821501
Athanasios Skodras,0.8071284103506853
Christos Schizas,0.8070575949221471
