Name_roman,Cosine_score
Grigorios Tsoumakas,0.9125293066895621
Ioannis Vlachavas,0.9072654320383642
Konstantinos Kotropoulos,0.8705069354460182
Athina Vakali,0.8634011469841156
Apostolos Papadopoulos,0.8619739085273322
Eleftherios Angelis,0.8581508064124088
Anastasios Tefas ,0.8581327387453158
Christos Ouzounis,0.8546247595801832
Nikolaos Vasileiadis,0.8473418257801841
Ioannis Pitas,0.8437843070158895
Nikolaos Laskaris,0.8321654973625479
Nikolaos Nikolaidis,0.8186524050007619
Ioannis Stamelos,0.8100779400197273
Anastasios Gounaris ,0.807567296751068
Panagiotis Katsaros,0.7906994516664502
Stavros Dimitriadis,0.7834241740595572
Thrasyvoulos Konstantinos Tsiatsos,0.7707478511702177
Georgios Papadimitriou,0.7493742296270238
Petros Nikopolitidis,0.7369835541234244
Nikolaos Konofaos,0.7033716535453364
Amalia Miliou,0.6784436349216015
Nikolaos Tsitsas,0.6773772867399512
Nikolaos Pleros,0.6235874441231615
Dimitrios Vrakas,0.0
Dionysios Politis,0.0
