Name_roman,Cosine_score
Michalis Zervas,0.8606105506288817
Georgios Ellinas,0.8578755085868257
Alexandros  Stavdas,0.8541004735026485
Iraklis  Avramopoulos,0.8527054745570111
Dimitra  Simeonidou,0.8424091688323102
Georgios Rouskas,0.842359346510106
Georgios Karagiannidis ,0.8405006180459292
Emmanouil  Varvarigos,0.8341097720666006
Dimitrios  Syvridis,0.8295016136467177
Antonios Bogris,0.8262494661229184
Kyriakos Vlachos,0.8178666988004378
 Kyriakos Zoiros,0.8136368863370981
Georgios Tompras ,0.811145894294565
 Emmanouil Kriezis,0.8110862547114447
Michail  Logothetis,0.8100655222825635
Ioannis Nikolaidis,0.8007170433513349
Konstantina Nikita,0.7951463081094132
Stylianos  Tzortzakis,0.7942505976346637
Dimitrios Frantzeskakis ,0.7906880188869372
Dimitrios Serpanos ,0.7900026955264187
Foteini - Niovi Pavlidou ,0.7893128113475517
Alexios Birmpas,0.7855974748884804
Georgios-Othon Glentis,0.7849100084902
Vasileios Tsaousidis,0.7836896860992149
Kyriakos Koutoulakos,0.7816723046163045
Iakovos  Venieris,0.7807745985437384
Theodora Varvarigou,0.7798551228424999
 Konstantinos Plataniotis,0.7772074657145561
Leonidas Georgiadis,0.7769818990864495
Georgios  Moustakidis,0.7763962771161609
Lysimachos-Pavlos Kontis,0.7759373541171798
Odysseas Koufopavlou ,0.7748347984246914
Lydia Kavraki,0.7740461364864886
 Thrasyvoulos Pappas,0.77166626787796
Nikolaos Sidiropoulos,0.7711600689116688
Dimitrios Sountris,0.7695411762829094
Pavlos - Petros Sotiriadis,0.7695087433538321
Christos Politis,0.7691125715649081
Dimitrios  Pantos,0.7682102832624487
Vasileios Syris,0.76764528912459
Malamati Louta,0.7663991038331337
Christos Bouras ,0.7660283368887132
Kon/nos Bermperidis,0.7655437391711963
Georgios Tsichrintzis,0.7654347467576407
Ioannis  Stavrakakis,0.7654283613815109
Stefanos Gkritzalis,0.7644358397539901
Georgios  Polyzos,0.7639590823289317
Christos Koukouvinos,0.7631872016772058
Ioannis Mourtzopoulos,0.7627977129695104
Panagiotis Demestichas,0.7613521863899723
Athanasios Skodras,0.7592249066795178
Ioannis Antoniou,0.7588201293693043
Georgios Pavlou,0.7587107713397915
Ioannis Papananos,0.7584185868193771
Efstathios  Sykas,0.7577327426306348
Michail Devetsikiotis - Chatzinikolaou,0.75640380119109
Nikolaos Paragyios,0.7559887405704235
Lampros Stergioulas,0.755020343951441
Athanasios Manikas,0.7548640083418494
Sotirios Nikoletseas,0.7548599190166068
Andreas Pitsillidis,0.7548421410301318
Petros Maragkos,0.753111318866204
Efstratios Gallopoulos,0.7522308298592473
Georgios Angelos Papadopoulos,0.7520976081999764
Andreas Floros ,0.752032070657666
Panagiotis  Kottis,0.7516026928921261
Antonis Charalampopoulos,0.7505495700457774
 Konstantinos Balas,0.7504174851761066
Vangelis Paschos,0.749642454010566
Emmanouil Lourakis,0.7495934742535011
Ioannis Andreadis ,0.7494840104078178
Christos Douligeris,0.7492935924633549
Ioannis Rekanos,0.7490808289659552
Antonios Gasteratos,0.7470875263491432
Evrypidis Petrakis,0.7469780722281003
Emmanouil Giakoumakis,0.7465088296762123
Lazaros  Merakos,0.7461837670381504
George Bebis,0.7461575814754274
Kostas Daniilidis,0.7459365946268678
Kleanthis Thrampoulidis,0.7449561192043006
Ioannis Stratis,0.7447452730464794
Evripidis Bampis,0.7446643801287595
Konstantinos Pattichis,0.7443149377051143
Theodoros Chorikis,0.7437312330534599
Aristeidis Pagourtzis,0.7436020099579073
Konstantinos Kloukinas,0.743521961211465
Tania Stathaki,0.743356647016931
Georgios Sergiadis,0.7432089102925838
Dion.-Dimitrios Koutsouris,0.7430890809333607
Konstantinos Stefanidis,0.7425831505376425
Kon/nos Psychalinos ,0.7418545479542779
Georgios Fikioris,0.741101424033049
Maria  Virvou,0.7409882813736743
Dimitrios Iakovidis,0.7405831686934314
Charalampos Skianis,0.7403596395709268
Alkiviadis Chatzopoulos ,0.7399172893692659
Diomidis Spinellis,0.739323225265197
Ioannis Ioannidis,0.7392239024389744
Vasileios Anastasopoulos,0.7391031003602542
 Yannis Aloimonos,0.738849087489281
Dimitrios  Vergados,0.7388145439341426
Ioannis Karagiannis,0.7385361311052968
Ioannis  Karafyllidis ,0.7381696508004002
 Nikolaos Pelekanos,0.737996203391418
Evangelos Milios,0.7376207778666247
Athanasios Mouchtaris,0.7375995589192481
Traianos Gioultsis,0.7371745392567511
Stefanos Kollias ,0.7371331602741819
Dimosthenis Vougioukas ,0.7365815605601334
Georgios Syrakoulis,0.7358004713648922
Michail Zervakis,0.7351210096259567
Michail Vrachatis,0.7349718131562664
Ioannis Smaragdakis,0.73495745340126
Petros Drineas,0.7347048575223021
 John Tsotsos,0.7335425208467596
Spyridon Blionas,0.7333999585566955
Christos Panagiotakopoulos,0.7332608278785909
Stylianos Siskos ,0.7327505071315035
Panagiotis Tsakalidis,0.732516447148717
Antonios Argyros ,0.732476299873534
Christos Schizas,0.7323875970281352
Konstantinos Moustakas,0.7313453279803647
Grigorios Antoniou,0.7308766291784536
Ioannis Mavridis,0.7301569166102149
Evangelos Dermatas,0.730150608701817
Michail Lagoudakis,0.7294026601904638
Christos Antonopoulos,0.7285358535140319
Thomas Xenos,0.7283823000112443
Nikolaos Bellas ,0.7282817217570621
Christos Zaroliagkis,0.7281164745226995
Ioannis Emiris,0.7273813970319486
Dimitrios Poulakis,0.7269106189698434
Athanasios Tyropanis,0.7267088485408557
Dimitris Karagiannis,0.7266670808900774
Vassilis Kostakos,0.7261866904839539
 Dimitrios Tzovaras ,0.7259960382248519
Gerasimos Potamianos,0.7259900167465263
Georgios Oikonomou,0.7258429872759943
Ioannis Stylianou,0.7257689350619991
Kostas Xydeas,0.7253221213455185
Ioannis Anagnostopoulos,0.7253212839917514
Evangelia Pitoura,0.7252759096045198
Ioannis Kakadiaris,0.7250934081002525
Bill Kapralos,0.7250299164987077
Giorgos Pallis,0.7244661793235265
Nikolaos Karampetakis,0.7243103707266572
Katia Sycara,0.7241683868352791
Achilleas Kameas,0.7241580836572039
Konstantinos Masselos,0.7239336515326957
Dimitrios Thilykos,0.7233169345825201
Christoforos Kozyrakis,0.7231486041505308
Damianos Gavalas,0.7226825250552258
 Spyridon Nikolaidis,0.7219386373819514
Drosos Gkintidis,0.7214089111938846
Nikolaos Avouris,0.7209977860539111
Ioannis Tigkelis ,0.7209368937622511
Stavros Perantonis,0.7208173775817234
Dimitrios Achlioptas,0.7198016249997543
Ioannis Pratikakis,0.7197045804538722
Nikolaos Papamarkos,0.7195545620724233
Aristeidis Lykas,0.7193275255332641
Chrysi Kokologiannaki,0.7189870104904674
Emmanouil Roumeliotis,0.7189692736777569
Georgios Vouros,0.7189491103096783
Georgios Papaioannou,0.7187227534241247
Angelos Bilas,0.7187019823967499
Angelos Rouskas,0.7180542586649151
Marios Mavronikolas,0.7179642424713276
 Dimitrios  Tsoukalas,0.7178508942969445
Georgios Kouroupetroglou ,0.7175594126667013
Dimitrios Sampson,0.7160865566651766
Anastasios  Oikonomidis,0.7157492573051214
Evangelos Markatos,0.7156054686903291
Alexandros Potamianos,0.7153006125228015
Dimitrios Gkizopoulos,0.7152194059998681
Aikaterini Mania,0.7149323638292827
Konstantinos Margaritis,0.7148850412029324
Christoforos Nikou,0.7142785109641085
Ioannis Tollis,0.7137704228645776
Vasilis Christofidis,0.7133362373132908
Georgios Karypis,0.7132389411319153
Theodoros Evgeniou,0.7130478629038786
Georgios Makris,0.7127036820206649
Georgios     Kampourakis ,0.7122082943246462
Margkerita Antona,0.7121388702673896
George Zouridakis,0.7119691176628208
Antonios Savvidis,0.7117459730944613
Charidimos  Vergos,0.7116313136590012
Michail Taroudakis,0.7111730732158329
Georgios Tzanetakis,0.7106294406635281
Emmanouil Psarakis,0.7104042001538735
Georgios Stamoulis,0.7102766173035636
Pantelis Angelidis,0.7102732520140129
Polyxeni Pange - Lekka,0.7102170105199079
Eleni Stroulia,0.7099063191002386
Ioannis Dologlou,0.7094121577758289
Kyriakos Sgarmpas,0.7094083276618774
Nikolas Tsapatsoulis,0.7091888069133845
Dimitrios  Gounopoulos,0.7091057512825205
Charalampos Mouratidis,0.7088186047950368
Stavros Nikolopoulos,0.7086003286284122
Spyridon Lykothanasis,0.7084194648506251
Dimitrios Fotakis,0.7084013775941957
Leonidas Palios,0.7082965704376034
Nikolaos Grammalidis,0.7080975967224737
Minos Garofalakis,0.7080460836528157
Dionysios Pnevmatikatos ,0.7080456381059154
Georgios Stamou,0.7073841218431175
Dimitrios Plexousakis,0.7071435601745474
Spyridon Sioutas,0.7070612585835441
Vasileios Digalakis,0.7070442035077342
Ioannis Chatzilygeroudis,0.7067130384625948
Xenofon  Zampoulis,0.7065964654400373
Leontios Chatzileontiadis,0.7061986103315082
Vasileios Megalooikonomou,0.7051675301860764
Vasileios Komis,0.7050952710907155
Nektarios Kozyris,0.7050006622294147
Miltiadis  Anagnostou,0.7045741737637007
Ioannis Dimitriadis,0.7044907889944387
Dimitrios Nikolopoulos,0.7040028701716456
Emmanouil Koumparakis,0.7035130211590894
Georgios Papagiannakis,0.7031282121349786
Nikolaos Kyrpidis,0.7031240183769116
Georgios Rovithakis,0.7030205303170501
Konstantinos Stathis,0.7027526571443444
Panagiota Fatourou,0.7009129106528534
Evripidis Chatzikraniotis,0.7008329467343144
Filippos Tsalidis,0.7001925411950906
Georgios Paliouras,0.7001282070269166
Theocharis Theocharis ,0.6999151321404256
Mattias Boucher,0.6996685541922284
Miltiadis Petridis,0.6995389375526805
Athanasios Giannakopoulos,0.6993725084640444
Periklis Mitkas,0.6993222112991931
Konstantinos Markantonakis,0.6987894014151913
Nikolaos Bourmpakis,0.6987285969053043
Ioannis Stamatiou,0.698510861951893
 Theodoros Laopoulos,0.6978106182976195
Athanasios Kechagias,0.6973212221444313
Konstantinos Mourlas,0.6965550343552296
Timoleon Sellis,0.6964790390638741
Nikos Magklaveras,0.6960860466447234
Vasos Chatzilakos,0.695827527753037
Michail Vazirgiannis,0.6953853111176633
Pantelis Bagkos,0.6941196214426018
Theodoros Vlachos,0.6940399315855321
Paris Avgeriou,0.6940155194625904
Apostolos Dollas,0.6936348717389252
Iraklis Varlamis,0.6929194963491072
Dimitrios Gkritzalis,0.6926038266207011
Nicolas Vayatis,0.6924304467844433
Panagiota Morfouli,0.6919053736761316
Georgios Makrakis,0.6918619948923503
Giorgos Tourlakis,0.6916984149470513
Spyridon-Gerasimos  Lalis,0.6916871858770064
Theodoros  Apostolopoulos,0.6916711275546819
Georgios Tziritas,0.6914527435762639
Giorgos Georgakopoulos,0.6914424583071029
Dimitrios Kougioumtzis,0.6909445775758114
Antonis Kakas,0.6906866145336308
Panagiotis Vasileiadis,0.69067868986911
Symeon Retalis,0.690531175297219
Ergina Kavallieratou,0.6900449269046416
Vasileios Verykios,0.6900300186769062
Andreas Lanitis,0.6898689633549375
Pericles Loucopoulos,0.6889082449197964
Maria Spiliopoulou,0.6882124729847126
Vasileios Sevroglou,0.6882049209757616
Giannis Papakonstantinou,0.6880872450466984
Ioannis Garofalakis,0.6877076424707039
Konstantinos Kontogiannis,0.6876018873427898
Nikolaos Papaspyrou,0.6868723855240498
Alexandros Chatzigeorgiou,0.686621997709009
Georgios Rachonis,0.6856584117163556
Georgios Spanoudakis,0.6853973905311979
Nikolaos Mamoulis,0.6853292171455965
Ioannis Tsamardinos,0.6853271817806192
Anastasios Ntelopoulos,0.6852620151848686
Ioannis Psarras,0.6851237787157367
Themis Palpanas,0.6847496475028423
Georgios Evangelidis,0.6846685250311372
Pavlos Efraimidis,0.6842863537209066
Kon/nos Aidinis ,0.68261288907366
Eftychios Koutroulis,0.6824742019059171
Charalampos Konstantopoulos,0.6819477083893253
Vasileios Vassalos,0.6814306614118583
Konstantinos Blekas,0.6809311674539765
Konstantinos Tarampanis,0.6805123756426795
Panagiotis Konstantopoulos,0.6804951970135135
Giannis Papadopoulos,0.6804823385161135
Anastasios Mikropoulos,0.6804593845222106
Antonios Bikakis,0.6794801864291069
Themistoklis Panagiotopoulos,0.6789949867936169
Ioannis Theodoridis,0.6789677312696101
Anna Filippou,0.6789055094955136
Dimitri  Ioannou,0.6784888261217384
 Antonios Paschalis,0.678470720450196
Michail Vasilakopoulos,0.6782830608273314
Dimitrios Varsos,0.6780911575928912
Charoula Angeli,0.6777458978747922
Georgios Tsiatouchas,0.6775210297559052
Andreas Andreou,0.6775057756496696
Panayiota Poirazi,0.6770695357343545
Maria Chalkidi,0.6769613464889968
Ilias Manolakos,0.6762333140837329
Theodora Ioannidou,0.676206488153848
Athanasios Ntarantoumis,0.6760512722667364
 Dimitrios Nikolos,0.6759761494821481
Argyrios Dentsoras,0.6759026431079367
Vasileios Dimakopoulos ,0.6756327679356819
Pavlos Peppas,0.6743777335855565
Apostolos Zarras,0.6741355953863076
Elpida Keravnou - Papailiou,0.6739430703737115
Nikolaos Karachalios,0.6737619000533123
Dimitrios Kalles,0.6728728174764814
Charalambos Vrasidas,0.6724456997754963
Antonios Symvonis,0.6723608313462515
Thanasis Chatzilakos,0.671267538799956
Tasoula Georgaki,0.6708663083059738
Stylianos Xynogalos,0.6707846168034178
Theodoulos Garefalakis,0.6705388970060829
Vasilios Katos,0.6704008332127014
Kiamal Pekmestzi,0.6701787532258155
Antonios Aletras,0.6699579960574302
George Karakostas,0.6693887393550954
Georgios Lepouras,0.6693475379057527
Stavros Kolliopoulos,0.6691133481862792
