target_result
1/410:Stefanos Gkritzalis
2/410:Theodoulos Garefalakis
3/410:Dimitrios Poulakis
4/410 (standby):Michail Vrachatis
5/410:Ioannis Stamatiou
14/410 (standby):Konstantinos Markantonakis
17/410:Emmanouil Magkos
24/410 (standby):Vasilios Katos
29/410 (standby):Ioannis Emiris
38/410 (standby):Nikolaos Diamantis
57/410 (standby):Ioannis Mavridis
149/410 (standby):Georgios Makris
209/410 (standby):Nikolaos Bourmpakis
"Metric1:0.16485507246376813, top_15=46.15384615384615%, Average Precision:0.5448378858415379, Prize_metric:0.9097486671744097, Reciprocal Rank:1, Coverage:209"
