,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
specter_simcse_100_16_3e-5_kmeans_euclidean_constr_5_PCA_10,0.352,0.8581,0.1632,1.3,236.7
kmeans_5_PCA_10,0.3403,0.8433,0.1655,1.3,232.2
specter_simcse_80_64_3e-5_kmeans_euclidean_constr_7_isomap_10,0.3847,0.863,0.1764,1.3,229.7
specter_simcse_100_48_3e-5_2epochs_kmeans_5_PCA_10,0.3403,0.8433,0.1655,1.3,232.2
specter_simcse_100_16_3e-5_kmeans_euclidean_constr_7_isomap_10,0.3403,0.8586,0.1677,1.4,238.8
specter_simcse_100_32_5e-5_kmeans_euclidean_constr_7_PCA_7,0.3669,0.8546,0.1653,1.4,247.7
specter_simcse_100_32_3e-5_kmeans_euclidean_constr_5_isomap_7,0.3708,0.8577,0.1856,1.4,234.1
specter_simcse_100_16_3e-5_kmeans_euclidean_constr_7_PCA_7,0.3465,0.8542,0.1543,1.4,238.9
specter_simcse_100_48_3e-5_kmeans_7_PCA_7,0.3468,0.85,0.1769,1.4,240.0
specter_simcse_80_64_3e-5_kmeans_7_isomap_10,0.381,0.8656,0.1882,1.4,233.4
specter_simcse_100_16_3e-5_kmeans_7_isomap_10,0.3673,0.8583,0.159,1.4,256.7
specter_simcse_100_48_3e-5_kmeans_7_PCA_10,0.3441,0.857,0.1615,1.5,254.7
specter_simcse_80_64_3e-5_kmeans_euclidean_constr_7_PCA_10,0.3464,0.8518,0.1657,1.5,243.7
specter_simcse_100_48_3e-5_kmeans_euclidean_constr_7_PCA_10,0.348,0.8521,0.1683,1.5,244.2
kmeans_5_isomap_10,0.3412,0.8395,0.1714,1.5,238.9
specter_simcse_100_32_5e-5_kmeans_euclidean_constr_5_PCA_7,0.3502,0.8627,0.1801,1.5,227.9
kmeans_euclidean_constr_5_PCA_7,0.3427,0.8365,0.1585,1.5,235.7
specter_simcse_100_48_3e-5_2epochs_kmeans_5_isomap_10,0.3412,0.8395,0.1714,1.5,238.9
specter_simcse_100_48_3e-5_kmeans_euclidean_constr_7_PCA_7,0.3344,0.854,0.1714,1.5,242.0
