Name_roman,Cosine_score
Christos Ouzounis,0.9157712825074665
Ioannis Vlachavas,0.8808565465117534
Apostolos Papadopoulos,0.8646475091710876
Ioannis Pitas,0.8551672974789369
Grigorios Tsoumakas,0.8509501675772458
Athina Vakali,0.8384270952713365
Anastasios Tefas ,0.8308037782968055
Eleftherios Angelis,0.8267586732882594
Konstantinos Kotropoulos,0.8234904459575692
Georgios Papadimitriou,0.8165749958011849
Nikolaos Nikolaidis,0.8017796661120624
Nikolaos Laskaris,0.8013754526490715
Nikolaos Vasileiadis,0.7998778224962525
Anastasios Gounaris ,0.7955526254707486
Ioannis Stamelos,0.781367426947495
Petros Nikopolitidis,0.7772735677290703
Stavros Dimitriadis,0.7654605773278327
Dionysios Politis,0.7636503512343978
Thrasyvoulos Konstantinos Tsiatsos,0.7560073535761073
Dimitrios Vrakas,0.7559716005406725
Panagiotis Katsaros,0.7515868925114504
Nikolaos Tsitsas,0.723470512323292
Amalia Miliou,0.7118555508959437
Nikolaos Konofaos,0.7065620767268582
Nikolaos Pleros,0.685433101049298
