target_result
1/408 (standby):Georgios Karypis
2/408:Spyridon Lykothanasis
8/408 (standby):Georgios Paliouras
11/408:Aristeidis Lykas
12/408 (standby):Elpida Keravnou - Papailiou
16/408 (standby):Christos Schizas
29/408 (standby):Andreas-Georgios Stafylopatis
50/408 (standby):Dion.-Dimitrios Koutsouris
64/408 (standby):Konstantinos Pattichis
81/408:Konstantina Nikita
91/408 (standby):Dimitrios Plexousakis
169/408 (standby):Pantelis Angelidis
303/408 (standby):Ioannis Stylianou
360/408:Antonios Aletras
Average Precision: 0.3192458820091521
