Name_roman,Cosine_score
Nikolaos Pleros,0.8405636088054802
Amalia Miliou,0.8371753380564007
Georgios Papadimitriou,0.7452508910872822
Nikolaos Konofaos,0.7052664539581517
Anastasios Tefas ,0.6750018613785904
Konstantinos Kotropoulos,0.6749169503128342
Ioannis Pitas,0.6675771543769538
Nikolaos Nikolaidis,0.6620652346429552
Nikolaos Laskaris,0.6537956199795242
Nikolaos Tsitsas,0.6530519716128448
Athina Vakali,0.6429684294856699
Apostolos Papadopoulos,0.6292730386187166
Anastasios Gounaris ,0.6194297074976282
Ioannis Vlachavas,0.6192407475146645
Panagiotis Katsaros,0.6071279397783305
Thrasyvoulos Konstantinos Tsiatsos,0.6016718125636569
Eleftherios Angelis,0.6012717136930492
Dimitrios Vrakas,0.600676541177556
Christos Ouzounis,0.599605191376822
Grigorios Tsoumakas,0.5899766006330455
Nikolaos Vasileiadis,0.5856717272616794
Stavros Dimitriadis,0.5643059952246406
Ioannis Stamelos,0.5639775658792151
