Name_roman,Cosine_score
Alexandros  Stavdas,0.891418256879726
Dimitrios  Syvridis,0.8568812878603118
Antonios Bogris,0.8562445165785872
Dimitra  Simeonidou,0.8555124234718336
Georgios-Othon Glentis,0.8545380965710253
Kyriakos Vlachos,0.8423116131096061
Iraklis  Avramopoulos,0.8369645656117104
 Emmanouil Kriezis,0.8324029927421218
Georgios Ellinas,0.8190496631846145
 Kyriakos Zoiros,0.8187826206807456
Georgios Karagiannidis ,0.8060738479110793
Alexios Birmpas,0.8046336566598872
Georgios Tompras ,0.8004392697184289
Michalis Zervas,0.7949361889673383
Emmanouil  Varvarigos,0.7941426617585199
Ioannis Papananos,0.789318579971641
Georgios Rouskas,0.7885838738155975
Georgios Oikonomou,0.7620884155881319
Stylianos  Tzortzakis,0.7572956411743084
Dimitrios  Vergados,0.754401536757388
Michail  Logothetis,0.7534728080925032
Pavlos - Petros Sotiriadis,0.7483944129854032
Panagiotis  Kottis,0.7481725667422693
Christos Antonopoulos,0.7480002768277452
Georgios  Moustakidis,0.7478270867042818
Odysseas Koufopavlou ,0.7442549902050128
Efstathios  Sykas,0.7432293273380619
Konstantinos Kloukinas,0.7411396829945711
Dimitrios  Pantos,0.73820432566887
Malamati Louta,0.7359001465983024
 Nikolaos Pelekanos,0.7349190950022769
Alkiviadis Chatzopoulos ,0.7326151292348613
Christos Politis,0.73091358968522
Kyriakos Koutoulakos,0.729648213347932
Vasileios Anastasopoulos,0.7290238227597078
Georgios  Polyzos,0.7286200704974022
Dimitrios Serpanos ,0.728531524234337
Nikolaos Sidiropoulos,0.7239913278832286
Iakovos  Venieris,0.7229545632392607
Foteini - Niovi Pavlidou ,0.7224030087837852
Panagiotis Demestichas,0.7197771106358158
Lysimachos-Pavlos Kontis,0.7189747669371473
Nikolaos Bellas ,0.7181285207986933
Athanasios Skodras,0.7178290267855665
Achilleas Kameas,0.7175320552787322
Christos Douligeris,0.7170249732518102
Vasileios Syris,0.7157652745621178
Kon/nos Bermperidis,0.7153382819175274
Kleanthis Thrampoulidis,0.7150630541457079
Dimosthenis Vougioukas ,0.7150404191219965
 Konstantinos Plataniotis,0.7148928663841794
Aristeidis Pagourtzis,0.714520650980826
 Konstantinos Balas,0.7143025515004212
Charidimos  Vergos,0.7131280213263249
Dimitrios Sountris,0.7118924846239028
Emmanouil Roumeliotis,0.7114973765883708
Ioannis  Stavrakakis,0.7100371564129895
Nikolaos Bourmpakis,0.7096622731582662
Vasileios Dimakopoulos ,0.7091566117074781
Konstantinos Masselos,0.7076240566999741
Vasileios Tsaousidis,0.7074334535563002
 Thrasyvoulos Pappas,0.706831333799427
Kon/nos Aidinis ,0.7064786465969064
Stylianos Bakamidis,0.705630171178466
Ioannis Nikolaidis,0.7052054312426722
Andreas Pitsillidis,0.7034728073835402
Michail Devetsikiotis - Chatzinikolaou,0.7029748005361885
Ioannis Anagnostopoulos,0.7028882821992194
Vangelis Paschos,0.7002087883782
Theodoros Vlachos,0.7000198631693275
Georgios Sergiadis,0.6969690751845455
Ioannis Andreadis ,0.6963696731831879
Leonidas Georgiadis,0.696243436216729
Evrypidis Petrakis,0.6961273301408128
Georgios Stamoulis,0.6957273827894785
Vasileios Chrysikopoulos,0.6950372426055158
Michail Sfakianakis,0.6936883404085246
Lydia Kavraki,0.6926866743710026
Ioannis Mourtzopoulos,0.6916313576470111
Dionysios Pnevmatikatos ,0.6905010448796698
Ioannis Stratis,0.6902859863090011
Dimitrios Iakovidis,0.6893485097849583
Traianos Gioultsis,0.6891449950739826
Lazaros  Merakos,0.6885949612732831
Angelos Bilas,0.6875516599534752
Pantelis Angelidis,0.6867269035685183
Ioannis Karagiannis,0.6866984652498302
Konstantinos Stefanidis,0.6859668669597924
Nikolaos Papamarkos,0.6855261589424444
Andreas Floros ,0.6852935775124427
Georgios Tsichrintzis,0.6845273624233702
Kyriakos Sgarmpas,0.6842786441601856
Charalampos Skianis,0.6840646019866821
Konstantinos Chrysafinos,0.6838111687720015
Georgios Pavlou,0.6831339758563763
Emmanouil Lourakis,0.6830393237365902
Bill Kapralos,0.682295632950211
Georgios Rachonis,0.6819704303621488
 Dimitrios  Tsoukalas,0.6817458275115591
Antonios Gasteratos,0.6813163380916933
Apostolos Dollas,0.6811440169670877
Spyridon Blionas,0.6807243178911825
 John Tsotsos,0.6798581684230203
Dimitrios Poulakis,0.6798068482155049
Christos Bouras ,0.6795397842462974
George Bebis,0.6794416307250537
 Theodoros Laopoulos,0.6793585220750389
Nikolaos Papaspyrou,0.6793074026402844
Evangelos Markatos,0.6788921481011074
Lampros Stergioulas,0.6788120086222356
Athanasios Manikas,0.6782174998531841
Dimitrios Frantzeskakis ,0.6780662114611538
Ioannis Ioannidis,0.6778445579927934
Kostas Daniilidis,0.6774696017242097
Theodoros  Apostolopoulos,0.6774154391188909
Panagiotis Tsakalidis,0.6764786455074931
Themistoklis Panagiotopoulos,0.6759235960916641
Efstratios Gallopoulos,0.6756766968629248
Angelos Rouskas,0.6752434956483591
Nikolaos Paragyios,0.6749930558070729
 Antonios Paschalis,0.6744040151123615
 Yannis Aloimonos,0.6737604101818108
